year,congress,statabb,district,name,party,aauw,age,bday,srvlng,female,white,rgroup,ngirls,nboys,demvote
1997-1998,105,NY,7,"MANTON, THOMAS J.",1,63,64,03nov1932,13,0,1,2,2,2,.68000001
1997-1998,105,IL,16,"MANZULLO, DONALD",2,0,52,24mar1944,5,0,1,1,2,1,.41999999
1997-1998,105,MA,7,"MARKEY, EDWARD J.",1,88,50,11jul1946,21,0,1,2,0,0,.63999999
1997-1998,105,CA,31,"MARTINEZ, MATTHEW G. (MARTY)",1,88,67,14feb1929,16,0,0,2,3,2,.64999998
1997-1998,105,PA,20,"MASCARA, FRANK R.",1,63,66,19jan1930,3,0,1,2,1,3,.5
1997-1998,105,CA,5,"MATSUI, ROBERT TAKEO",1,88,55,17sep1941,19,0,0,1,0,1,.56999999
1997-1998,105,NY,4,"MCCARTHY, CAROLYN",1,100,53,05jan1944,1,1,1,2,0,1,.56
1997-1998,105,MO,5,"MCCARTHY, KAREN",1,100,49,19mar1947,3,1,1,2,0,0,.57999998
1997-1998,105,FL,8,"MCCOLLUM, BILL",2,0,52,12jul1944,17,0,1,1,0,3,.44
1997-1998,105,LA,4,"MCCRERY, JAMES O.",2,0,47,18sep1949,10,0,1,1,0,2,.51999998
1997-1998,105,PA,10,"MCDADE, JOSEPH M.",2,38,65,29sep1931,35,0,1,2,2,3,.44999999
1997-1998,105,WA,7,"MCDERMOTT, JIM",1,100,60,28dec1936,9,0,1,1,1,1,.67000002
1997-1998,105,MA,3,"MCGOVERN, JAMES P.",1,100,37,20nov1959,1,0,1,2,0,0,.60000002
1997-1998,105,PA,15,"MCHALE, PAUL",1,75,46,26jul1950,5,0,1,2,1,2,.46000001
1997-1998,105,NY,24,"MCHUGH, JOHN M.",2,38,48,29sep1948,5,0,1,2,0,0,.49000001
1997-1998,105,CO,3,"MCINNIS, SCOTT",2,0,43,04apr1953,5,0,1,2,2,1,.43000001
1997-1998,105,IN,2,"MCINTOSH, DAVID M.",2,0,38,08jun1958,3,0,1,1,1,0,.41999999
1997-1998,105,NC,7,"MCINTYRE, MIKE",1,50,40,06aug1956,1,0,1,1,0,2,.44
1997-1998,105,CA,25,"MCKEON, HOWARD P. (BUCK)",2,0,58,09sep1938,5,0,1,3,3,3,.41
1997-1998,105,GA,4,"MCKINNEY, CYNTHIA ANN",1,100,41,17mar1955,5,1,0,2,0,1,.63999999
1997-1998,105,NY,21,"MCNULTY, MICHAEL R.",1,50,49,16sep1947,9,0,1,2,4,0,.56999999
1997-1998,105,MA,5,"MEEHAN, MARTIN T.",1,100,40,30dec1956,5,0,1,2,0,0,.57999998
1997-1998,105,FL,17,"MEEK, CARRIE P.",1,100,70,29apr1926,5,1,0,1,2,1,.85000002
1997-1998,105,NJ,13,"MENENDEZ, ROBERT",1,88,43,01jan1954,5,0,0,2,1,1,.70999998
1997-1998,105,WA,2,"METCALF, JACK",2,0,69,30nov1927,3,0,1,1,4,0,.47
1997-1998,105,FL,7,"MICA, JOHN L.",2,0,53,27jan1943,5,0,1,1,1,1,.43000001
1997-1998,105,CA,37,"MILLENDER-MCDONALD, JUANITA",1,100,58,07sep1938,1,1,0,1,3,1,.81
1997-1998,105,FL,13,"MILLER, DAN",2,13,54,30may1942,5,0,1,1,1,1,.43000001
1997-1998,105,CA,7,"MILLER, GEORGE",1,100,51,17may1945,23,0,1,2,0,2,.64999998
1997-1998,105,MN,2,"MINGE, DAVID",1,88,54,19mar1942,5,0,1,1,0,2,.44999999
1997-1998,105,HI,2,"MINK, PATSY T.",1,100,69,06dec1927,17,1,0,1,1,0,.56999999
1997-1998,105,MA,9,"MOAKLEY, JOHN",1,75,69,27apr1927,25,0,1,2,0,0,.62
1997-1998,105,NY,13,"MOLINARI, SUSAN",2,0,38,27mar1958,8,0,1,2,1,0,.50999999
1997-1998,105,WV,1,"MOLLOHAN, ALAN B.",1,50,53,14may1943,15,0,1,1,1,4,.49000001
1997-1998,105,VA,8,"MORAN, JAMES P., JR.",1,75,51,16may1945,7,0,1,2,2,3,.55000001
1997-1998,105,KS,1,"MORAN, JERRY",2,25,42,29may1954,1,0,1,1,2,0,.28
1997-1998,105,MD,8,"MORELLA, CONSTANCE A.",2,100,65,12feb1931,11,1,1,2,1,2,.56999999
1997-1998,105,PA,12,"MURTHA, JOHN P.",1,63,65,17jan1932,24,0,1,2,1,2,.46000001
1997-1998,105,NC,9,"MYRICK, SUE",2,13,55,01aug1941,3,1,1,1,3,2,.38
1997-1998,105,NY,8,"NADLER, JERROLD",1,88,49,13jun1947,5,0,1,4,0,1,.76999998
1997-1998,105,MA,2,"NEAL, RICHARD E.",1,75,47,14feb1949,9,0,1,2,1,3,.61000001
1997-1998,105,WA,5,"NETHERCUTT, GEORGE R.",2,0,52,07oct1944,3,0,1,1,1,1,.44
1997-1998,105,WI,1,"NEUMANN, MARK W.",2,0,42,27feb1954,3,0,1,1,1,2,.5
1997-1998,105,OH,18,"NEY, ROBERT WILLIAM (BOB)",2,25,42,05jul1954,3,0,1,2,1,1,.47
1997-1998,105,KY,3,"NORTHUP, ANNE MEAGHER",2,0,48,22jan1948,1,0,1,2,2,4,.52999997
1997-1998,105,GA,10,"NORWOOD, CHARLES",2,0,55,27jul1941,3,0,1,1,0,2,.47999999
1997-1998,105,IA,2,"NUSSLE, JIM",2,13,36,27jun1960,7,0,1,1,1,1,.52999997
1997-1998,105,MN,8,"OBERSTAR, JAMES L.",1,63,62,10sep1934,23,0,1,2,4,2,.52999997
1997-1998,105,WI,7,"OBEY, DAVID R.",1,88,58,03oct1938,29,0,1,2,0,2,.49000001
1997-1998,105,MA,1,"OLVER, JOHN W.",1,100,60,03sep1936,7,0,1,0,1,0,.61000001
1997-1998,105,TX,27,"ORTIZ, SOLOMON",1,63,58,03jun1938,15,0,0,1,1,1,.56999999
1997-1998,105,NY,11,"OWENS, MAJOR ROBERT ODELL",1,100,60,28jun1936,15,0,0,1,1,4,.89999998
1997-1998,105,OH,4,"OXLEY, MICHAEL G.",2,0,52,11feb1944,17,0,1,1,0,1,.37
1997-1998,105,CA,48,"PACKARD, RONALD C.",2,0,65,19jan1931,15,0,1,3,4,3,.34
1997-1998,105,NJ,6,"PALLONE, FRANK, JR.",1,100,45,30oct1951,9,0,1,2,1,1,.54000002
1997-1998,105,NJ,12,"PAPPAS, MICHAEL",2,0,36,29dec1960,1,0,1,1,,,.47999999
1997-1998,105,MS,4,"PARKER, MIKE",2,0,47,31oct1949,9,0,1,1,1,2,.46000001
1997-1998,105,NJ,8,"PASCRELL, WILLIAM J.",1,88,59,27jan1937,1,0,1,2,0,3,.57999998
1997-1998,105,AZ,2,"PASTOR, ED",1,100,53,28jun1943,5,0,1,2,2,0,.63
1997-1998,105,TX,14,"PAUL, RON E.",2,13,61,20aug1935,1,0,1,1,3,2,.41999999
1997-1998,105,NY,27,"PAXON, L. WILLIAM",2,0,42,29apr1954,9,0,1,2,1,0,.43000001
1997-1998,105,NJ,10,"PAYNE, DONALD M.",1,100,62,16jul1934,9,0,0,1,2,1,.81999999
1997-1998,105,IN,7,"PEASE, EDWARD A.",2,0,45,22may1951,1,0,1,1,0,0,.34999999
1997-1998,105,CA,8,"PELOSI, NANCY",1,100,56,26mar1940,11,1,1,2,4,1,.66000003
1997-1998,105,MN,7,"PETERSON, COLLIN C.",1,63,52,29jun1944,7,0,1,1,0,3,.44999999
1997-1998,105,PA,5,"PETERSON, JOHN E.",2,0,58,25dec1938,1,0,1,1,0,1,.40000001
1997-1998,105,WI,6,"PETRI, THOMAS EVERT",2,13,56,28may1940,19,0,1,1,1,0,.44999999
1997-1998,105,MS,3,"PICKERING, CHARLES W., JR.",2,0,33,10aug1963,1,0,1,1,0,4,.36000001
1997-1998,105,VA,2,"PICKETT, OWEN B.",1,100,66,31aug1930,11,0,1,1,3,0,.44
1997-1998,105,PA,16,"PITTS, JOSEPH R.",2,0,57,10oct1939,1,0,1,1,2,1,.37
1997-1998,105,CA,11,"POMBO, RICHARD W.",2,0,36,08jan1961,5,0,1,2,2,1,.46000001
1997-1998,105,ND,1,"POMEROY, EARL R.",1,88,44,02sep1952,5,0,1,1,1,1,.40000001
1997-1998,105,IL,10,"PORTER, JOHN EDWARD",2,25,61,01jun1935,18,0,1,1,3,2,.5
1997-1998,105,OH,2,"PORTMAN, ROBERT J.",2,0,41,19dec1955,5,0,1,1,1,2,.34
1997-1998,105,IL,19,"POSHARD, GLENN",1,63,51,30oct1945,9,0,1,1,1,1,.47
1997-1998,105,NC,4,"PRICE, DAVID E.",1,100,56,17aug1940,11,0,1,1,1,1,.49000001
1997-1998,105,OH,15,"PRYCE, DEBORAH",2,25,45,29jul1951,5,1,1,1,1,1,.44
1997-1998,105,NY,30,"QUINN, JACK",2,38,45,13apr1951,5,0,1,2,1,1,.56999999
1997-1998,105,CA,19,"RADANOVICH, GEORGE",2,0,41,20jun1955,3,0,1,2,0,0,.40000001
1997-1998,105,WV,3,"RAHALL, NICK JOE",1,63,47,20may1949,21,0,1,1,2,1,.57999998
1997-1998,105,MN,3,"RAMSTAD, JIM",2,38,50,06may1946,7,0,1,1,0,0,.47
1997-1998,105,NY,15,"RANGEL, CHARLES",1,88,66,11jun1930,27,0,0,2,1,1,.91000003
1997-1998,105,NM,3,"REDMOND, WILLIAM T.",2,14,41,28jan1955,1,0,1,1,1,1,.51999998
1997-1998,105,OH,16,"REGULA, RALPH S.",2,25,72,03dec1924,25,0,1,1,1,2,.43000001
1997-1998,105,TX,16,"REYES, SILVESTRE",1,88,52,10nov1944,1,0,0,2,2,1,.63
1997-1998,105,CA,1,"RIGGS, FRANK DU",2,0,46,05sep1950,7,0,1,1,1,2,.47999999
1997-1998,105,AL,3,"RILEY, ROBERT R.",2,0,52,03oct1944,1,0,1,1,3,1,.44
1997-1998,105,MI,13,"RIVERS, LYNN N.",1,100,40,19dec1956,3,1,1,1,2,0,.57999998
1997-1998,105,TX,28,"RODRIGUEZ, CIRO D.",1,100,50,09dec1946,1,0,0,2,1,0,.63
1997-1998,105,IN,3,"ROEMER, TIM",1,63,40,30oct1956,7,0,1,2,1,2,.43000001
1997-1998,105,CA,27,"ROGAN, JAMES E.",2,0,39,21aug1957,1,0,1,1,2,0,.49000001
1997-1998,105,KY,5,"ROGERS, HAROLD D.",2,0,59,31dec1937,17,0,1,1,1,2,.47
1997-1998,105,CA,45,"ROHRABACHER, DANA",2,0,49,21jun1947,9,0,1,1,0,0,.38
1997-1998,105,FL,18,"ROS-LEHTINEN, ILEANA",2,13,44,15jul1952,8,1,0,2,2,0,.43000001
1997-1998,105,NJ,9,"ROTHMAN, STEVEN R.",1,100,44,14oct1952,1,0,1,4,1,1,.60000002
1997-1998,105,NJ,5,"ROUKEMA, MARGARET S.",2,38,67,19sep1929,17,1,1,1,1,1,.41999999
1997-1998,105,CA,33,"ROYBAL-ALLARD, LUCILLE",1,100,55,12jun1941,5,1,0,2,2,2,.80000001
1997-1998,105,CA,39,"ROYCE, EDWARD R.",2,0,45,12oct1951,5,0,1,2,0,0,.41
1997-1998,105,IL,1,"RUSH, BOBBY L.",1,100,50,23nov1946,5,0,0,1,1,4,.85000002
1997-1998,105,KS,2,"RYUN, JAMES R.",2,0,49,29apr1947,1,0,1,1,2,2,.38999999
1997-1998,105,MN,5,"SABO, MARTIN OLAV",1,100,58,28feb1938,19,0,1,1,2,0,.62
1997-1998,105,AZ,1,"SALMON, MATTHEW",2,0,38,21jan1958,3,0,1,3,2,2,.44999999
1997-1998,105,CA,46,"SANCHEZ, LORETTA",1,100,37,07jan1960,1,1,0,2,0,0,.49000001
1997-1998,105,VT,1,"SANDERS, BERNARD",3,100,55,08sep1941,7,0,1,4,2,2,.52999997
1997-1998,105,TX,1,"SANDLIN, MAX A., JR.",1,88,44,29sep1952,1,0,1,1,2,2,.44999999
1997-1998,105,SC,1,"SANFORD, MARSHALL",2,13,36,28may1960,3,0,1,1,0,3,.38
1997-1998,105,OH,14,"SAWYER, THOMAS C. (TOM)",1,100,51,15aug1945,11,0,1,1,1,0,.52999997
1997-1998,105,NJ,3,"SAXTON, H. JAMES",2,25,53,22jan1943,13,0,1,1,1,1,.5
1997-1998,105,FL,1,"SCARBOROUGH, JOE",2,0,33,09apr1963,3,0,1,1,0,2,.31
1997-1998,105,CO,6,"SCHAEFER, DANIEL",2,0,60,25jan1936,15,0,1,2,1,3,.43000001
1997-1998,105,CO,4,"SCHAFER, ROBERT W. (BOB)",2,0,34,24jul1962,1,0,1,2,3,1,.41
1997-1998,105,NM,1,"SCHIFF, STEVEN H.",2,0,49,18mar1947,9,0,1,4,1,1,.47999999
1997-1998,105,NY,9,"SCHUMER, CHARLES E.",1,100,46,23nov1950,17,0,1,4,2,0,.66000003
1997-1998,105,VA,3,"SCOTT, ROBERT C.",1,100,49,30apr1947,5,0,0,1,0,0,.72000003
1997-1998,105,WI,9,"SENSENBRENNER, FRANK JAMES",2,0,53,14jun1943,19,0,1,1,0,2,.37
1997-1998,105,NY,16,"SERRANO, JOSE E.",1,100,53,24oct1943,8,0,0,2,2,3,.94
1997-1998,105,TX,5,"SESSIONS, PETER",2,0,41,22mar1955,1,0,1,1,0,2,.46000001
1997-1998,105,AZ,4,"SHADEGG, JOHN B.",2,0,47,22oct1949,3,0,1,1,1,1,.44
1997-1998,105,FL,22,"SHAW, E. CLAY, JR.",2,13,57,19apr1939,17,0,1,2,2,2,.54000002
1997-1998,105,CT,4,"SHAYS, CHRISTOPHER",2,63,51,18oct1945,11,0,1,3,1,0,.50999999
1997-1998,105,CA,24,"SHERMAN, BRAD",1,100,42,24oct1954,1,0,1,4,0,0,.51999998
1997-1998,105,IL,20,"SHIMKUS, JOHN M.",2,0,38,21feb1958,1,0,1,1,0,2,.47
1997-1998,105,PA,9,"SHUSTER, E.G.",2,13,64,23jan1932,25,0,1,1,3,2,.36000001
1997-1998,105,VA,4,"SISISKY, NORMAN",1,88,69,09jun1927,15,0,1,4,0,4,.46000001
1997-1998,105,CO,2,"SKAGGS, DAVID E.",1,88,53,22feb1943,11,0,1,1,1,2,.49000001
1997-1998,105,NM,2,"SKEEN, JOSEPH R.",2,13,69,30jun1927,17,0,1,2,1,1,.46000001
1997-1998,105,MO,4,"SKELTON, IKE",1,63,65,20dec1931,21,0,1,1,1,2,.41
1997-1998,105,NY,28,"SLAUGHTER, LOUISE M.",1,75,67,14aug1929,11,1,1,1,3,0,.55000001
1997-1998,105,WA,9,"SMITH, ADAM",1,100,31,15jun1965,1,0,1,1,0,0,.50999999
1997-1998,105,NJ,4,"SMITH, CHRISTOPHER H.",2,13,43,04mar1953,17,0,1,2,2,2,.50999999
1997-1998,105,TX,21,"SMITH, LAMAR S.",2,0,49,19nov1947,11,0,1,3,1,1,.30000001
1997-1998,105,WA,3,"SMITH, LINDA",2,0,46,16jul1950,3,1,1,1,1,1,.49000001
1997-1998,105,MI,7,"SMITH, NICK H.",2,13,62,05nov1934,5,0,1,1,3,1,.46000001
1997-1998,105,OR,2,"SMITH, ROBERT F.",2,13,65,16jul1931,15,0,1,1,1,2,.38
1997-1998,105,KS,3,"SNOWBARGER, VINCENT K.",2,13,46,09sep1950,1,0,1,1,0,2,.41999999
1997-1998,105,AR,2,"SNYDER, VICTOR F.",1,100,49,27sep1947,1,0,1,1,0,0,.55000001
1997-1998,105,NY,22,"SOLOMON, GERALD B.",2,0,66,14aug1930,19,0,1,1,2,3,.44999999
1997-1998,105,IN,4,"SOUDER, MARK E.",2,25,46,18jul1950,3,0,1,1,1,2,.36000001
1997-1998,105,SC,2,"SPENCE, FLOYD",2,0,68,09apr1928,27,0,1,1,0,4,.41
1997-1998,105,SC,5,"SPRATT, JOHN M.",1,88,54,01nov1942,15,0,1,1,3,0,.46000001
1997-1998,105,MI,8,"STABENOW, DEBORAH ANN",1,88,46,29apr1950,1,1,1,1,1,1,.49000001
1997-1998,105,CA,13,"STARK, FORTNEY (PETE)",1,100,65,11nov1931,25,0,1,1,3,2,.62
1997-1998,105,FL,6,"STEARNS, CLIFFORD",2,0,55,16apr1941,9,0,1,1,0,3,.38999999
1997-1998,105,TX,17,"STENHOLM, CHARLES WALTER",1,50,58,26oct1938,19,0,1,1,1,2,.38999999
1997-1998,105,OH,11,"STOKES, LOUIS",1,100,71,23feb1925,29,0,0,1,3,1,.79000002
1997-1998,105,OH,6,"STRICKLAND, TED",1,88,55,04aug1941,3,0,1,1,0,0,.44
1997-1998,105,AZ,3,"STUMP, BOB",2,0,69,04apr1927,21,0,1,1,1,2,.41
1997-1998,105,MI,1,"STUPAK, BART",1,63,44,29feb1952,5,0,1,2,0,2,.47
1997-1998,105,NH,1,"SUNUNU, JOHN E.",2,0,32,10sep1964,1,0,1,2,1,1,.47999999
1997-1998,105,MO,2,"TALENT, JAMES M.",2,0,40,18oct1956,5,0,1,1,2,1,.41
1997-1998,105,TN,8,"TANNER, JOHN S.",1,75,52,22sep1944,9,0,1,1,1,1,.5
1997-1998,105,CA,10,"TAUSCHER, ELLEN",1,88,45,15nov1951,1,1,1,2,1,0,.47999999
1997-1998,105,LA,3,"TAUZIN, WILBERT J.",2,0,53,14jun1943,18,0,1,2,1,4,.50999999
1997-1998,105,NC,11,"TAYLOR, CHARLES H.",2,0,55,23jan1941,7,0,1,1,0,3,.43000001
1997-1998,105,MS,5,"TAYLOR, GENE",1,13,43,17sep1953,8,0,1,2,2,1,.34999999
1997-1998,105,CA,21,"THOMAS, WILLIAM MARSHALL",2,13,55,06dec1941,19,0,1,1,1,1,.34
1997-1998,105,MS,2,"THOMPSON, BENNIE",1,100,48,28jan1948,5,0,0,1,1,0,.62
1997-1998,105,TX,13,"THORNBERRY, WILLIAM M. (MAC)",2,0,38,15jul1958,3,0,1,1,1,1,.38999999
1997-1998,105,SD,1,"THUNE, JOHN R.",2,13,36,07jan1961,1,0,1,1,2,0,.43000001
1997-1998,105,FL,5,"THURMAN, KAREN L.",1,100,46,12jan1951,5,1,1,1,1,1,.5
1997-1998,105,KS,4,"TIAHRT, TODD",2,0,45,15jun1951,3,0,1,1,1,2,.34999999
1997-1998,105,MA,6,"TIERNEY, JOHN F.",1,100,45,18sep1951,1,0,1,0,0,0,.58999997
1997-1998,105,CA,34,"TORRES, ESTEBAN E.",1,100,66,27jan1930,15,0,0,0,4,1,.63999999
1997-1998,105,NY,10,"TOWNS, EDOLPHUS",1,88,62,21jul1934,15,0,0,1,1,1,.89999998
1997-1998,105,OH,17,"TRAFICANT, JAMES A., JR.",1,63,55,08may1941,13,0,1,2,2,0,.57999998
1997-1998,105,TX,2,"TURNER, JAMES W.",1,88,50,06jun1946,1,0,1,1,1,1,.44999999
1997-1998,105,MI,6,"UPTON, FRED",2,38,43,23apr1953,11,0,1,1,1,1,.46000001
1997-1998,105,NY,12,"VELAZQUEZ, NYDIA M.",1,100,43,28mar1953,5,1,0,2,0,0,.85000002
1997-1998,105,MN,4,"VENTO, BRUCE",1,100,56,07oct1940,21,0,1,2,0,3,.57999998
1997-1998,105,IN,1,"VISCLOSKEY, PETER J.",1,75,47,13aug1949,13,0,1,2,0,2,.57999998
1997-1998,105,NY,25,"WALSH, JAMES T.",2,25,49,19sep1947,9,0,1,2,1,2,.50999999
1997-1998,105,TN,3,"WAMP, ZACH",2,0,39,28oct1957,3,0,1,1,1,1,.46000001
1997-1998,105,CA,35,"WATERS, MAXINE",1,100,58,31aug1938,7,1,0,1,1,1,.83999997
1997-1998,105,OK,3,"WATKINS, WES",2,25,58,15dec1938,1,0,1,1,2,1,.47
1997-1998,105,NC,12,"WATT, MELVIN LU",1,100,51,26aug1945,5,0,0,1,0,2,.69
1997-1998,105,OK,4,"WATTS, JULIUS C.",2,25,39,18nov1957,3,0,0,1,3,2,.40000001
1997-1998,105,CA,29,"WAXMAN, HENRY A.",1,100,57,12sep1939,23,0,1,4,1,1,.66000003
1997-1998,105,PA,7,"WELDON, CURT",2,13,49,22jul1947,11,0,1,1,3,2,.44999999
1997-1998,105,FL,15,"WELDON, DAVID J.",2,0,43,31aug1953,3,0,1,1,1,0,.41
1997-1998,105,IL,11,"WELLER, GERALD C. (JERRY)",2,0,39,07jul1957,3,0,1,1,0,0,.50999999
1997-1998,105,FL,19,"WEXLER, ROBERT",1,100,36,02jan1961,1,0,1,4,2,1,.64999998
1997-1998,105,RI,2,"WEYGAND, ROBERT A.",1,63,48,10may1948,1,0,1,2,2,1,.58999997
1997-1998,105,WA,1,"WHITE, RICHARD",2,38,43,06nov1953,3,0,1,1,3,1,.50999999
1997-1998,105,KY,1,"WHITFIELD, EDWARD",2,0,53,25may1943,3,0,1,1,1,0,.47
1997-1998,105,MS,1,"WICKER, ROGER F.",2,0,45,05jul1951,3,0,1,1,2,1,.41999999
1997-1998,105,WV,2,"WISE, ROBERT E.",1,100,49,06jan1948,15,0,1,1,1,1,.49000001
1997-1998,105,VA,10,"WOLF, FRANK R.",2,13,57,30jan1939,17,0,1,1,4,1,.38
1997-1998,105,CA,6,"WOOLSEY, LYNN",1,100,59,03nov1937,5,1,1,1,1,3,.56999999
1997-1998,105,MD,4,"WYNN, ALBERT R.",1,100,45,10sep1951,5,0,0,1,1,0,.81
1997-1998,105,IL,9,"YATES, SIDNEY RICHARD",1,88,87,27apr1909,47,0,1,4,0,1,.69
1997-1998,105,FL,10,"YOUNG, C.W. (BILL)",2,0,66,16dec1930,27,0,1,1,0,3,.50999999
1997-1998,105,AK,1,"YOUNG, DONALD E.",2,13,63,09jun1933,25,0,1,1,2,0,.33000001
