year,congress,statabb,district,name,party,aauw,age,bday,srvlng,female,white,rgroup,ngirls,nboys,demvote
1997-1998,105,CA,22,"CAPPS, WALTER",1,100,62,05may1934,1,0,1,1,2,1,.44
1997-1998,105,MD,3,"CARDIN, BENJAMIN L.",1,100,53,05oct1943,11,0,1,4,1,1,.57999998
1997-1998,105,IN,10,"CARSON, JULIA M.",1,88,58,08jul1938,1,1,0,1,1,1,.54000002
1997-1998,105,DE,1,"CASTLE, MICHAEL N.",2,63,57,02jul1939,5,0,1,2,0,0,.51999998
1997-1998,105,OH,1,"CHABOT, STEVEN",2,0,43,22jan1953,3,0,1,2,1,1,.5
1997-1998,105,GA,8,"CHAMBLISS, C. SAXBY",2,0,53,10nov1943,3,0,1,1,1,1,.47
1997-1998,105,ID,1,"CHENOWETH, HELEN P.",2,0,58,27jul1938,3,1,1,1,1,1,.34999999
1997-1998,105,NE,2,"CHRISTENSEN, JON LYNN",2,0,33,20feb1963,3,0,1,1,0,0,.38
1997-1998,105,MO,1,"CLAY, WILLIAM",1,100,65,30apr1931,29,0,0,2,2,1,.74000001
1997-1998,105,NC,1,"CLAYTON, EVA",1,100,62,16sep1934,5,1,0,1,1,3,.63
1997-1998,105,TN,5,"CLEMENT, ROBERT N.",1,75,53,23sep1943,10,0,1,1,2,2,.55000001
1997-1998,105,SC,6,"CLYBURN, JAMES E.",1,100,56,21jul1940,5,0,0,1,3,0,.64999998
1997-1998,105,NC,6,"COBLE, HOWARD",2,0,65,18mar1931,13,0,1,1,0,0,.33000001
1997-1998,105,OK,2,"COBURN, THOMAS A.",2,0,48,14mar1948,3,0,1,1,3,0,.47
1997-1998,105,GA,3,"COLLINS, MICHAEL A. (MAC)",2,13,52,14oct1944,5,0,1,1,2,2,.41999999
1997-1998,105,TX,19,"COMBEST, LARRY E.",2,0,51,20mar1945,13,0,1,1,1,1,.25999999
1997-1998,105,CA,18,"CONDIT, GARY A.",1,63,48,20apr1948,8,0,1,1,1,1,.46000001
1997-1998,105,MI,14,"CONYERS, JOHN, JR.",1,100,67,16may1929,33,0,0,1,0,2,.86000001
1997-1998,105,UT,2,"COOK, MERRILL A.",2,0,50,06may1946,1,0,1,3,3,2,.41
1997-1998,105,LA,5,"COOKSEY, JOHN CHARLES",2,13,55,20apr1941,1,0,1,1,3,0,.47999999
1997-1998,105,IL,12,"COSTELLO, JERRY F.",1,63,47,25sep1949,9,0,1,2,1,2,.56
1997-1998,105,CA,47,"COX, C. CHRISTOPHER",2,0,44,16oct1952,9,0,1,2,1,1,.36000001
1997-1998,105,PA,14,"COYNE, WILLIAM J.",1,100,60,24aug1936,17,0,1,2,0,0,.58999997
1997-1998,105,AL,5,"CRAMER, BUD",2,63,49,22aug1947,7,0,1,1,1,0,.43000001
1997-1998,105,IL,8,"CRANE, PHILIP M.",2,0,66,03nov1930,29,0,1,1,7,1,.41
1997-1998,105,ID,2,"CRAPO, MICHAEL D.",2,0,45,20may1951,5,0,1,3,3,2,.31999999
1997-1998,105,WY,1,"CUBIN, BARBARA",2,0,50,30nov1946,3,1,1,1,0,2,.5
1997-1998,105,MD,7,"CUMMINGS, ELIJAH E.",1,100,45,18jan1951,1,0,0,1,1,0,.81
1997-1998,105,CA,51,"CUNNINGHAM, RANDY (DUKE)",2,0,55,08dec1941,7,0,1,1,2,1,.38
1997-1998,105,MO,6,"DANNER, PAT",1,63,63,13jan1934,5,1,1,2,2,2,.46000001
1997-1998,105,IL,7,"DAVIS, DANNY K.",1,100,55,16sep1941,1,0,0,1,0,2,.81999999
1997-1998,105,FL,11,"DAVIS, JIM",1,88,39,11oct1957,1,0,1,1,0,2,.51999998
1997-1998,105,VA,11,"DAVIS, THOMAS M.",2,63,48,05jan1949,3,0,1,3,2,1,.47999999
1997-1998,105,GA,9,"DEAL, NATHAN",2,0,54,25aug1942,5,0,1,1,3,1,.34999999
1997-1998,105,OR,4,"DEFAZIO, PETER A.",1,100,49,27may1947,11,0,1,2,0,0,.44999999
1997-1998,105,CO,1,"DEGETTE, DIANA L.",1,100,39,29jul1957,1,1,1,1,2,0,.61000001
1997-1998,105,MA,10,"DELAHUNT, WILLIAM D.",1,100,55,18jul1941,1,0,1,2,2,0,.56
1997-1998,105,CT,3,"DELAURO, ROSA L.",1,100,53,02mar1943,7,1,1,2,2,1,.56999999
1997-1998,105,TX,22,"DELAY, THOMAS D.",2,0,49,08apr1947,13,0,1,1,1,0,.38
1997-1998,105,CA,9,"DELLUMS, RONALD V.",1,100,61,24nov1935,27,0,0,1,2,1,.75
1997-1998,105,FL,20,"DEUTSCH, PETER",1,100,39,01apr1957,5,0,1,4,1,1,.58999997
1997-1998,105,FL,21,"DIAZ-BALART, LINCOLN",2,25,42,13aug1954,5,0,0,2,0,2,.44999999
1997-1998,105,AR,4,"DICKEY, JAY",2,13,57,14dec1939,5,0,1,1,2,2,.60000002
1997-1998,105,WA,6,"DICKS, NORMAN",1,100,56,16dec1940,21,0,1,1,0,2,.5
1997-1998,105,MI,16,"DINGELL, JOHN DAVID, JR.",1,63,70,08jul1926,42,0,1,2,2,2,.54000002
1997-1998,105,CA,32,"DIXON, JULIAN CAREY",1,100,62,08aug1934,19,0,0,1,0,1,.81
1997-1998,105,TX,10,"DOGGETT, LLOYD",1,100,50,06oct1946,3,0,1,1,2,0,.54000002
1997-1998,105,CA,20,"DOOLEY, CALVIN",1,100,43,11jan1954,7,0,1,1,2,0,.51999998
1997-1998,105,CA,4,"DOOLITTLE, JOHN T.",2,0,46,30oct1950,7,0,1,3,1,1,.38
1997-1998,105,PA,18,"DOYLE, MICHAEL F.",1,50,43,05aug1953,3,0,1,2,1,3,.51999998
1997-1998,105,CA,28,"DREIER, DAVID",2,0,44,05jul1952,17,0,1,3,0,0,.44999999
1997-1998,105,TN,2,"DUNCAN, JOHN J., JR.",2,0,49,21jul1947,9,0,1,1,2,2,.41999999
1997-1998,105,WA,8,"DUNN, JENNIFER",2,0,55,29jul1941,5,1,1,1,0,2,.47
1997-1998,105,TX,11,"EDWARDS, CHET",1,100,45,24nov1951,7,0,1,1,0,1,.41999999
1997-1998,105,MI,3,"EHLERS, VERNON J.",2,25,53,06feb1943,3,0,1,1,2,2,.38999999
1997-1998,105,MD,2,"EHRLICH, ROBERT L., JR.",2,25,49,25nov1947,3,0,1,1,0,0,.40000001
1997-1998,105,MO,8,"EMERSON, JOANN",2,0,46,16sep1950,1,1,1,1,4,0,.44999999
1997-1998,105,NY,17,"ENGEL, ELIOT L.",1,100,49,18feb1947,9,0,1,4,1,2,.85000002
1997-1998,105,PA,21,"ENGLISH, PHILIP S.",2,38,40,20jun1956,3,0,1,2,0,0,.49000001
1997-1998,105,NV,1,"ENSIGN, JOHN E.",2,25,38,25mar1958,3,0,1,1,1,1,.50999999
1997-1998,105,CA,14,"ESHOO, ANNA G.",1,100,54,13dec1942,5,1,1,2,1,1,.57999998
1997-1998,105,NC,2,"ETHERIDGE, BOBBY R.",1,88,55,07aug1941,1,0,1,1,1,2,.41999999
1997-1998,105,IL,17,"EVANS, LANE",1,100,45,04aug1951,15,0,1,2,0,0,.50999999
1997-1998,105,AL,2,"EVERETT, TERRY",2,0,59,15feb1937,5,0,1,1,0,0,.37
1997-1998,105,IL,15,"EWING, THOMAS W.",2,0,61,19sep1935,5,0,1,1,4,2,.44999999
1997-1998,105,CA,17,"FARR, SAM",1,100,55,04jul1941,5,0,1,1,1,0,.55000001
1997-1998,105,PA,2,"FATTAH, CHAKA",1,88,40,21nov1956,3,0,0,1,2,1,.86000001
1997-1998,105,IL,13,"FAWELL, HARRIS W.",2,38,67,25mar1929,13,0,1,1,1,2,.41
1997-1998,105,CA,3,"FAZIO, VICTOR HERBERT",1,100,54,11oct1942,19,0,1,1,3,1,.44999999
1997-1998,105,CA,50,"FILNER, BOB",1,100,54,04sep1942,5,0,1,4,1,1,.60000002
1997-1998,105,NY,6,"FLAKE, FLOYD H.",1,40,51,30jan1945,11,0,0,1,2,2,.85000002
1997-1998,105,PA,1,"FOGLIETTA, THOMAS M.",1,60,68,03dec1928,17,0,1,2,0,0,.82999998
1997-1998,105,FL,16,"FOLEY, MARK",2,13,42,08sep1954,3,0,1,2,0,0,.47
1997-1998,105,NY,1,"FORBES, MICHAEL P.",2,25,44,16jul1952,3,0,1,2,1,1,.50999999
1997-1998,105,TN,9,"FORD, HAROLD, JR.",1,100,26,11may1970,1,0,0,1,0,0,.70999998
1997-1998,105,FL,4,"FOWLER, TILLIE",2,13,54,23dec1942,5,1,1,1,2,0,.36000001
1997-1998,105,PA,13,"FOX, JON D.",2,25,49,22apr1947,3,0,1,4,0,0,.5
1997-1998,105,MA,4,"FRANK, BARNEY",1,100,56,31mar1940,17,0,1,4,0,0,.63999999
1997-1998,105,NJ,7,"FRANKS, ROBERT",2,25,45,21sep1951,5,0,1,1,0,0,.50999999
1997-1998,105,NJ,11,"FRELINGHUYSEN, RODNEY",2,38,50,29apr1946,3,0,1,1,2,0,.41999999
1997-1998,105,TX,24,"FROST, JONAS MARTIN, III",1,88,55,01jan1942,19,0,1,4,3,0,.54000002
1997-1998,105,OR,1,"FURSE, ELIZABETH",1,100,60,13oct1936,5,1,1,1,1,1,.5
1997-1998,105,CA,23,"GALLEGLY, ELTON",2,0,52,07mar1944,11,0,1,1,1,3,.44999999
1997-1998,105,IA,4,"GANSKE, JOHN G.",2,13,47,31mar1949,3,0,1,2,2,1,.49000001
1997-1998,105,CT,2,"GEJDENSON, SAMUEL",1,100,48,20may1948,17,0,1,4,1,1,.52999997
1997-1998,105,PA,17,"GEKAS, GEORGE W.",2,0,66,14apr1930,15,0,1,2,0,0,.37
1997-1998,105,MO,3,"GEPHARDT, RICHARD",1,88,55,31jan1941,20,0,1,1,2,1,.47999999
1997-1998,105,NV,2,"GIBBONS, JAMES A.",2,25,52,16dec1944,1,0,1,1,1,2,.38999999
1997-1998,105,MD,1,"GILCHREST, WAYNE T.",2,50,50,15apr1946,7,0,1,1,1,2,.43000001
1997-1998,105,OH,5,"GILLMOR, PAUL E.",2,0,57,01feb1939,9,0,1,1,2,3,.41999999
1997-1998,105,NY,20,"GILMAN, BENJAMIN",2,88,74,06dec1922,25,0,1,4,1,2,.54000002
1997-1998,105,GA,6,"GINGRICH, NEWTON LEROY",2,0,53,17jun1943,19,0,1,1,2,0,.33000001
1997-1998,105,TX,20,"GONZALEZ, HENRY B.",1,13,80,03may1916,36,0,0,2,4,4,.60000002
1997-1998,105,VA,5,"GOODE, VIRGIL H., JR.",1,38,50,17oct1946,1,0,1,1,1,0,.43000001
1997-1998,105,VA,6,"GOODLATTE, ROBERT W.",2,13,44,22sep1952,5,0,1,3,1,1,.41
1997-1998,105,PA,19,"GOODLING, WILLIAM",2,0,69,05dec1927,23,0,1,1,1,1,.51999998
1997-1998,105,TN,6,"GORDON, BART J.",1,75,47,24jan1949,13,0,1,1,0,0,.44999999
1997-1998,105,FL,14,"GOSS, PORTER J.",2,0,58,26nov1938,9,0,1,1,1,3,.38
1997-1998,105,SC,3,"GRAHAM, LINDSEY",2,0,41,09jul1955,3,0,1,1,0,0,.38999999
1997-1998,105,TX,12,"GRANGER, KAY",2,13,53,18jan1943,1,1,1,1,1,2,.46000001
1997-1998,105,TX,29,"GREEN, GENE",1,100,49,17oct1947,5,0,1,1,1,1,.61000001
1997-1998,105,PA,8,"GREENWOOD, JIM",2,38,45,04may1951,5,0,1,1,2,2,.44999999
1997-1998,105,IL,4,"GUTIERREZ, LUIS V.",1,100,43,10dec1953,5,0,0,2,2,0,.80000001
1997-1998,105,MN,1,"GUTKNECHT, GILBERT",2,0,45,20mar1951,3,0,1,2,2,1,.47999999
1997-1998,105,TX,4,"HALL, RALPH M.",1,13,73,03may1923,17,0,1,1,0,3,.34999999
1997-1998,105,OH,3,"HALL, TONY PATRICK",1,50,54,16jan1942,19,0,1,1,1,0,.5
1997-1998,105,IN,9,"HAMILTON, LEE H.",1,63,65,20apr1931,33,0,1,1,2,1,.44
1997-1998,105,UT,1,"HANSEN, JAMES V.",2,0,64,14aug1932,17,0,1,3,2,3,.28999999
1997-1998,105,CA,36,"HARMAN, JANE",1,100,51,28jun1945,5,1,1,4,2,2,.47
1997-1998,105,IL,14,"HASTERT, DENNIS J.",2,0,55,02jan1942,11,0,1,1,0,2,.41
1997-1998,105,FL,23,"HASTINGS, ALCEE L.",1,88,60,05sep1936,5,0,0,1,2,1,.74000001
1997-1998,105,WA,4,"HASTINGS, RICHARD",2,0,55,07feb1941,3,0,1,2,2,1,.40000001
1997-1998,105,AZ,6,"HAYWORTH, J.D.",2,0,38,12jul1958,3,0,1,1,2,1,.47
1997-1998,105,CO,5,"HEFLEY, JOEL M.",2,0,61,18apr1935,11,0,1,1,3,0,.33000001
1997-1998,105,NC,8,"HEFNER, W.G. (BILL)",1,88,66,11apr1930,23,0,1,1,2,0,.43000001
1997-1998,105,CA,2,"HERGER, WALTER",2,0,51,20may1945,11,0,1,3,3,5,.36000001
1997-1998,105,MT,1,"HILL, RICK",2,0,50,30dec1946,1,0,1,1,0,3,.41
1997-1998,105,TN,4,"HILLEARY, WILLIAM",2,0,37,20jun1959,3,0,1,1,0,0,.46000001
1997-1998,105,AL,7,"HILLIARD, EARL F.",1,100,54,09apr1942,5,0,0,1,1,1,.75
1997-1998,105,NY,26,"HINCHEY, MAURICE D.",1,100,58,27oct1938,5,0,1,2,1,2,.50999999
1997-1998,105,TX,15,"HINOJOSA, RUBEN E.",1,88,56,20aug1940,1,0,0,2,4,1,.60000002
1997-1998,105,OH,7,"HOBSON, DAVID L.",2,25,60,17oct1936,7,0,1,1,2,1,.41
1997-1998,105,MI,2,"HOEKSTRA, PETER",2,0,43,30oct1953,5,0,1,1,2,1,.41
1997-1998,105,PA,6,"HOLDEN, TIM",1,50,39,05mar1957,5,0,1,2,0,0,.41999999
1997-1998,105,OR,5,"HOOLEY, DARLENE KAY",1,100,57,04apr1939,1,1,1,1,1,1,.47
1997-1998,105,CA,38,"HORN, STEVE",2,63,65,31may1931,5,0,1,1,1,1,.52999997
1997-1998,105,IN,8,"HOSTETTLER, JOHN",2,0,45,19jun1951,3,0,1,1,2,2,.43000001
1997-1998,105,NY,31,"HOUGHTON, AMORY, JR.",2,75,70,07aug1926,11,0,1,1,0,0,.44
1997-1998,105,MD,5,"HOYER, STENY H.",1,100,57,14jun1939,17,0,1,1,3,0,.50999999
1997-1998,105,MO,9,"HULSHOF, KENNY",2,0,38,22mar1958,1,0,1,2,0,0,.44
1997-1998,105,CA,52,"HUNTER, DUNCAN L.",2,0,48,31may1948,17,0,1,1,0,2,.41
1997-1998,105,AR,3,"HUTCHINSON, ASA",2,13,46,03dec1950,1,0,1,1,1,3,.44
1997-1998,105,IL,6,"HYDE, HENRY JOHN",2,0,72,18apr1924,23,0,1,2,1,3,.41999999
1997-1998,105,SC,4,"INGLIS, ROBERT",2,0,37,11oct1959,5,0,1,1,3,1,.37
1997-1998,105,OK,5,"ISTOOK, ERNEST JIM",2,0,46,11feb1950,5,0,1,3,3,2,.31
1997-1998,105,IL,2,"JACKSON, JESSE L., JR.",1,100,31,11mar1965,3,0,0,1,0,0,.85000002
1997-1998,105,LA,2,"JEFFERSON, WILLIAM J.",1,75,49,14mar1947,7,0,0,1,5,0,.77999997
1997-1998,105,TN,1,"JENKINS, WILLIAM L.",2,13,60,29nov1936,1,0,1,1,2,2,.37
1997-1998,105,LA,7,"JOHN, CHRIS",1,50,37,05jan1960,1,0,1,2,0,0,.54000002
1997-1998,105,TX,30,"JOHNSON, EDDIE BERNICE",1,100,61,03dec1935,5,1,0,1,0,1,.69999999
1997-1998,105,WI,8,"JOHNSON, JAY W.",1,88,53,30sep1943,1,0,1,1,0,0,.46000001
