"athlete","gender","age","sport","gold","silver","bronze","total","id","season","year","country"
"Mohammad Tawfiq Bakhshi","Male",30,"Judo",0,0,0,0,"mohammad-tawfiq-bakhshi-1","summer","2016","Afghanistan"
"Kamia Yousufi","Female",20,"Athletics",0,0,0,0,"kamia-yousufi-1","summer","2016","Afghanistan"
"Abdul Wahab Zahiri","Male",24,"Athletics",0,0,0,0,"abdul-wahab-zahiri-1","summer","2016","Afghanistan"
"Briken Calja","Male",26,"Weightlifting",0,0,0,0,"briken-calja-1","summer","2016","Albania"
"Luiza Gega","Female",27,"Athletics",0,0,0,0,"luiza-gega-1","summer","2016","Albania"
"Sidni Hoxha","Male",24,"Swimming",0,0,0,0,"sidni-hoxha-1","summer","2016","Albania"
"Nikol Merizaj","Female",17,"Swimming",0,0,0,0,"nikol-merizaj-1","summer","2016","Albania"
"Izmir Smajlaj","Male",23,"Athletics",0,0,0,0,"izmir-smajlaj-1","summer","2016","Albania"
"Evagjelia Veli","Female",25,"Weightlifting",0,0,0,0,"evagjelia-veli-1","summer","2016","Albania"
"Taoufik Makhloufi","Male",28,"Athletics",0,2,0,2,"taoufik-makhloufi-1","summer","2016","Algeria"
"Ilyas Abbadi","Male",23,"Boxing",0,0,0,0,"ilyas-abbadi-1","summer","2016","Algeria"
"Ayoub Abdellaoui","Male",23,"Football",0,0,0,0,"ayoub-abdellaoui-1","summer","2016","Algeria"
"Rachid Ait Atmane","Male",23,"Football",0,0,0,0,"rachid-ait-atmane-1","summer","2016","Algeria"
"Souad Aït Salem","Female",37,"Athletics",0,0,0,0,"souad-ait-salem-1","summer","2016","Algeria"
"Sonia Asselah","Female",24,"Judo",0,0,0,0,"sonia-asselah-1","summer","2016","Algeria"
"Katia Belabbas","Female",20,"Sailing",0,0,0,0,"katia-belabbas-1","summer","2016","Algeria"
"Amine Belferar","Male",25,"Athletics",0,0,0,0,"amine-belferar-1","summer","2016","Algeria"
"Haris Belkebla","Male",22,"Football",0,0,0,0,"haris-belkebla-1","summer","2016","Algeria"
"Meziane Ben Tahar","Male",22,"Football",0,0,0,0,"meziane-ben-tahar-1","summer","2016","Algeria"
"Tarek Aziz Benaissa","Male",25,"Wrestling",0,0,0,0,"tarek-aziz-benaissa-1","summer","2016","Algeria"
"Abderrahmane Benamadi","Male",31,"Judo",0,0,0,0,"abderrahmane-benamadi-1","summer","2016","Algeria"
"Reda Benbaziz","Male",22,"Boxing",0,0,0,0,"reda-benbaziz-1","summer","2016","Algeria"
"Abdelhafid Benchabla","Male",29,"Boxing",0,0,0,0,"abdelhafid-benchabla-1","summer","2016","Algeria"
"Sofiane Bendebka","Male",23,"Football",0,0,0,0,"sofiane-bendebka-1","summer","2016","Algeria"
"Abdelraouf Benguit","Male",20,"Football",0,0,0,0,"abdelraouf-benguit-1","summer","2016","Algeria"
"Mohammed Benkablia","Male",23,"Football",0,0,0,0,"mohammed-benkablia-1","summer","2016","Algeria"
"Mohamed Benkhemassa","Male",23,"Football",0,0,0,0,"mohamed-benkhemassa-1","summer","2016","Algeria"
"Amina Bettiche","Female",28,"Athletics",0,0,0,0,"amina-bettiche-1","summer","2016","Algeria"
"Walid Bidani","Male",22,"Weightlifting",0,0,0,0,"walid-bidani-1","summer","2016","Algeria"
"Chafik Bouaoud","Male",17,"Shooting",0,0,0,0,"chafik-bouaoud-1","summer","2016","Algeria"
"Hicham Bouchicha","Male",27,"Athletics",0,0,0,0,"hicham-bouchicha-1","summer","2016","Algeria"
"Sid Boudina","Male",26,"Rowing",0,0,0,0,"sid-boudina-1","summer","2016","Algeria"
"Adem Boudjemline","Male",22,"Wrestling",0,0,0,0,"adem-boudjemline-1","summer","2016","Algeria"
"Farah Boufadene","Female",17,"Gymnastics",0,0,0,0,"farah-boufadene-1","summer","2016","Algeria"
"Chouaib Bouloudinats","Male",29,"Boxing",0,0,0,0,"chouaib-bouloudinats-1","summer","2016","Algeria"
"Baghdad Bounedjah","Male",24,"Football",0,0,0,0,"baghdad-bounedjah-1","summer","2016","Algeria"
"Hamza Bouras","Male",28,"Sailing",0,0,0,0,"hamza-bouras-1","summer","2016","Algeria"
"Mohamed Abdeldjalil Bourguieg","Male",19,"Gymnastics",0,0,0,0,"mohamed-abdeldjalil-bourguieg-1","summer","2016","Algeria"
"Larbi Bourrada","Male",28,"Athletics",0,0,0,0,"larbi-bourrada-1","summer","2016","Algeria"
"Lyes Bouyacoub","Male",33,"Judo",0,0,0,0,"lyes-bouyacoub-1","summer","2016","Algeria"
"Farid Chaal","Male",22,"Football",0,0,0,0,"farid-chaal-1","summer","2016","Algeria"
