"athlete","gender","age","sport","gold","silver","bronze","total","id","season","year","country"
"Harold Hardwick","Male",23,"Swimming",1,0,2,3,"harold-hardwick-1","summer","1912","Australasia"
"Cecil Healy","Male",30,"Swimming",1,1,0,2,"cecil-healy-1","summer","1912","Australasia"
"Les Boardman","Male",22,"Swimming",1,0,0,1,"les-boardman-1","summer","1912","Australasia"
"Malcolm Champion","Male",28,"Swimming",1,0,0,1,"malcolm-champion-1","summer","1912","Australasia"
"Fanny Durack","Female",22,"Swimming",1,0,0,1,"fanny-durack-1","summer","1912","Australasia"
"Mina Wylie","Female",20,"Swimming",0,1,0,1,"mina-wylie-1","summer","1912","Australasia"
"Tony Wilding","Male",28,"Tennis",0,0,1,1,"tony-wilding-1","summer","1912","Australasia"
"Roger Fitzhardinge","Male",33,"Rowing",0,0,0,0,"roger-fitzhardinge-1","summer","1912","Australasia"
"Simon Fraser","Male",27,"Rowing",0,0,0,0,"simon-fraser-1","summer","1912","Australasia"
"Harry Hauenstein","Male",29,"Rowing",0,0,0,0,"harry-hauenstein-1","summer","1912","Australasia"
"George Hill","Male",21,"Athletics",0,0,0,0,"george-hill-1","summer","1912","Australasia"
"Bill Longworth","Male",19,"Swimming",0,0,0,0,"bill-longworth-1","summer","1912","Australasia"
"Cecil McVilly","Male",21,"Rowing",0,0,0,0,"cecil-mcvilly-1","summer","1912","Australasia"
"Syd Middleton","Male",28,"Rowing",0,0,0,0,"syd-middleton-1","summer","1912","Australasia"
"William Murray","Male",30,"Athletics",0,0,0,0,"william-murray-1","summer","1912","Australasia"
"Thomas Parker","Male",28,"Rowing",0,0,0,0,"thomas-parker-1","summer","1912","Australasia"
"Stuart Poulter","Male",23,"Athletics",0,0,0,0,"stuart-poulter-1","summer","1912","Australasia"
"Claude Ross","Male",18,"Athletics",0,0,0,0,"claude-ross-1","summer","1912","Australasia"
"Harry Ross-Soden","Male",25,"Rowing",0,0,0,0,"harry-ross-soden-1","summer","1912","Australasia"
"Jack Ryrie","Male",25,"Rowing",0,0,0,0,"jack-ryrie-1","summer","1912","Australasia"
"Frank Schryver","Male",23,"Swimming",0,0,0,0,"frank-schryver-1","summer","1912","Australasia"
"William Stewart","Male",22,"Athletics",0,0,0,0,"william-stewart-1","summer","1912","Australasia"
"Theo Tartakover","Male",31,"Swimming",0,0,0,0,"theo-tartakover-1","summer","1912","Australasia"
"Robert Waley","Male",22,"Rowing",0,0,0,0,"robert-waley-1","summer","1912","Australasia"
"Hugh Ward","Male",22,"Rowing",0,0,0,0,"hugh-ward-1","summer","1912","Australasia"
"Richard Verderber","Male",28,"Fencing",0,1,1,2,"richard-verderber-1","summer","1912","Austria"
"Albert Bógathy","Male",30,"Fencing",0,1,0,1,"albert-bogathy-1","summer","1912","Austria"
"Rudolf Cvetko","Male",31,"Fencing",0,1,0,1,"rudolf-cvetko-1","summer","1912","Austria"
"Friedrich Golling","Male",28,"Fencing",0,1,0,1,"friedrich-golling-1","summer","1912","Austria"
"Otto Herschmann","Male",35,"Fencing",0,1,0,1,"otto-herschmann-1","summer","1912","Austria"
"Fritz Felix Piepes","Male",25,"Tennis",0,1,0,1,"fritz-felix-piepes-1","summer","1912","Austria"
"Andreas Suttner","Male",35,"Fencing",0,1,0,1,"andreas-suttner-1","summer","1912","Austria"
"Reinhold Trampler","Male",34,"Fencing",0,1,0,1,"reinhold-trampler-1","summer","1912","Austria"
"Arthur Zborzil","Male",26,"Tennis",0,1,0,1,"arthur-zborzil-1","summer","1912","Austria"
"Grete Adler","Female",16,"Swimming",0,0,1,1,"grete-adler-1","summer","1912","Austria"
"Klara Milch","Female",20,"Swimming",0,0,1,1,"klara-milch-1","summer","1912","Austria"
"Fini Sticker","Female",17,"Swimming",0,0,1,1,"fini-sticker-1","summer","1912","Austria"
"Berta Zahourek","Female",16,"Swimming",0,0,1,1,"berta-zahourek-1","summer","1912","Austria"
"Karl Barl","Male",31,"Wrestling",0,0,0,0,"karl-barl-1","summer","1912","Austria"
"Edmond Bernhardt","Male",27,"Modern Pentathlon, Shooting",0,0,0,0,"edmond-bernhardt-1","summer","1912","Austria"
"Gustav Blaha","Male",24,"Football",0,0,0,0,"gustav-blaha-1","summer","1912","Austria"
"Seppl Brandstetter","Male",20,"Football",0,0,0,0,"seppl-brandstetter-1","summer","1912","Austria"
"Karl Braunsteiner","Male",20,"Football",0,0,0,0,"karl-braunsteiner-1","summer","1912","Austria"
"Hermann Buchfelder","Male",22,"Water Polo",0,0,0,0,"hermann-buchfelder-1","summer","1912","Austria"
