"athlete","gender","age","sport","gold","silver","bronze","total","id","season","year","country"
"George Finch","Male",35,"Alpinism",1,0,0,1,"george-finch-1","winter","1924","Australia"
"Alfred Berger","Male",29,"Figure Skating",1,0,0,1,"alfred-berger-1","winter","1924","Austria"
"Helene Engelmann","Female",25,"Figure Skating",1,0,0,1,"helene-engelmann-1","winter","1924","Austria"
"Herma Planck-Szabo","Female",21,"Figure Skating",1,0,0,1,"herma-planck-szabo-1","winter","1924","Austria"
"Willy Böckl","Male",30,"Figure Skating",0,1,0,1,"willy-bockl-1","winter","1924","Austria"
"René Mortiaux","Male",NA,"Bobsleigh",0,0,1,1,"rene-mortiaux-1","winter","1924","Belgium"
"Charles Mulder","Male",26,"Bobsleigh",0,0,1,1,"charles-mulder-1","winter","1924","Belgium"
"Paul Van den Broek","Male",19,"Bobsleigh, Ice Hockey",0,0,1,1,"paul-van-den-broek-1","winter","1924","Belgium"
"Victor Verschueren","Male",30,"Bobsleigh, Ice Hockey",0,0,1,1,"victor-verschueren-1","winter","1924","Belgium"
"Henri Willems","Male",24,"Bobsleigh",0,0,1,1,"henri-willems-1","winter","1924","Belgium"
"Louis De Ridder","Male",21,"Ice Hockey, Speed Skating",0,0,0,0,"louis-de-ridder-1","winter","1924","Belgium"
"François Franck","Male",19,"Ice Hockey",0,0,0,0,"francois-franck-1","winter","1924","Belgium"
"Georgette Herbos","Female",NA,"Figure Skating",0,0,0,0,"georgette-herbos-1","winter","1924","Belgium"
"Henri Louette","Male",23,"Ice Hockey",0,0,0,0,"henri-louette-1","winter","1924","Belgium"
"Freddy Mésot","Male",18,"Figure Skating",0,0,0,0,"freddy-mesot-1","winter","1924","Belgium"
"Marcel Moens","Male",31,"Speed Skating",0,0,0,0,"marcel-moens-1","winter","1924","Belgium"
"André Poplimont","Male",30,"Ice Hockey",0,0,0,0,"andre-poplimont-1","winter","1924","Belgium"
"Ferdinand Rudolph","Male",NA,"Ice Hockey",0,0,0,0,"ferdinand-rudolph-1","winter","1924","Belgium"
"Carlos Van den Driessche","Male",22,"Ice Hockey",0,0,0,0,"carlos-van-den-driessche-1","winter","1924","Belgium"
"Gaston Van Hazebroeck","Male",NA,"Speed Skating",0,0,0,0,"gaston-van-hazebroeck-1","winter","1924","Belgium"
"Philippe Van Volckxsom","Male",25,"Ice Hockey, Speed Skating",0,0,0,0,"philippe-van-volckxsom-1","winter","1924","Belgium"
"Gaston Van Volxem","Male",NA,"Ice Hockey",0,0,0,0,"gaston-van-volxem-1","winter","1924","Belgium"
"Georges Wagemans","Male",NA,"Figure Skating",0,0,0,0,"georges-wagemans-1","winter","1924","Belgium"
"Jack Cameron","Male",21,"Ice Hockey",1,0,0,1,"jack-cameron-1","winter","1924","Canada"
