"athlete","gender","age","sport","gold","silver","bronze","total","id","season","year","country"
"Julio Cernuda","Male",27,"Alpine Skiing",0,0,0,0,"julio-cernuda-1","winter","1948","Argentina"
"Salvador Correa","Male",31,"Bobsleigh",0,0,0,0,"salvador-correa-1","winter","1948","Argentina"
"Gino de Pellegrín","Male",21,"Alpine Skiing",0,0,0,0,"gino-de-pellegrin-1","winter","1948","Argentina"
"Luis de Ridder","Male",19,"Alpine Skiing",0,0,0,0,"luis-de-ridder-1","winter","1948","Argentina"
"Marcello de Ridder","Male",25,"Bobsleigh",0,0,0,0,"marcello-de-ridder-1","winter","1948","Argentina"
"Justo del Carril","Male",24,"Alpine Skiing, Bobsleigh",0,0,0,0,"justo-del-carril-1","winter","1948","Argentina"
"Otto Jung","Male",17,"Alpine Skiing",0,0,0,0,"otto-jung-1","winter","1948","Argentina"
"Pablo Rosenkjer","Male",17,"Alpine Skiing",0,0,0,0,"pablo-rosenkjer-1","winter","1948","Argentina"
"Héctor Tomasi","Male",19,"Bobsleigh",0,0,0,0,"hector-tomasi-1","winter","1948","Argentina"
"Trude Jochum-Beiser","Female",20,"Alpine Skiing",1,1,0,2,"trude-jochum-beiser-1","winter","1948","Austria"
"Erika Mahringer","Female",23,"Alpine Skiing",0,0,2,2,"erika-mahringer-1","winter","1948","Austria"
"Franz Gabl","Male",26,"Alpine Skiing",0,1,0,1,"franz-gabl-1","winter","1948","Austria"
"Eva Pawlik","Female",20,"Figure Skating",0,1,0,1,"eva-pawlik-1","winter","1948","Austria"
"Resi Hammerer","Female",22,"Alpine Skiing",0,0,1,1,"resi-hammerer-1","winter","1948","Austria"
"Edi Rada","Male",25,"Figure Skating",0,0,1,1,"edi-rada-1","winter","1948","Austria"
"Hildegard Appeltauer","Female",20,"Figure Skating",0,0,0,0,"hildegard-appeltauer-1","winter","1948","Austria"
"Martha Bachem","Female",23,"Figure Skating",0,0,0,0,"martha-bachem-1","winter","1948","Austria"
"Franz Csöngei","Male",34,"Ice Hockey",0,0,0,0,"franz-csongei-1","winter","1948","Austria"
"Fritz Demmer","Male",36,"Ice Hockey",0,0,0,0,"fritz-demmer-1","winter","1948","Austria"
"Josef Deutschmann","Male",27,"Cross Country Skiing",0,0,0,0,"josef-deutschmann-1","winter","1948","Austria"
"Egon Engel","Male",29,"Ice Hockey",0,0,0,0,"egon-engel-1","winter","1948","Austria"
"Walter Feistritzer","Male",27,"Ice Hockey",0,0,0,0,"walter-feistritzer-1","winter","1948","Austria"
"Susi Giebisch","Female",18,"Figure Skating",0,0,0,0,"susi-giebisch-1","winter","1948","Austria"
"Gustav Gross","Male",22,"Ice Hockey",0,0,0,0,"gustav-gross-1","winter","1948","Austria"
"Josl Gstrein","Male",30,"Cross Country Skiing, Nordic Combined",0,0,0,0,"josl-gstrein-1","winter","1948","Austria"
"Helmut Hadwiger","Male",25,"Ski Jumping",0,0,0,0,"helmut-hadwiger-1","winter","1948","Austria"
"Engelbert Haider","Male",25,"Alpine Skiing",0,0,0,0,"engelbert-haider-1","winter","1948","Austria"
"Hubert Hammerschmied","Male",33,"Cross Country Skiing, Nordic Combined, Ski Jumping",0,0,0,0,"hubert-hammerschmied-1","winter","1948","Austria"
"Paul Haslwanter","Male",33,"Cross Country Skiing, Nordic Combined",0,0,0,0,"paul-haslwanter-1","winter","1948","Austria"
"Hans Hinterholzer","Male",24,"Alpine Skiing",0,0,0,0,"hans-hinterholzer-1","winter","1948","Austria"
"Gregor Höll","Male",36,"Ski Jumping",0,0,0,0,"gregor-holl-1","winter","1948","Austria"
"Fredl Huber","Male",17,"Ice Hockey",0,0,0,0,"fredl-huber-1","winter","1948","Austria"
"Engelbert Hundertpfund","Male",29,"Cross Country Skiing",0,0,0,0,"engelbert-hundertpfund-1","winter","1948","Austria"
"Julius Juhn","Male",26,"Ice Hockey",0,0,0,0,"julius-juhn-1","winter","1948","Austria"
"Eberhard Kneisl","Male",31,"Alpine Skiing",0,0,0,0,"eberhard-kneisl-1","winter","1948","Austria"
"Hugo Kuranda","Male",37,"Skeleton",0,0,0,0,"hugo-kuranda-1","winter","1948","Austria"
"Edi Mall","Male",23,"Alpine Skiing",0,0,0,0,"edi-mall-1","winter","1948","Austria"
"Karl Martitsch","Male",30,"Cross Country Skiing, Nordic Combined",0,0,0,0,"karl-martitsch-1","winter","1948","Austria"
"Hellmut May","Male",26,"Figure Skating",0,0,0,0,"hellmut-may-1","winter","1948","Austria"
"Hans Nogler","Male",28,"Alpine Skiing",0,0,0,0,"hans-nogler-1","winter","1948","Austria"
"Sophie Nogler","Female",23,"Alpine Skiing",0,0,0,0,"sophie-nogler-1","winter","1948","Austria"
"Hias Noichl","Male",27,"Cross Country Skiing",0,0,0,0,"hias-noichl-1","winter","1948","Austria"
"Oskar Nowak","Male",34,"Ice Hockey",0,0,0,0,"oskar-nowak-1","winter","1948","Austria"
"Christian Pravda","Male",20,"Alpine Skiing",0,0,0,0,"christian-pravda-1","winter","1948","Austria"
"Ferdinand Preindl","Male",35,"Speed Skating",0,0,0,0,"ferdinand-preindl-1","winter","1948","Austria"
"Karl Rafreider","Male",30,"Cross Country Skiing",0,0,0,0,"karl-rafreider-1","winter","1948","Austria"
"Emil Ratzenhofer","Male",33,"Figure Skating",0,0,0,0,"emil-ratzenhofer-1","winter","1948","Austria"
"Herta Ratzenhofer","Female",26,"Figure Skating",0,0,0,0,"herta-ratzenhofer-1","winter","1948","Austria"
"Jörg Reichel","Male",25,"Ice Hockey",0,0,0,0,"jorg-reichel-1","winter","1948","Austria"
"Hans Schneider","Male",34,"Ice Hockey",0,0,0,0,"hans-schneider-2","winter","1948","Austria"
"Egon Schöpf","Male",22,"Alpine Skiing",0,0,0,0,"egon-schopf-1","winter","1948","Austria"
"Anneliese Schuh-Proxauf","Female",25,"Alpine Skiing",0,0,0,0,"anneliese-schuh-proxauf-1","winter","1948","Austria"
"Helmut Seibt","Male",18,"Figure Skating",0,0,0,0,"helmut-seibt-1","winter","1948","Austria"
"Gustav Slanec","Male",34,"Speed Skating",0,0,0,0,"gustav-slanec-1","winter","1948","Austria"
"Inge Solar","Female",21,"Figure Skating",0,0,0,0,"inge-solar-1","winter","1948","Austria"
