"athlete","gender","age","sport","gold","silver","bronze","total","id","season","year","country"
"Mustapha Moussa","Male",22,"Boxing",0,0,1,1,"mustapha-moussa-1","summer","1984","Algeria"
"Mohamed Zaoui","Male",24,"Boxing",0,0,1,1,"mohamed-zaoui-1","summer","1984","Algeria"
"Kamel Aboud","Male",22,"Boxing",0,0,0,0,"kamel-aboud-1","summer","1984","Algeria"
"Mehdi Aidet","Male",30,"Athletics",0,0,0,0,"mehdi-aidet-1","summer","1984","Algeria"
"Ikhlef Ahmed Hadj Allah","Male",23,"Boxing",0,0,0,0,"ikhlef-ahmed-hadj-allah-1","summer","1984","Algeria"
"Omar Azzeb","Male",24,"Handball",0,0,0,0,"omar-azzeb-1","summer","1984","Algeria"
"Ali Bakhta","Male",22,"Athletics",0,0,0,0,"ali-bakhta-1","summer","1984","Algeria"
"Noureddine Bekkouche","Male",NA,"Weightlifting",0,0,0,0,"noureddine-bekkouche-1","summer","1984","Algeria"
"Djaffar Bel Hocine","Male",22,"Handball",0,0,0,0,"djaffar-bel-hocine-1","summer","1984","Algeria"
"Ahmed Bel Kessam","Male",22,"Athletics",0,0,0,0,"ahmed-bel-kessam-1","summer","1984","Algeria"
"Abdel Krim Ben Djemil","Male",24,"Handball",0,0,0,0,"abdel-krim-ben-djemil-1","summer","1984","Algeria"
"Mohamed Ryad Ben Haddad","Male",25,"Athletics",0,0,0,0,"mohamed-ryad-ben-haddad-1","summer","1984","Algeria"
"Abdel Salem Ben Magh Soula","Male",23,"Handball",0,0,0,0,"abdel-salem-ben-magh-soula-1","summer","1984","Algeria"
"Mohamed Bouchiche","Male",22,"Boxing",0,0,0,0,"mohamed-bouchiche-1","summer","1984","Algeria"
"Abdel Razzak Bounour","Male",27,"Athletics",0,0,0,0,"abdel-razzak-bounour-1","summer","1984","Algeria"
"Brahim Bourdrali","Male",21,"Handball",0,0,0,0,"brahim-bourdrali-1","summer","1984","Algeria"
"Mourad Boussebt","Male",24,"Handball",0,0,0,0,"mourad-boussebt-1","summer","1984","Algeria"
"Mustapha Doballah","Male",25,"Handball",0,0,0,0,"mustapha-doballah-1","summer","1984","Algeria"
"Abu Sofiane Draouci","Male",24,"Handball",0,0,0,0,"abu-sofiane-draouci-1","summer","1984","Algeria"
"Abdel Wahab Ferguene","Male",25,"Athletics",0,0,0,0,"abdel-wahab-ferguene-1","summer","1984","Algeria"
"Benamar Kechkouche","Male",33,"Athletics",0,0,0,0,"benamar-kechkouche-1","summer","1984","Algeria"
"Mustapha Kouchene","Male",22,"Boxing",0,0,0,0,"mustapha-kouchene-1","summer","1984","Algeria"
"Hocine Ledra","Male",27,"Handball",0,0,0,0,"hocine-ledra-1","summer","1984","Algeria"
"Kamel Maoudj","Male",14,"Handball",0,0,0,0,"kamel-maoudj-1","summer","1984","Algeria"
"Mouloud Mekhnache","Male",NA,"Handball",0,0,0,0,"mouloud-mekhnache-1","summer","1984","Algeria"
"Rashid Mokhrani","Male",24,"Handball",0,0,0,0,"rashid-mokhrani-1","summer","1984","Algeria"
"Abderrahmane Morceli","Male",27,"Athletics",0,0,0,0,"abderrahmane-morceli-1","summer","1984","Algeria"
"Kamel Ouchia","Male",27,"Handball",0,0,0,0,"kamel-ouchia-1","summer","1984","Algeria"
"Azzedine Ouhib","Male",27,"Handball",0,0,0,0,"azzedine-ouhib-1","summer","1984","Algeria"
"Azzedine Saïd","Male",23,"Boxing",0,0,0,0,"azzedine-said-1","summer","1984","Algeria"
"Zineddine Mohamed Seghir","Male",24,"Handball",0,0,0,0,"zineddine-mohamed-seghir-1","summer","1984","Algeria"
"Ahmed Tarbi","Male",30,"Weightlifting",0,0,0,0,"ahmed-tarbi-1","summer","1984","Algeria"
"Hakim Toumi","Male",23,"Athletics",0,0,0,0,"hakim-toumi-1","summer","1984","Algeria"
"Francesco Gaset","Male",37,"Shooting",0,0,0,0,"francesco-gaset-1","summer","1984","Andorra"
"Joan Tomas","Male",33,"Shooting",0,0,0,0,"joan-tomas-1","summer","1984","Andorra"
"Lester Benjamin","Male",20,"Athletics",0,0,0,0,"lester-benjamin-1","summer","1984","Antigua and Barbuda"
"Alfred Browne","Male",25,"Athletics",0,0,0,0,"alfred-browne-1","summer","1984","Antigua and Barbuda"
"Laverne Bryan","Female",19,"Athletics",0,0,0,0,"laverne-bryan-1","summer","1984","Antigua and Barbuda"
"Ruperta Charles","Female",21,"Athletics",0,0,0,0,"ruperta-charles-1","summer","1984","Antigua and Barbuda"
"Anthony Henry","Male",17,"Athletics",0,0,0,0,"anthony-henry-1","summer","1984","Antigua and Barbuda"
"Elisha Hughes","Male",25,"Cycling",0,0,0,0,"elisha-hughes-1","summer","1984","Antigua and Barbuda"
"Dale Jones","Male",20,"Athletics",0,0,0,0,"dale-jones-1","summer","1984","Antigua and Barbuda"
"Jocelyn Joseph","Female",20,"Athletics",0,0,0,0,"jocelyn-joseph-1","summer","1984","Antigua and Barbuda"
"Howard Lindsay","Male",18,"Athletics",0,0,0,0,"howard-lindsay-1","summer","1984","Antigua and Barbuda"
"Brian Lyn","Male",22,"Cycling",0,0,0,0,"brian-lyn-1","summer","1984","Antigua and Barbuda"
"Larry Miller","Male",21,"Athletics",0,0,0,0,"larry-miller-1","summer","1984","Antigua and Barbuda"
