"athlete","gender","age","sport","gold","silver","bronze","total","id","season","year","country"
"Arturo Kenny","Male",35,"Polo",1,0,0,1,"arturo-kenny-1","summer","1924","Argentina"
"Juan Miles","Male",28,"Polo",1,0,0,1,"juan-miles-1","summer","1924","Argentina"
"Guillermo Naylor","Male",39,"Polo",1,0,0,1,"guillermo-naylor-1","summer","1924","Argentina"
"Jack Nelson","Male",32,"Polo",1,0,0,1,"jack-nelson-1","summer","1924","Argentina"
"Enrique Padilla","Male",33,"Polo",1,0,0,1,"enrique-padilla-1","summer","1924","Argentina"
"Luis Brunetto","Male",22,"Athletics",0,1,0,1,"luis-brunetto-1","summer","1924","Argentina"
"Alfredo Copello","Male",21,"Boxing",0,1,0,1,"alfredo-copello-1","summer","1924","Argentina"
"Héctor Méndez","Male",26,"Boxing",0,1,0,1,"hector-mendez-1","summer","1924","Argentina"
"Alfredo Porzio","Male",23,"Boxing",0,0,1,1,"alfredo-porzio-1","summer","1924","Argentina"
"Pedro Quartucci","Male",18,"Boxing",0,0,1,1,"pedro-quartucci-1","summer","1924","Argentina"
"Rolando Aguirre","Male",20,"Sailing",0,0,0,0,"rolando-aguirre-1","summer","1924","Argentina"
"Julio Alles","Male",23,"Rowing",0,0,0,0,"julio-alles-1","summer","1924","Argentina"
"Lorenzo Amaya","Male",27,"Shooting",0,0,0,0,"lorenzo-amaya-1","summer","1924","Argentina"
"Alberto Anderson","Male",NA,"Rowing",0,0,0,0,"alberto-anderson-1","summer","1924","Argentina"
"Carlos Balestrini","Male",44,"Shooting",0,0,0,0,"carlos-balestrini-1","summer","1924","Argentina"
"Juan Behrensen","Male",20,"Swimming",0,0,0,0,"juan-behrensen-1","summer","1924","Argentina"
"Carlos Bergara","Male",NA,"Weightlifting",0,0,0,0,"carlos-bergara-1","summer","1924","Argentina"
"Víctor Bigand","Male",22,"Shooting",0,0,0,0,"victor-bigand-1","summer","1924","Argentina"
"Francisco Bollini","Male",NA,"Fencing",0,0,0,0,"francisco-bollini-1","summer","1924","Argentina"
"Francisco Borgonovo","Male",21,"Rowing",0,0,0,0,"francisco-borgonovo-1","summer","1924","Argentina"
"Federico Brewster","Male",18,"Athletics",0,0,0,0,"federico-brewster-1","summer","1924","Argentina"
"Emilio Casanovas","Male",NA,"Athletics",0,0,0,0,"emilio-casanovas-1","summer","1924","Argentina"
"Horacio Casco","Male",NA,"Fencing",0,0,0,0,"horacio-casco-1","summer","1924","Argentina"
"Vicente Catada","Male",20,"Boxing",0,0,0,0,"vicente-catada-1","summer","1924","Argentina"
"Américo Cattaruzza","Male",19,"Tennis",0,0,0,0,"americo-cattaruzza-1","summer","1924","Argentina"
"Tomas Cerrutti","Male",NA,"Rowing",0,0,0,0,"tomas-cerrutti-1","summer","1924","Argentina"
"Antonio Daneri","Male",39,"Shooting",0,0,0,0,"antonio-daneri-1","summer","1924","Argentina"
