"athlete","gender","age","sport","gold","silver","bronze","total","id","season","year","country"
"Francisco Camet","Male",23,"Fencing",0,0,0,0,"francisco-camet-1","summer","1900","Argentina"
"Stan Rowley","Male",23,"Athletics",1,0,3,4,"stan-rowley-1","summer","1900","Australia"
"Fred Lane","Male",20,"Swimming",2,0,0,2,"fred-lane-1","summer","1900","Australia"
"Otto Wahle","Male",20,"Swimming",0,2,0,2,"otto-wahle-1","summer","1900","Austria"
"Karl Ruberl","Male",18,"Swimming",0,1,1,2,"karl-ruberl-1","summer","1900","Austria"
"Fritz Flesch","Male",28,"Fencing",0,0,1,1,"fritz-flesch-1","summer","1900","Austria"
"Milan Nerali�<U+0087>","Male",25,"Fencing",0,0,1,1,"milan-neralic-1","summer","1900","Austria"
"Alois Anderle","Male",30,"Swimming",0,0,0,0,"alois-anderle-1","summer","1900","Austria"
"Rudolf Brosch","Male",NA,"Fencing",0,0,0,0,"rudolf-brosch-1","summer","1900","Austria"
"Georges, Count de Zogheb","Male",NA,"Equestrianism",0,0,0,0,"georges-count-de-zogheb-1","summer","1900","Austria"
"Harstein","Male",NA,"Fencing",0,0,0,0,"harstein-1","summer","1900","Austria"
"Hermann Mandl","Male",NA,"Equestrianism",0,0,0,0,"hermann-mandl-1","summer","1900","Austria"
"Camillo Müller","Male",30,"Fencing",0,0,0,0,"camillo-muller-1","summer","1900","Austria"
"Heinrich Rischtoff","Male",35,"Fencing",0,0,0,0,"heinrich-rischtoff-1","summer","1900","Austria"
"van der Stoppen","Male",NA,"Fencing",0,0,0,0,"van-der-stoppen-1","summer","1900","Austria"
"Richard von Foregger","Male",27,"Swimming",0,0,0,0,"richard-von-foregger-1","summer","1900","Austria"
"Cornelius von Lubowiecki","Male",NA,"Athletics",0,0,0,0,"cornelius-von-lubowiecki-1","summer","1900","Austria"
"Heinrich von Tenner","Male",35,"Fencing",0,0,0,0,"heinrich-von-tenner-1","summer","1900","Austria"
"Hermann Wraschtil","Male",19,"Athletics",0,0,0,0,"hermann-wraschtil-1","summer","1900","Austria"
"Hubert Van Innis","Male",34,"Archery",2,2,0,4,"hubert-van-innis-1","summer","1900","Belgium"
"Georges Van Der Poele","Male",NA,"Equestrianism",0,1,1,2,"georges-van-der-poele-1","summer","1900","Belgium"
"Emmanuel Foulon","Male",28,"Archery",1,0,0,1,"emmanuel-foulon-1","summer","1900","Belgium"
"Aimé Haegeman","Male",38,"Equestrianism",1,0,0,1,"aime-haegeman-1","summer","1900","Belgium"
"Georges Nagelmackers","Male",54,"Equestrianism",1,0,0,1,"georges-nagelmackers-1","summer","1900","Belgium"
"Constant Van Langhendonck","Male",30,"Equestrianism",1,0,0,1,"constant-van-langhendonck-1","summer","1900","Belgium"
"Prospère Bruggeman","Male",27,"Rowing",0,1,0,1,"prospere-bruggeman-1","summer","1900","Belgium"
"Henri Cohen","Male",NA,"Water Polo",0,1,0,1,"henri-cohen-1","summer","1900","Belgium"
"Jean De Backer","Male",NA,"Water Polo",0,1,0,1,"jean-de-backer-1","summer","1900","Belgium"
"Victor De Behr","Male",NA,"Water Polo",0,1,0,1,"victor-de-behr-1","summer","1900","Belgium"
"Jules De Bisschop","Male",21,"Rowing",0,1,0,1,"jules-de-bisschop-1","summer","1900","Belgium"
"Oscar De Cock","Male",NA,"Rowing",0,1,0,1,"oscar-de-cock-1","summer","1900","Belgium"
"Oscar de Somville","Male",23,"Rowing",0,1,0,1,"oscar-de-somville-1","summer","1900","Belgium"
"Druart, Jr.","Male",NA,"Archery",0,1,0,1,"druart-jr-1","summer","1900","Belgium"
"Fernand Feyaerts","Male",NA,"Water Polo",0,1,0,1,"fernand-feyaerts-1","summer","1900","Belgium"
"Oscar Grégoire","Male",23,"Water Polo",0,1,0,1,"oscar-gregoire-1","summer","1900","Belgium"
"René Guyot","Male",NA,"Shooting",0,1,0,1,"rene-guyot-1","summer","1900","Belgium"
"Maurice Hemelsoet","Male",25,"Rowing",0,1,0,1,"maurice-hemelsoet-1","summer","1900","Belgium"
"Albert Michant","Male",NA,"Water Polo",0,1,0,1,"albert-michant-1","summer","1900","Belgium"
"Frank Odberg","Male",21,"Rowing",0,1,0,1,"frank-odberg-1","summer","1900","Belgium"
"Georges Romas","Male",NA,"Water Polo",0,1,0,1,"georges-romas-1","summer","1900","Belgium"
"Guillaume Séron","Male",NA,"Water Polo",0,1,0,1,"guillaume-seron-1","summer","1900","Belgium"
"Victor Sonnemans","Male",25,"Water Polo",0,1,0,1,"victor-sonnemans-1","summer","1900","Belgium"
"A. R. Upton","Male",NA,"Water Polo",0,1,0,1,"a-r-upton-1","summer","1900","Belgium"
"Marcel Van Crombrugge","Male",19,"Rowing",0,1,0,1,"marcel-van-crombrugge-1","summer","1900","Belgium"
"Alfred Van Landeghem","Male",NA,"Rowing",0,1,0,1,"alfred-van-landeghem-1","summer","1900","Belgium"
