"athlete","gender","age","sport","gold","silver","bronze","total","id","season","year","country"
"Jammal-ud-Din Affendi","Male",28,"Hockey",0,0,0,0,"jammal-ud-din-affendi-1","summer","1936","Afghanistan"
"Mohammad Asif","Male",17,"Hockey",0,0,0,0,"mohammad-asif-1","summer","1936","Afghanistan"
"Sayed Ali Atta","Male",22,"Hockey",0,0,0,0,"sayed-ali-atta-1","summer","1936","Afghanistan"
"Sayed Mohammad Ayub","Male",27,"Hockey",0,0,0,0,"sayed-mohammad-ayub-1","summer","1936","Afghanistan"
"Sayed Ali Babaci","Male",21,"Hockey",0,0,0,0,"sayed-ali-babaci-1","summer","1936","Afghanistan"
"Hussain Fazal","Male",29,"Hockey",0,0,0,0,"hussain-fazal-1","summer","1936","Afghanistan"
"Mohammad Khan","Male",25,"Athletics",0,0,0,0,"mohammad-khan-1","summer","1936","Afghanistan"
"Abdul Rahim","Male",23,"Athletics",0,0,0,0,"abdul-rahim-1","summer","1936","Afghanistan"
"Zahir Shah Al-Zadah","Male",25,"Hockey",0,0,0,0,"zahir-shah-al-zadah-1","summer","1936","Afghanistan"
"Abouwi Ahmad Shah","Male",NA,"Hockey",0,0,0,0,"abouwi-ahmad-shah-1","summer","1936","Afghanistan"
"Mian Faruq Shah","Male",29,"Hockey",0,0,0,0,"mian-faruq-shah-1","summer","1936","Afghanistan"
"Saadat Malook Shazada","Male",19,"Hockey",0,0,0,0,"saadat-malook-shazada-1","summer","1936","Afghanistan"
"Mohammad Sultan","Male",17,"Hockey",0,0,0,0,"mohammad-sultan-1","summer","1936","Afghanistan"
"Shuja ud-Din","Male",22,"Hockey",0,0,0,0,"shuja-ud-din-1","summer","1936","Afghanistan"
"Sardar Abdul Wahib","Male",35,"Hockey",0,0,0,0,"sardar-abdul-wahib-1","summer","1936","Afghanistan"
"Manuel Andrada","Male",46,"Polo",1,0,0,1,"manuel-andrada-1","summer","1936","Argentina"
"Oscar Casanovas","Male",22,"Boxing",1,0,0,1,"oscar-casanovas-1","summer","1936","Argentina"
"Roberto Cavanagh","Male",21,"Polo",1,0,0,1,"roberto-cavanagh-1","summer","1936","Argentina"
"Luis Duggan","Male",30,"Polo",1,0,0,1,"luis-duggan-1","summer","1936","Argentina"
"Andrés Gazzotti","Male",40,"Polo",1,0,0,1,"andres-gazzotti-1","summer","1936","Argentina"
"Jeannette Campbell","Female",20,"Swimming",0,1,0,1,"jeannette-campbell-1","summer","1936","Argentina"
"Guillermo Lovell","Male",18,"Boxing",0,1,0,1,"guillermo-lovell-1","summer","1936","Argentina"
"Julio Curatella","Male",25,"Rowing",0,0,1,1,"julio-curatella-1","summer","1936","Argentina"
"Horacio Podestá","Male",25,"Rowing",0,0,1,1,"horacio-podesta-1","summer","1936","Argentina"
"Francisco Resiglione","Male",19,"Boxing",0,0,1,1,"francisco-resiglione-1","summer","1936","Argentina"
"Raúl Villarreal","Male",26,"Boxing",0,0,1,1,"raul-villarreal-1","summer","1936","Argentina"
"Luis Aguirre","Male",24,"Sailing",0,0,0,0,"luis-aguirre-1","summer","1936","Argentina"
"Lorenzo Amaya","Male",39,"Shooting",0,0,0,0,"lorenzo-amaya-1","summer","1936","Argentina"
"Juan Carlos Anderson","Male",23,"Athletics",0,0,0,0,"juan-carlos-anderson-1","summer","1936","Argentina"
"Carlos Balestrini","Male",56,"Shooting",0,0,0,0,"carlos-balestrini-1","summer","1936","Argentina"
"Tomás Beswick","Male",24,"Athletics",0,0,0,0,"tomas-beswick-1","summer","1936","Argentina"
"Claudio Bincaz","Male",39,"Sailing",0,0,0,0,"claudio-bincaz-1","summer","1936","Argentina"
"José Manuel Brunet","Male",42,"Fencing",0,0,0,0,"jose-manuel-brunet-1","summer","1936","Argentina"
"Guillermo Canciani","Male",17,"Shooting",0,0,0,0,"guillermo-canciani-1","summer","1936","Argentina"
