"athlete","gender","age","sport","gold","silver","bronze","total","id","season","year","country"
"Gustavo Ezquerra","Male",19,"Alpine Skiing",0,0,0,0,"gustavo-ezquerra-1","winter","1968","Argentina"
"Ana Sabine Naumann","Female",20,"Alpine Skiing",0,0,0,0,"ana-sabine-naumann-1","winter","1968","Argentina"
"Helga María Sista","Female",20,"Alpine Skiing",0,0,0,0,"helga-maria-sista-1","winter","1968","Argentina"
"Roberto Thostrup","Male",25,"Alpine Skiing",0,0,0,0,"roberto-thostrup-1","winter","1968","Argentina"
"Irene Viaene","Female",18,"Alpine Skiing",0,0,0,0,"irene-viaene-1","winter","1968","Argentina"
"Colin Coates","Male",21,"Speed Skating",0,0,0,0,"colin-coates-1","winter","1968","Australia"
"Ross Martin","Male",24,"Cross Country Skiing",0,0,0,0,"ross-martin-1","winter","1968","Australia"
"Malcolm Milne","Male",19,"Alpine Skiing",0,0,0,0,"malcolm-milne-1","winter","1968","Australia"
"Manfred Schmid","Male",23,"Luge",1,1,0,2,"manfred-schmid-1","winter","1968","Austria"
"Olga Pall","Female",20,"Alpine Skiing",1,0,0,1,"olga-pall-1","winter","1968","Austria"
"Wolfgang Schwarz","Male",20,"Figure Skating",1,0,0,1,"wolfgang-schwarz-1","winter","1968","Austria"
"Reinhold Bachler","Male",23,"Ski Jumping",0,1,0,1,"reinhold-bachler-1","winter","1968","Austria"
"Reinhold Durnthaler","Male",25,"Bobsleigh",0,1,0,1,"reinhold-durnthaler-1","winter","1968","Austria"
"Josef Eder","Male",25,"Bobsleigh",0,1,0,1,"josef-eder-1","winter","1968","Austria"
"Herbert Gruber","Male",25,"Bobsleigh",0,1,0,1,"herbert-gruber-1","winter","1968","Austria"
"Herbert Huber","Male",23,"Alpine Skiing",0,1,0,1,"herbert-huber-1","winter","1968","Austria"
"Erwin Thaler","Male",37,"Bobsleigh",0,1,0,1,"erwin-thaler-1","winter","1968","Austria"
"Ewald Walch","Male",27,"Luge",0,1,0,1,"ewald-walch-1","winter","1968","Austria"
"Christl Haas","Female",24,"Alpine Skiing",0,0,1,1,"christl-haas-1","winter","1968","Austria"
"Alfred Matt","Male",19,"Alpine Skiing",0,0,1,1,"alfred-matt-1","winter","1968","Austria"
"Heini Messner","Male",28,"Alpine Skiing",0,0,1,1,"heini-messner-1","winter","1968","Austria"
"Baldur Preiml","Male",28,"Ski Jumping",0,0,1,1,"baldur-preiml-1","winter","1968","Austria"
