"athlete","gender","age","sport","gold","silver","bronze","total","id","season","year","country"
"Esteve Dolsa","Male",40,"Shooting",0,0,0,0,"esteve-dolsa-1","summer","1976","Andorra"
"Joan Claudi Montane","Male",20,"Boxing",0,0,0,0,"joan-claudi-montane-1","summer","1976","Andorra"
"Joan Tomas","Male",25,"Shooting",0,0,0,0,"joan-tomas-1","summer","1976","Andorra"
"Donald Christian","Male",17,"Cycling",0,0,0,0,"donald-christian-1","summer","1976","Antigua and Barbuda"
"Everton Cornelius","Male",21,"Athletics",0,0,0,0,"everton-cornelius-1","summer","1976","Antigua and Barbuda"
"Calvin Greenaway","Male",28,"Athletics",0,0,0,0,"calvin-greenaway-1","summer","1976","Antigua and Barbuda"
"Cuthbert Jacobs","Male",24,"Athletics",0,0,0,0,"cuthbert-jacobs-1","summer","1976","Antigua and Barbuda"
"Conrad Mainwaring","Male",24,"Athletics",0,0,0,0,"conrad-mainwaring-1","summer","1976","Antigua and Barbuda"
"Maxwell Peters","Male",20,"Athletics",0,0,0,0,"maxwell-peters-1","summer","1976","Antigua and Barbuda"
"Paul Richards","Male",20,"Athletics",0,0,0,0,"paul-richards-1","summer","1976","Antigua and Barbuda"
"Fred Sowerby","Male",27,"Athletics",0,0,0,0,"fred-sowerby-1","summer","1976","Antigua and Barbuda"
"Patrick Spencer","Male",NA,"Cycling",0,0,0,0,"patrick-spencer-1","summer","1976","Antigua and Barbuda"
"Elroy Turner","Male",25,"Athletics",0,0,0,0,"elroy-turner-1","summer","1976","Antigua and Barbuda"
"Hugo Aberastegui","Male",34,"Rowing",0,0,0,0,"hugo-aberastegui-1","summer","1976","Argentina"
"Carlos Alfonso","Male",31,"Equestrianism",0,0,0,0,"carlos-alfonso-1","summer","1976","Argentina"
"Claudia Bellotto","Female",16,"Swimming",0,0,0,0,"claudia-bellotto-1","summer","1976","Argentina"
"Osvaldo Benvenuti","Male",24,"Cycling",0,0,0,0,"osvaldo-benvenuti-1","summer","1976","Argentina"
"Ángel Boyenechea","Male",29,"Equestrianism",0,0,0,0,"angel-boyenechea-1","summer","1976","Argentina"
"Carlos Braconi","Male",28,"Wrestling",0,0,0,0,"carlos-braconi-1","summer","1976","Argentina"
"Fernando Calp","Male",30,"Hockey",0,0,0,0,"fernando-calp-1","summer","1976","Argentina"
"José María Casanova","Male",21,"Fencing",0,0,0,0,"jose-maria-casanova-1","summer","1976","Argentina"
"Juan Casey","Male",39,"Shooting",0,0,0,0,"juan-casey-1","summer","1976","Argentina"
"Gerardo Constantini","Male",19,"Rowing",0,0,0,0,"gerardo-constantini-1","summer","1976","Argentina"
"Susana Coppo","Female",16,"Swimming",0,0,0,0,"susana-coppo-1","summer","1976","Argentina"
"Luis Antonio Costa","Male",23,"Hockey",0,0,0,0,"luis-antonio-costa-1","summer","1976","Argentina"
"Julio César Cufre","Male",25,"Hockey",0,0,0,0,"julio-cesar-cufre-1","summer","1976","Argentina"
"Flávio de Giacomi","Male",26,"Hockey",0,0,0,0,"flavio-de-giacomi-1","summer","1976","Argentina"
"Carlos Denari","Male",21,"Rowing",0,0,0,0,"carlos-denari-1","summer","1976","Argentina"
"Jorge di Giandoménico","Male",45,"Shooting",0,0,0,0,"jorge-di-giandomenico-1","summer","1976","Argentina"
"Jorge Disera","Male",27,"Hockey",0,0,0,0,"jorge-disera-1","summer","1976","Argentina"
"Daniel Feraud","Male",22,"Fencing",0,0,0,0,"daniel-feraud-1","summer","1976","Argentina"
"Pedro Ferrero","Male",37,"Sailing",0,0,0,0,"pedro-ferrero-1","summer","1976","Argentina"
"Juan Firpo","Male",38,"Sailing",0,0,0,0,"juan-firpo-1","summer","1976","Argentina"
"Sergio Fiszman","Male",20,"Wrestling",0,0,0,0,"sergio-fiszman-1","summer","1976","Argentina"
"Oswaldo Frossasco","Male",24,"Cycling",0,0,0,0,"oswaldo-frossasco-1","summer","1976","Argentina"
"Marcelo Garrafo","Male",18,"Hockey",0,0,0,0,"marcelo-garrafo-1","summer","1976","Argentina"
"Juan Gavajda","Male",25,"Fencing",0,0,0,0,"juan-gavajda-1","summer","1976","Argentina"
"Marcelo Gismondi","Male",23,"Rowing",0,0,0,0,"marcelo-gismondi-1","summer","1976","Argentina"
"Rodolfo Grazzini","Male",31,"Equestrianism",0,0,0,0,"rodolfo-grazzini-1","summer","1976","Argentina"
"Juan Carlos Haedo","Male",28,"Cycling",0,0,0,0,"juan-carlos-haedo-1","summer","1976","Argentina"
"Ricardo Ibarra","Male",25,"Rowing",0,0,0,0,"ricardo-ibarra-1","summer","1976","Argentina"
"Jorge Ivorra","Male",33,"Hockey",0,0,0,0,"jorge-ivorra-1","summer","1976","Argentina"
"Rossana Juncos","Female",18,"Swimming",0,0,0,0,"rossana-juncos-1","summer","1976","Argentina"
"Raúl Labbate","Male",24,"Cycling",0,0,0,0,"raul-labbate-1","summer","1976","Argentina"
"Fernando Lúpiz","Male",23,"Fencing",0,0,0,0,"fernando-lupiz-1","summer","1976","Argentina"
"Marcelo Méndez","Male",20,"Fencing",0,0,0,0,"marcelo-mendez-1","summer","1976","Argentina"
"Jorge Molina","Male",20,"Rowing",0,0,0,0,"jorge-molina-1","summer","1976","Argentina"
"Argentino Molinuevo, Jr.","Male",31,"Equestrianism",0,0,0,0,"argentino-molinuevo-jr-1","summer","1976","Argentina"
"Gustavo Paolucci","Male",22,"Hockey",0,0,0,0,"gustavo-paolucci-1","summer","1976","Argentina"
"Héctor Patri","Male",19,"Boxing",0,0,0,0,"hector-patri-1","summer","1976","Argentina"
"Marcelo Pazos","Male",22,"Hockey",0,0,0,0,"marcelo-pazos-1","summer","1976","Argentina"
"Guillermo Pellegrini","Male",30,"Equestrianism",0,0,0,0,"guillermo-pellegrini-1","summer","1976","Argentina"
"Juan Daniel Pirán","Male",18,"Fencing",0,0,0,0,"juan-daniel-piran-1","summer","1976","Argentina"
"Conrado Porta","Male",18,"Swimming",0,0,0,0,"conrado-porta-1","summer","1976","Argentina"
"Jorge Portelli","Male",25,"Judo",0,0,0,0,"jorge-portelli-1","summer","1976","Argentina"
"Luis Portillo","Male",19,"Boxing",0,0,0,0,"luis-portillo-1","summer","1976","Argentina"
"Daniel Portugués","Male",26,"Hockey",0,0,0,0,"daniel-portugues-1","summer","1976","Argentina"
"Alfredo Quaquarini","Male",24,"Hockey",0,0,0,0,"alfredo-quaquarini-1","summer","1976","Argentina"
"César Raguso","Male",16,"Hockey",0,0,0,0,"cesar-raguso-1","summer","1976","Argentina"
"Jorge Rão","Male",NA,"Sailing",0,0,0,0,"jorge-rao-1","summer","1976","Argentina"
"Carlos Rawson","Male",30,"Equestrianism",0,0,0,0,"carlos-rawson-1","summer","1976","Argentina"
"Firmo Roberti","Male",33,"Shooting",0,0,0,0,"firmo-roberti-1","summer","1976","Argentina"
"Andrés Robinson","Male",24,"Sailing",0,0,0,0,"andres-robinson-1","summer","1976","Argentina"
"Ignacio Ruiz","Male",28,"Rowing",0,0,0,0,"ignacio-ruiz-1","summer","1976","Argentina"
