"athlete","gender","age","sport","gold","silver","bronze","total","id","season","year","country"
"Mariano de María","Male",26,"Bobsleigh",0,0,0,0,"mariano-de-maria-1","winter","1928","Argentina"
"Jorge del Carril","Male",23,"Bobsleigh",0,0,0,0,"jorge-del-carril-1","winter","1928","Argentina"
"Ricardo González","Male",27,"Bobsleigh",0,0,0,0,"ricardo-gonzalez-4","winter","1928","Argentina"
"Arturo Gramajo","Male",30,"Bobsleigh",0,0,0,0,"arturo-gramajo-1","winter","1928","Argentina"
"Horacio Gramajo","Male",27,"Bobsleigh",0,0,0,0,"horacio-gramajo-1","winter","1928","Argentina"
"Eduardo Hope","Male",36,"Bobsleigh",0,0,0,0,"eduardo-hope-1","winter","1928","Argentina"
"Horacio Iglesias","Male",NA,"Bobsleigh",0,0,0,0,"horacio-iglesias-1","winter","1928","Argentina"
"Rafael Iglesias","Male",NA,"Bobsleigh",0,0,0,0,"rafael-iglesias-3","winter","1928","Argentina"
"Héctor Milberg","Male",23,"Bobsleigh",0,0,0,0,"hector-milberg-1","winter","1928","Argentina"
"John Victor Nash","Male",36,"Bobsleigh",0,0,0,0,"john-victor-nash-1","winter","1928","Argentina"
"Willy Böckl","Male",35,"Figure Skating",0,1,0,1,"willy-bockl-1","winter","1928","Austria"
"Fritzi Burger","Female",17,"Figure Skating",0,1,0,1,"fritzi-burger-1","winter","1928","Austria"
"Otto Kaiser","Male",26,"Figure Skating",0,1,0,1,"otto-kaiser-1","winter","1928","Austria"
"Lilly Scholz","Female",24,"Figure Skating",0,1,0,1,"lilly-scholz-1","winter","1928","Austria"
"Melitta Brunner","Female",21,"Figure Skating",0,0,1,1,"melitta-brunner-1","winter","1928","Austria"
"Ludwig Wrede","Male",33,"Figure Skating",0,0,1,1,"ludwig-wrede-1","winter","1928","Austria"
"Harald Bosio","Male",22,"Ski Jumping",0,0,0,0,"harald-bosio-1","winter","1928","Austria"
"Herbert Brück","Male",25,"Ice Hockey",0,0,0,0,"herbert-bruck-1","winter","1928","Austria"
"Walter Brück","Male",27,"Ice Hockey",0,0,0,0,"walter-bruck-1","winter","1928","Austria"
"Jacques Dietrichstein","Male",NA,"Ice Hockey",0,0,0,0,"jacques-dietrichstein-1","winter","1928","Austria"
"Hans Ertl","Male",19,"Ice Hockey",0,0,0,0,"hans-ertl-1","winter","1928","Austria"
"Sepp Göbl","Male",22,"Ice Hockey",0,0,0,0,"sepp-gobl-1","winter","1928","Austria"
"Louis Hasenknopf","Male",37,"Skeleton",0,0,0,0,"louis-hasenknopf-1","winter","1928","Austria"
"Ilse Hornung","Female",19,"Figure Skating",0,0,0,0,"ilse-hornung-1","winter","1928","Austria"
"Hans Kail","Male",NA,"Ice Hockey",0,0,0,0,"hans-kail-1","winter","1928","Austria"
"Benno Karner","Male",26,"Bobsleigh",0,0,0,0,"benno-karner-1","winter","1928","Austria"
"Herbert Klang","Male",NA,"Ice Hockey",0,0,0,0,"herbert-klang-1","winter","1928","Austria"
"Grete Kubitschek","Female",NA,"Figure Skating",0,0,0,0,"grete-kubitschek-1","winter","1928","Austria"
"Ferdinand Langer","Male",NA,"Bobsleigh",0,0,0,0,"ferdinand-langer-1","winter","1928","Austria"
"Ulli Lederer","Male",30,"Ice Hockey",0,0,0,0,"ulli-lederer-1","winter","1928","Austria"
"Franz Lorenz","Male",31,"Bobsleigh",0,0,0,0,"franz-lorenz-1","winter","1928","Austria"
"Richard Lorenz","Male",26,"Bobsleigh",0,0,0,0,"richard-lorenz-1","winter","1928","Austria"
"Gustav Mader","Male",28,"Bobsleigh",0,0,0,0,"gustav-mader-1","winter","1928","Austria"
"Fritz Moser","Male",27,"Speed Skating",0,0,0,0,"fritz-moser-1","winter","1928","Austria"
"Franz Pamperl","Male",30,"Bobsleigh",0,0,0,0,"franz-pamperl-1","winter","1928","Austria"
"Harald Paumgarten","Male",23,"Cross Country Skiing, Nordic Combined",0,0,0,0,"harald-paumgarten-1","winter","1928","Austria"
"Eduard Pechanda","Male",31,"Bobsleigh",0,0,0,0,"eduard-pechanda-1","winter","1928","Austria"
"Otto Polacsek","Male",23,"Speed Skating",0,0,0,0,"otto-polacsek-1","winter","1928","Austria"
"Rudolf Riedl","Male",20,"Speed Skating",0,0,0,0,"rudolf-riedl-1","winter","1928","Austria"
"Karl Schäfer","Male",18,"Figure Skating",0,0,0,0,"karl-schafer-1","winter","1928","Austria"
"Walter Sehr","Male",23,"Bobsleigh",0,0,0,0,"walter-sehr-1","winter","1928","Austria"
"Walter Sell","Male",NA,"Ice Hockey",0,0,0,0,"walter-sell-1","winter","1928","Austria"
"Reginald Spevak","Male",29,"Ice Hockey",0,0,0,0,"reginald-spevak-1","winter","1928","Austria"
"Hans Tatzer","Male",22,"Ice Hockey",0,0,0,0,"hans-tatzer-1","winter","1928","Austria"
"Franz Unterlechner","Male",36,"Skeleton",0,0,0,0,"franz-unterlechner-1","winter","1928","Austria"
"Michael Waissnix","Male",23,"Bobsleigh",0,0,0,0,"michael-waissnix-1","winter","1928","Austria"
"Hugo Weinstengel","Male",NA,"Bobsleigh",0,0,0,0,"hugo-weinstengel-1","winter","1928","Austria"
"Hermann Wei�<U+009F>","Male",18,"Ice Hockey",0,0,0,0,"hermann-weiss-1","winter","1928","Austria"
"Franz Wohlgemuth","Male",31,"Bobsleigh",0,0,0,0,"franz-wohlgemuth-1","winter","1928","Austria"
"Robert Van Zeebroeck","Male",18,"Figure Skating",0,0,1,1,"robert-van-zeebroeck-1","winter","1928","Belgium"
"André Bautier","Male",NA,"Ice Hockey",0,0,0,0,"andre-bautier-1","winter","1928","Belgium"
"Roger Bureau","Male",23,"Ice Hockey",0,0,0,0,"roger-bureau-1","winter","1928","Belgium"
"Ernest Casimir-Lambert","Male",30,"Bobsleigh",0,0,0,0,"ernest-casimir-lambert-1","winter","1928","Belgium"
"Hector Chotteau","Male",NA,"Ice Hockey",0,0,0,0,"hector-chotteau-1","winter","1928","Belgium"
"Albert Collon","Male",NA,"Ice Hockey",0,0,0,0,"albert-collon-1","winter","1928","Belgium"
"François Franck","Male",23,"Ice Hockey",0,0,0,0,"francois-franck-1","winter","1928","Belgium"
"Walter Jean Ganshof van der Meersch","Male",27,"Bobsleigh",0,0,0,0,"walter-jean-ganshof-van-der-meersch-1","winter","1928","Belgium"
"William Hoorickx","Male",NA,"Ice Hockey",0,0,0,0,"william-hoorickx-1","winter","1928","Belgium"
"Max Houben","Male",29,"Bobsleigh",0,0,0,0,"max-houben-1","winter","1928","Belgium"
"Ferdinand Hubert","Male",NA,"Bobsleigh",0,0,0,0,"ferdinand-hubert-1","winter","1928","Belgium"
"Willy Kreitz","Male",24,"Ice Hockey",0,0,0,0,"willy-kreitz-1","winter","1928","Belgium"
"Hubert Kryn","Male",NA,"Bobsleigh",0,0,0,0,"hubert-kryn-1","winter","1928","Belgium"
"Robert Langlois","Male",NA,"Bobsleigh",0,0,0,0,"robert-langlois-1","winter","1928","Belgium"
"Jean Meeus","Male",NA,"Ice Hockey",0,0,0,0,"jean-meeus-1","winter","1928","Belgium"
"David Meyer","Male",NA,"Ice Hockey",0,0,0,0,"david-meyer-1","winter","1928","Belgium"
"Charles Mulder","Male",30,"Bobsleigh",0,0,0,0,"charles-mulder-1","winter","1928","Belgium"
"Marco Peltzer","Male",18,"Ice Hockey",0,0,0,0,"marco-peltzer-1","winter","1928","Belgium"
"Louis Rooy","Male",NA,"Bobsleigh",0,0,0,0,"louis-rooy-1","winter","1928","Belgium"
"Marcel Sedille-Courbon","Male",NA,"Bobsleigh",0,0,0,0,"marcel-sedille-courbon-1","winter","1928","Belgium"
"Léon Tom","Male",39,"Bobsleigh",0,0,0,0,"leon-tom-1","winter","1928","Belgium"
"Jean Van Der Wouwer","Male",NA,"Ice Hockey",0,0,0,0,"jean-van-der-wouwer-1","winter","1928","Belgium"
"Josy Van Leberghe","Female",NA,"Figure Skating",0,0,0,0,"josy-van-leberghe-1","winter","1928","Belgium"
"Jacques Van Reysschoot","Male",22,"Ice Hockey",0,0,0,0,"jacques-van-reysschoot-1","winter","1928","Belgium"
"Pierre Van Reysschoot","Male",21,"Ice Hockey",0,0,0,0,"pierre-van-reysschoot-1","winter","1928","Belgium"
"Charlie Delahey","Male",22,"Ice Hockey",1,0,0,1,"charlie-delahey-1","winter","1928","Canada"
"Frank Fisher","Male",20,"Ice Hockey",1,0,0,1,"frank-fisher-1","winter","1928","Canada"
"Lou Hudson","Male",29,"Ice Hockey",1,0,0,1,"lou-hudson-1","winter","1928","Canada"
