"athlete","gender","age","sport","gold","silver","bronze","total","id","season","year","country"
"Horatio Torromé","Male",NA,"Figure Skating",0,0,0,0,"horatio-torrome-1","summer","1908","Argentina"
"Frank Beaurepaire","Male",16,"Swimming",0,1,1,2,"frank-beaurepaire-1","summer","1908","Australasia"
"John Barnett","Male",28,"Rugby",1,0,0,1,"john-barnett-1","summer","1908","Australasia"
"Phil Carmichael","Male",24,"Rugby",1,0,0,1,"phil-carmichael-1","summer","1908","Australasia"
"Dan Carroll","Male",21,"Rugby",1,0,0,1,"dan-carroll-1","summer","1908","Australasia"
"Bob Craig","Male",26,"Rugby",1,0,0,1,"bob-craig-1","summer","1908","Australasia"
"Tom Griffin","Male",24,"Rugby",1,0,0,1,"tom-griffin-1","summer","1908","Australasia"
"Jack Hickey","Male",21,"Rugby",1,0,0,1,"jack-hickey-1","summer","1908","Australasia"
"Mannie McArthur","Male",25,"Rugby",1,0,0,1,"mannie-mcarthur-1","summer","1908","Australasia"
"Arthur McCabe","Male",20,"Rugby",1,0,0,1,"arthur-mccabe-1","summer","1908","Australasia"
"Paddy McCue","Male",24,"Rugby",1,0,0,1,"paddy-mccue-1","summer","1908","Australasia"
"Chris McKivat","Male",28,"Rugby",1,0,0,1,"chris-mckivat-1","summer","1908","Australasia"
"Charles McMurtrie","Male",29,"Rugby",1,0,0,1,"charles-mcmurtrie-1","summer","1908","Australasia"
"Syd Middleton","Male",24,"Rugby",1,0,0,1,"syd-middleton-1","summer","1908","Australasia"
"Tom Richards","Male",25,"Rugby",1,0,0,1,"tom-richards-1","summer","1908","Australasia"
"Charles Russell","Male",23,"Rugby",1,0,0,1,"charles-russell-1","summer","1908","Australasia"
"Bede Smith","Male",22,"Rugby",1,0,0,1,"bede-smith-1","summer","1908","Australasia"
"Snowy Baker","Male",24,"Boxing, Diving, Swimming",0,1,0,1,"snowy-baker-1","summer","1908","Australasia"
"Harry Kerr","Male",29,"Athletics",0,0,1,1,"harry-kerr-2","summer","1908","Australasia"
"Victor Aitken","Male",19,"Athletics",0,0,0,0,"victor-aitken-1","summer","1908","Australasia"
"George Blake","Male",29,"Athletics",0,0,0,0,"george-blake-1","summer","1908","Australasia"
"Edward Cooke","Male",NA,"Swimming",0,0,0,0,"edward-cooke-1","summer","1908","Australasia"
"William Hill","Male",NA,"Shooting",0,0,0,0,"william-hill-1","summer","1908","Australasia"
"Ernest Hutcheon","Male",18,"Athletics",0,0,0,0,"ernest-hutcheon-1","summer","1908","Australasia"
"Joseph Lynch","Male",30,"Athletics",0,0,0,0,"joseph-lynch-1","summer","1908","Australasia"
"Henry Murray","Male",22,"Athletics",0,0,0,0,"henry-murray-1","summer","1908","Australasia"
"Albert Rowland","Male",22,"Athletics",0,0,0,0,"albert-rowland-1","summer","1908","Australasia"
"Frank Springfield","Male",20,"Swimming",0,0,0,0,"frank-springfield-1","summer","1908","Australasia"
"Harvey Sutton","Male",26,"Athletics",0,0,0,0,"harvey-sutton-1","summer","1908","Australasia"
"Charles Swain","Male",23,"Athletics",0,0,0,0,"charles-swain-1","summer","1908","Australasia"
"Theo Tartakover","Male",27,"Swimming",0,0,0,0,"theo-tartakover-1","summer","1908","Australasia"
"Otto Scheff","Male",18,"Swimming",0,0,1,1,"otto-scheff-1","summer","1908","Austria"
"Fritz Flesch","Male",36,"Fencing",0,0,0,0,"fritz-flesch-1","summer","1908","Austria"
"Rolf Kinzl","Male",29,"Tennis",0,0,0,0,"rolf-kinzl-1","summer","1908","Austria"
"Fritz Felix Piepes","Male",21,"Tennis",0,0,0,0,"fritz-felix-piepes-1","summer","1908","Austria"
"Emmerich Rath","Male",24,"Athletics",0,0,0,0,"emmerich-rath-1","summer","1908","Austria"
"Edi Schönecker","Male",23,"Athletics",0,0,0,0,"edi-schonecker-1","summer","1908","Austria"
"Arthur Zborzil","Male",22,"Tennis",0,0,0,0,"arthur-zborzil-1","summer","1908","Austria"
"Paul Van Asbroeck","Male",33,"Shooting",1,1,0,2,"paul-van-asbroeck-1","summer","1908","Belgium"
"Réginald Storms","Male",27,"Shooting",0,2,0,2,"reginald-storms-1","summer","1908","Belgium"
"Victor Boin","Male",22,"Swimming, Water Polo",0,1,0,1,"victor-boin-1","summer","1908","Belgium"
"Oscar de Somville","Male",31,"Rowing",0,1,0,1,"oscar-de-somville-1","summer","1908","Belgium"
"Herman Donners","Male",19,"Water Polo",0,1,0,1,"herman-donners-1","summer","1908","Belgium"
"René Englebert","Male",NA,"Shooting",0,1,0,1,"rene-englebert-1","summer","1908","Belgium"
"Fernand Feyaerts","Male",NA,"Swimming, Water Polo",0,1,0,1,"fernand-feyaerts-1","summer","1908","Belgium"
"Oscar Grégoire","Male",31,"Swimming, Water Polo",0,1,0,1,"oscar-gregoire-1","summer","1908","Belgium"
"Léon Huybrechts","Male",31,"Sailing",0,1,0,1,"leon-huybrechts-1","summer","1908","Belgium"
"Louis Huybrechts","Male",33,"Sailing",0,1,0,1,"louis-huybrechts-1","summer","1908","Belgium"
"Herman Meyboom","Male",18,"Swimming, Water Polo",0,1,0,1,"herman-meyboom-1","summer","1908","Belgium"
"Albert Michant","Male",NA,"Water Polo",0,1,0,1,"albert-michant-1","summer","1908","Belgium"
"Marcel Morimont","Male",21,"Rowing",0,1,0,1,"marcel-morimont-1","summer","1908","Belgium"
"Georges Mys","Male",28,"Rowing",0,1,0,1,"georges-mys-1","summer","1908","Belgium"
"Rémy Orban","Male",28,"Rowing",0,1,0,1,"remy-orban-1","summer","1908","Belgium"
"Charles Paumier du Vergier","Male",NA,"Shooting",0,1,0,1,"charles-paumier-du-vergier-1","summer","1908","Belgium"
"Joseph Pletinckx","Male",19,"Water Polo",0,1,0,1,"joseph-pletinckx-1","summer","1908","Belgium"
"Rodolphe Poma","Male",23,"Rowing",0,1,0,1,"rodolphe-poma-1","summer","1908","Belgium"
"Oscar Taelman","Male",30,"Rowing",0,1,0,1,"oscar-taelman-1","summer","1908","Belgium"
"Alfred Van Landeghem","Male",NA,"Rowing",0,1,0,1,"alfred-van-landeghem-1","summer","1908","Belgium"
"Polydore Veirman","Male",27,"Rowing",0,1,0,1,"polydore-veirman-1","summer","1908","Belgium"
"François Vergucht","Male",NA,"Rowing",0,1,0,1,"francois-vergucht-1","summer","1908","Belgium"
"Henri Weewauters","Male",32,"Sailing",0,1,0,1,"henri-weewauters-1","summer","1908","Belgium"
"Paul Anspach","Male",26,"Fencing",0,0,1,1,"paul-anspach-1","summer","1908","Belgium"
"Désiré Beaurain","Male",26,"Fencing",0,0,1,1,"desire-beaurain-1","summer","1908","Belgium"
"Fernand Bosmans","Male",24,"Fencing",0,0,1,1,"fernand-bosmans-1","summer","1908","Belgium"
"Fernand de Montigny","Male",23,"Fencing",0,0,1,1,"fernand-de-montigny-1","summer","1908","Belgium"
"Ferdinand Feyerick","Male",43,"Fencing",0,0,1,1,"ferdinand-feyerick-1","summer","1908","Belgium"
"François Rom","Male",26,"Fencing",0,0,1,1,"francois-rom-1","summer","1908","Belgium"
"Joseph Werbrouck","Male",26,"Cycling",0,0,1,1,"joseph-werbrouck-1","summer","1908","Belgium"
"Victor Willems","Male",31,"Fencing",0,0,1,1,"victor-willems-1","summer","1908","Belgium"
"François Celis","Male",NA,"Athletics",0,0,0,0,"francois-celis-1","summer","1908","Belgium"
"Guillaume Coeckelberg","Male",NA,"Cycling",0,0,0,0,"guillaume-coeckelberg-1","summer","1908","Belgium"
"Léon Coeckelberg","Male",NA,"Cycling",0,0,0,0,"leon-coeckelberg-1","summer","1908","Belgium"
"Félicien Courbet","Male",20,"Swimming",0,0,0,0,"felicien-courbet-1","summer","1908","Belgium"
"Antoine De Buck","Male",NA,"Gymnastics",0,0,0,0,"antoine-de-buck-1","summer","1908","Belgium"
"François Delloye","Male",19,"Athletics",0,0,0,0,"francois-delloye-1","summer","1908","Belgium"
"André du Bosch","Male",NA,"Fencing",0,0,0,0,"andre-du-bosch-1","summer","1908","Belgium"
"Marcel Dubois","Male",21,"Wrestling",0,0,0,0,"marcel-dubois-1","summer","1908","Belgium"
"Léon Dupont","Male",26,"Athletics",0,0,0,0,"leon-dupont-1","summer","1908","Belgium"
"André Duprez","Male",NA,"Swimming",0,0,0,0,"andre-duprez-1","summer","1908","Belgium"
"Joseph Geens","Male",NA,"Shooting",0,0,0,0,"joseph-geens-1","summer","1908","Belgium"
"�<U+0089>tienne Grade","Male",33,"Fencing",0,0,0,0,"etienne-grade-1","summer","1908","Belgium"
"Fernand Halbart","Male",NA,"Athletics",0,0,0,0,"fernand-halbart-1","summer","1908","Belgium"
"Lucien Hansen","Male",NA,"Wrestling",0,0,0,0,"lucien-hansen-1","summer","1908","Belgium"
"Jozef Hermans","Male",NA,"Rowing",0,0,0,0,"jozef-hermans-1","summer","1908","Belgium"
"Joseph Huketick","Male",NA,"Diving",0,0,0,0,"joseph-huketick-1","summer","1908","Belgium"
"Ernest Ista","Male",NA,"Shooting",0,0,0,0,"ernest-ista-1","summer","1908","Belgium"
"Victor Jacquemin","Male",16,"Athletics",0,0,0,0,"victor-jacquemin-1","summer","1908","Belgium"
"Jean Konings","Male",22,"Athletics",0,0,0,0,"jean-konings-1","summer","1908","Belgium"
"Pierre le Blon","Male",NA,"Fencing",0,0,0,0,"pierre-le-blon-1","summer","1908","Belgium"
"August Meesen","Male",NA,"Wrestling",0,0,0,0,"august-meesen-1","summer","1908","Belgium"
"Jean Patou","Male",29,"Cycling",0,0,0,0,"jean-patou-1","summer","1908","Belgium"
"Jacques Pinchart","Male",NA,"Shooting",0,0,0,0,"jacques-pinchart-1","summer","1908","Belgium"
"�<U+0089>douard Poty","Male",NA,"Shooting",0,0,0,0,"edouard-poty-1","summer","1908","Belgium"
"Gaston Renard","Male",40,"Fencing",0,0,0,0,"gaston-renard-1","summer","1908","Belgium"
"Lucien Renard","Male",NA,"Cycling",0,0,0,0,"lucien-renard-1","summer","1908","Belgium"
"Fernand Rey","Male",NA,"Shooting",0,0,0,0,"fernand-rey-1","summer","1908","Belgium"
"André Sarens","Male",NA,"Fencing",0,0,0,0,"andre-sarens-1","summer","1908","Belgium"
"Henri Sauveur","Male",NA,"Shooting",0,0,0,0,"henri-sauveur-1","summer","1908","Belgium"
"Alexis Simonson","Male",NA,"Fencing",0,0,0,0,"alexis-simonson-1","summer","1908","Belgium"
"Henri Six","Male",35,"Fencing",0,0,0,0,"henri-six-1","summer","1908","Belgium"
"Fernand Steens","Male",NA,"Wrestling",0,0,0,0,"fernand-steens-1","summer","1908","Belgium"
"Pierre Strauwen","Male",NA,"Swimming",0,0,0,0,"pierre-strauwen-1","summer","1908","Belgium"
"François Stuyck","Male",NA,"Fencing",0,0,0,0,"francois-stuyck-1","summer","1908","Belgium"
"Jean Van Benthem","Male",NA,"Cycling",0,0,0,0,"jean-van-benthem-1","summer","1908","Belgium"
"Joseph Van der Voodt","Male",NA,"Fencing",0,0,0,0,"joseph-van-der-voodt-1","summer","1908","Belgium"
"Jean Van Guysse","Male",NA,"Gymnastics",0,0,0,0,"jean-van-guysse-1","summer","1908","Belgium"
"Marcel Van Langenhove","Male",NA,"Fencing",0,0,0,0,"marcel-van-langenhove-1","summer","1908","Belgium"
"Antoine Van Tomme","Male",NA,"Fencing",0,0,0,0,"antoine-van-tomme-1","summer","1908","Belgium"
"Vilém Goppold z Lobsdorfu, Sr.","Male",38,"Fencing",0,0,2,2,"vilem-goppold-z-lobsdorfu-sr-1","summer","1908","Bohemia"
"Otakar Lada","Male",24,"Fencing",0,0,1,1,"otakar-lada-1","summer","1908","Bohemia"
"Vlastimil Lada-Sázavský","Male",22,"Fencing",0,0,1,1,"vlastimil-lada-sazavsky-1","summer","1908","Bohemia"
"Bed�<U+0099>ich Schejbal","Male",NA,"Fencing",0,0,1,1,"bedrich-schejbal-1","summer","1908","Bohemia"
"Jaroslav Tuček","Male",25,"Fencing",0,0,1,1,"jaroslav-tucek-1","summer","1908","Bohemia"
"Josef Bechyn�<U+009B>","Male",28,"Wrestling",0,0,0,0,"josef-bechyne-1","summer","1908","Bohemia"
