"athlete","gender","age","sport","gold","silver","bronze","total","id","season","year","country"
"Angel Rodríguez","Male",NA,"Boxing",0,0,0,0,"angel-rodriguez-1","summer","1920","Argentina"
"Frank Beaurepaire","Male",28,"Swimming",0,1,1,2,"frank-beaurepaire-1","summer","1920","Australia"
"Harry Hay","Male",NA,"Swimming",0,1,0,1,"harry-hay-1","summer","1920","Australia"
"Billy Herald","Male",19,"Swimming",0,1,0,1,"billy-herald-1","summer","1920","Australia"
"Keith Kirkland","Male",19,"Swimming",0,1,0,1,"keith-kirkland-1","summer","1920","Australia"
"George Parker","Male",NA,"Athletics",0,1,0,1,"george-parker-1","summer","1920","Australia"
"Ivan Stedman","Male",25,"Swimming",0,1,0,1,"ivan-stedman-1","summer","1920","Australia"
"Lily Beaurepaire","Female",26,"Diving, Swimming",0,0,0,0,"lily-beaurepaire-1","summer","1920","Australia"
"Jerry Halpin","Male",23,"Cycling",0,0,0,0,"jerry-halpin-1","summer","1920","Australia"
"Sinton Hewitt","Male",32,"Athletics",0,0,0,0,"sinton-hewitt-1","summer","1920","Australia"
"William Hunt","Male",22,"Athletics",0,0,0,0,"william-hunt-1","summer","1920","Australia"
"Wilfred Kent-Hughes","Male",24,"Athletics",0,0,0,0,"wilfred-kent-hughes-1","summer","1920","Australia"
"Jack King","Male",NA,"Cycling",0,0,0,0,"jack-king-1","summer","1920","Australia"
"Ronald Thomas","Male",31,"Tennis",0,0,0,0,"ronald-thomas-1","summer","1920","Australia"
"Hubert Van Innis","Male",54,"Archery",4,2,0,6,"hubert-van-innis-1","summer","1920","Belgium"
"Louis Van De Perck","Male",NA,"Archery",2,2,0,4,"louis-van-de-perck-1","summer","1920","Belgium"
"Edmond Cloetens","Male",NA,"Archery",3,0,0,3,"edmond-cloetens-1","summer","1920","Belgium"
"Edmond Van Moer","Male",NA,"Archery",3,0,0,3,"edmond-van-moer-1","summer","1920","Belgium"
"Alphonse Allaert","Male",44,"Archery",2,1,0,3,"alphonse-allaert-1","summer","1920","Belgium"
"Edmond De Knibber","Male",NA,"Archery",2,1,0,3,"edmond-de-knibber-1","summer","1920","Belgium"
"Jérôme De Mayer","Male",44,"Archery",2,1,0,3,"jerome-de-mayer-1","summer","1920","Belgium"
"Louis Delcon","Male",NA,"Archery",2,1,0,3,"louis-delcon-1","summer","1920","Belgium"
"Louis Fierens","Male",44,"Archery",2,1,0,3,"louis-fierens-1","summer","1920","Belgium"
"Louis Van Beeck","Male",NA,"Archery",2,1,0,3,"louis-van-beeck-1","summer","1920","Belgium"
"Pierre Van Thielt","Male",NA,"Archery",2,1,0,3,"pierre-van-thielt-1","summer","1920","Belgium"
"Firmin Flamand","Male",NA,"Archery",2,0,1,3,"firmin-flamand-1","summer","1920","Belgium"
"Joseph Hermans","Male",NA,"Archery",2,0,1,3,"joseph-hermans-1","summer","1920","Belgium"
"Daniël Bouckaert","Male",25,"Equestrianism",2,0,0,2,"daniel-bouckaert-1","summer","1920","Belgium"
"Auguste Van De Verre","Male",NA,"Archery",2,0,0,2,"auguste-van-de-verre-1","summer","1920","Belgium"
"Louis Finet","Male",26,"Equestrianism",1,0,1,2,"louis-finet-1","summer","1920","Belgium"
"Gérard Blitz","Male",18,"Swimming, Water Polo",0,1,1,2,"gerard-blitz-1","summer","1920","Belgium"
"Félix Balyu","Male",28,"Football",1,0,0,1,"felix-balyu-1","summer","1920","Belgium"
"Désiré Bastin","Male",20,"Football",1,0,0,1,"desire-bastin-1","summer","1920","Belgium"
"Mathieu Bragard","Male",25,"Football",1,0,0,1,"mathieu-bragard-1","summer","1920","Belgium"
"Frédéric-Albert Bruynseels","Male",31,"Sailing",1,0,0,1,"frederic-albert-bruynseels-1","summer","1920","Belgium"
"Albéric Collin","Male",34,"Art Competitions",1,0,0,1,"alberic-collin-1","summer","1920","Belgium"
"Robert Coppée","Male",25,"Football",1,0,0,1,"robert-coppee-1","summer","1920","Belgium"
"�<U+0089>mile Cornellie","Male",50,"Sailing",1,0,0,1,"emile-cornellie-1","summer","1920","Belgium"
"Florimond Cornellie","Male",25,"Sailing",1,0,0,1,"florimond-cornellie-1","summer","1920","Belgium"
"Jean De Bie","Male",27,"Football",1,0,0,1,"jean-de-bie-1","summer","1920","Belgium"
"Frans De Haes","Male",24,"Weightlifting",1,0,0,1,"frans-de-haes-1","summer","1920","Belgium"
"André Fierens","Male",22,"Football",1,0,0,1,"andre-fierens-1","summer","1920","Belgium"
"Henry George","Male",29,"Cycling",1,0,0,1,"henry-george-1","summer","1920","Belgium"
"Emile Hanse","Male",27,"Football",1,0,0,1,"emile-hanse-1","summer","1920","Belgium"
"Georges Hebdin","Male",31,"Football",1,0,0,1,"georges-hebdin-1","summer","1920","Belgium"
"Rik Larnoe","Male",22,"Football",1,0,0,1,"rik-larnoe-1","summer","1920","Belgium"
"Georges Monier","Male",28,"Art Competitions",1,0,0,1,"georges-monier-1","summer","1920","Belgium"
"Joseph Musch","Male",26,"Football",1,0,0,1,"joseph-musch-1","summer","1920","Belgium"
"Fernand Nisot","Male",25,"Football",1,0,0,1,"fernand-nisot-1","summer","1920","Belgium"
"Armand Swartenbroecks","Male",27,"Football",1,0,0,1,"armand-swartenbroecks-1","summer","1920","Belgium"
"Louis Van Hege","Male",30,"Football",1,0,0,1,"louis-van-hege-1","summer","1920","Belgium"
"Van Ranst","Male",NA,"Equestrianism",1,0,0,1,"van-ranst-1","summer","1920","Belgium"
"Oscar Verbeeck","Male",28,"Football",1,0,0,1,"oscar-verbeeck-1","summer","1920","Belgium"
"Paul Anspach","Male",38,"Fencing",0,1,0,1,"paul-anspach-1","summer","1920","Belgium"
"Eugène Auwerkeren","Male",34,"Gymnastics",0,1,0,1,"eugene-auwerkeren-1","summer","1920","Belgium"
"Théophile Bauer","Male",NA,"Gymnastics",0,1,0,1,"theophile-bauer-1","summer","1920","Belgium"
"René Bauwens","Male",26,"Swimming, Water Polo",0,1,0,1,"rene-bauwens-1","summer","1920","Belgium"
"Maurice Blitz","Male",28,"Water Polo",0,1,0,1,"maurice-blitz-1","summer","1920","Belgium"
"Victor Boin","Male",34,"Fencing",0,1,0,1,"victor-boin-1","summer","1920","Belgium"
"Albert Bosquet","Male",NA,"Shooting",0,1,0,1,"albert-bosquet-1","summer","1920","Belgium"
"François Claessens","Male",22,"Gymnastics",0,1,0,1,"francois-claessens-1","summer","1920","Belgium"
"Joseph Cogels","Male",26,"Shooting",0,1,0,1,"joseph-cogels-1","summer","1920","Belgium"
"Augustus Cootmans","Male",NA,"Gymnastics",0,1,0,1,"augustus-cootmans-1","summer","1920","Belgium"
"André Coumans","Male",27,"Equestrianism",0,1,0,1,"andre-coumans-1","summer","1920","Belgium"
"Herman d'Oultremont","Male",38,"Equestrianism",0,1,0,1,"herman-doultremont-1","summer","1920","Belgium"
"Joseph De Craecker","Male",29,"Fencing",0,1,0,1,"joseph-de-craecker-1","summer","1920","Belgium"
"Herman de Gaiffier d'Hestroy","Male",24,"Equestrianism",0,1,0,1,"herman-de-gaiffier-dhestroy-1","summer","1920","Belgium"
"Pierre Dewin","Male",NA,"Water Polo",0,1,0,1,"pierre-dewin-1","summer","1920","Belgium"
"�<U+0089>mile Dupont","Male",32,"Shooting",0,1,0,1,"emile-dupont-1","summer","1920","Belgium"
"Albert Durant","Male",27,"Water Polo",0,1,0,1,"albert-durant-1","summer","1920","Belgium"
"Edouard Feisinger","Male",NA,"Shooting",0,1,0,1,"edouard-feisinger-1","summer","1920","Belgium"
"Paul Gailly","Male",25,"Water Polo",0,1,0,1,"paul-gailly-1","summer","1920","Belgium"
"Ernest Gevers","Male",28,"Fencing",0,1,0,1,"ernest-gevers-1","summer","1920","Belgium"
"François Gibens","Male",NA,"Gymnastics",0,1,0,1,"francois-gibens-1","summer","1920","Belgium"
"Félix, Count Goblet d'Alviella","Male",35,"Fencing",0,1,0,1,"felix-count-goblet-dalviella-1","summer","1920","Belgium"
"Simon Goossens","Male",26,"Art Competitions",0,1,0,1,"simon-goossens-1","summer","1920","Belgium"
"Albert Haepers","Male",NA,"Gymnastics",0,1,0,1,"albert-haepers-1","summer","1920","Belgium"
"Léon Huybrechts","Male",43,"Sailing",0,1,0,1,"leon-huybrechts-1","summer","1920","Belgium"
"Domien Jacob","Male",22,"Gymnastics",0,1,0,1,"domien-jacob-1","summer","1920","Belgium"
"Félicien Kempeneers","Male",NA,"Gymnastics",0,1,0,1,"felicien-kempeneers-1","summer","1920","Belgium"
"John Klotz","Male",NA,"Sailing",0,1,0,1,"john-klotz-1","summer","1920","Belgium"
"Henri Laame","Male",29,"Equestrianism",0,1,0,1,"henri-laame-1","summer","1920","Belgium"
"Jules Labéeu","Male",NA,"Gymnastics",0,1,0,1,"jules-labeeu-1","summer","1920","Belgium"
"Hubert Lafortune","Male",30,"Gymnastics",0,1,0,1,"hubert-lafortune-1","summer","1920","Belgium"
"Auguste Landrieu","Male",32,"Gymnastics",0,1,0,1,"auguste-landrieu-1","summer","1920","Belgium"
"Charles Lannie","Male",38,"Gymnastics",0,1,0,1,"charles-lannie-1","summer","1920","Belgium"
"Philippe Le Hardy de Beaulieu","Male",NA,"Fencing",0,1,0,1,"philippe-le-hardy-de-beaulieu-1","summer","1920","Belgium"
"Constant Loriot","Male",NA,"Gymnastics",0,1,0,1,"constant-loriot-1","summer","1920","Belgium"
"Ferdinand Minnaert","Male",32,"Gymnastics",0,1,0,1,"ferdinand-minnaert-1","summer","1920","Belgium"
"Nicolaas Moerloos","Male",19,"Gymnastics",0,1,0,1,"nicolaas-moerloos-1","summer","1920","Belgium"
"Pierre Nijs","Male",30,"Water Polo",0,1,0,1,"pierre-nijs-1","summer","1920","Belgium"
"Joseph Pletinckx","Male",31,"Water Polo",0,1,0,1,"joseph-pletinckx-1","summer","1920","Belgium"
"Henri Quersin","Male",56,"Shooting",0,1,0,1,"henri-quersin-1","summer","1920","Belgium"
"Louis Stoop","Male",NA,"Gymnastics",0,1,0,1,"louis-stoop-1","summer","1920","Belgium"
"Léon Tom","Male",31,"Fencing",0,1,0,1,"leon-tom-1","summer","1920","Belgium"
"Charles Van Den Bussche","Male",43,"Sailing",0,1,0,1,"charles-van-den-bussche-1","summer","1920","Belgium"
"Jean Van Guysse","Male",NA,"Gymnastics",0,1,0,1,"jean-van-guysse-1","summer","1920","Belgium"
"Alphonse Van Mele","Male",28,"Gymnastics",0,1,0,1,"alphonse-van-mele-1","summer","1920","Belgium"
"Louis Van Tilt","Male",45,"Shooting",0,1,0,1,"louis-van-tilt-1","summer","1920","Belgium"
"François Verboven","Male",NA,"Gymnastics",0,1,0,1,"francois-verboven-1","summer","1920","Belgium"
"Jean Verboven","Male",NA,"Gymnastics",0,1,0,1,"jean-verboven-1","summer","1920","Belgium"
"Julien Verdonck","Male",NA,"Gymnastics",0,1,0,1,"julien-verdonck-1","summer","1920","Belgium"
"Joseph Verstraeten","Male",NA,"Gymnastics",0,1,0,1,"joseph-verstraeten-1","summer","1920","Belgium"
"Georges Vivex","Male",NA,"Gymnastics",0,1,0,1,"georges-vivex-1","summer","1920","Belgium"
"Julianus Wagemans","Male",29,"Gymnastics",0,1,0,1,"julianus-wagemans-1","summer","1920","Belgium"
"Louis Williquet","Male",NA,"Weightlifting",0,1,0,1,"louis-williquet-1","summer","1920","Belgium"
"Paul Arets","Male",NA,"Gymnastics",0,0,1,1,"paul-arets-1","summer","1920","Belgium"
"André Becquet","Male",NA,"Hockey",0,0,1,1,"andre-becquet-1","summer","1920","Belgium"
"Maurice Bladel","Male",34,"Art Competitions",0,0,1,1,"maurice-bladel-1","summer","1920","Belgium"
"Jules Bonvalet","Male",31,"Equestrianism",0,0,1,1,"jules-bonvalet-1","summer","1920","Belgium"
"Edouard Bourguignon","Male",32,"Tug-Of-War",0,0,1,1,"edouard-bourguignon-1","summer","1920","Belgium"
"Léon Bronckaert","Male",26,"Gymnastics",0,0,1,1,"leon-bronckaert-1","summer","1920","Belgium"
"Pierre Chibert","Male",NA,"Hockey",0,0,1,1,"pierre-chibert-1","summer","1920","Belgium"
"Léopold Clabots","Male",27,"Gymnastics",0,0,1,1,"leopold-clabots-1","summer","1920","Belgium"
"Jean-Baptiste Claessens","Male",NA,"Gymnastics",0,0,1,1,"jean-baptiste-claessens-1","summer","1920","Belgium"
"Léon Darrien","Male",32,"Gymnastics",0,0,1,1,"leon-darrien-1","summer","1920","Belgium"
"Raoul Daufresne de la Chevalerie","Male",39,"Hockey",0,0,1,1,"raoul-daufresne-de-la-chevalerie-1","summer","1920","Belgium"
"Albert De Bunné","Male",24,"Cycling",0,0,1,1,"albert-de-bunne-1","summer","1920","Belgium"
"Alphonse De Cuyper","Male",43,"Art Competitions",0,0,1,1,"alphonse-de-cuyper-1","summer","1920","Belgium"
"Willy De L'Arbre","Male",37,"Sailing",0,0,1,1,"willy-de-larbre-1","summer","1920","Belgium"
"Fernand de Montigny","Male",35,"Fencing, Hockey",0,0,1,1,"fernand-de-montigny-1","summer","1920","Belgium"
"Lucien Dehoux","Male",NA,"Gymnastics",0,0,1,1,"lucien-dehoux-1","summer","1920","Belgium"
"Charles Delelienne","Male",NA,"Hockey",0,0,1,1,"charles-delelienne-1","summer","1920","Belgium"
"Ernest Deleu","Male",NA,"Gymnastics",0,0,1,1,"ernest-deleu-1","summer","1920","Belgium"
"Louis Diercxsens","Male",21,"Hockey",0,0,1,1,"louis-diercxsens-1","summer","1920","Belgium"
"�<U+0089>mile Duboisson","Male",NA,"Gymnastics",0,0,1,1,"emile-duboisson-1","summer","1920","Belgium"
"Alphonse Ducatillon","Male",NA,"Tug-Of-War",0,0,1,1,"alphonse-ducatillon-1","summer","1920","Belgium"
"Ernest Dureuil","Male",NA,"Gymnastics",0,0,1,1,"ernest-dureuil-1","summer","1920","Belgium"
"Joseph Fiems","Male",NA,"Gymnastics",0,0,1,1,"joseph-fiems-1","summer","1920","Belgium"
"Robert Gevers","Male",NA,"Hockey",0,0,1,1,"robert-gevers-1","summer","1920","Belgium"
"Charles Gniette","Male",NA,"Hockey",0,0,1,1,"charles-gniette-1","summer","1920","Belgium"
"Adolphe Goemaere","Male",24,"Hockey",0,0,1,1,"adolphe-goemaere-1","summer","1920","Belgium"
"Albert Grisar","Male",49,"Sailing",0,0,1,1,"albert-grisar-1","summer","1920","Belgium"
"Marcel Hansen","Male",NA,"Gymnastics",0,0,1,1,"marcel-hansen-1","summer","1920","Belgium"
