"Fipscode","State","Geographic.area","Population","Land.Area.in.square.miles"
51660,"Virginia","HARRISONBURG CITY",48914,17.42
51670,"Virginia","HOPEWELL CITY",22591,10.28
51678,"Virginia","LEXINGTON CITY",7042,2.5
51680,"Virginia","LYNCHBURG CITY",75568,49.13
51683,"Virginia","MANASSAS CITY",37821,9.88
51685,"Virginia","MANASSAS PARK CITY",14273,2.53
51690,"Virginia","MARTINSVILLE CITY",13821,10.96
51700,"Virginia","NEWPORT NEWS CITY",180719,68.71
51710,"Virginia","NORFOLK CITY",242803,54.12
51720,"Virginia","NORTON CITY",3958,7.48
51730,"Virginia","PETERSBURG CITY",32420,22.93
51735,"Virginia","POQUOSON CITY",12150,15.32
51740,"Virginia","PORTSMOUTH CITY",95535,33.65
51750,"Virginia","RADFORD CITY",16408,9.87
51760,"Virginia","RICHMOND CITY",204214,59.81
51770,"Virginia","ROANOKE CITY",97032,42.56
51775,"Virginia","SALEM CITY",24802,14.44
51790,"Virginia","STAUNTON CITY",23746,19.98
51800,"Virginia","SUFFOLK CITY",84585,400.17
51810,"Virginia","VIRGINIA BEACH CITY",437994,249.02
51820,"Virginia","WAYNESBORO CITY",21006,15.04
51830,"Virginia","WILLIAMSBURG CITY",14068,9.02
51840,"Virginia","WINCHESTER CITY",26203,9.23
