"Fipscode","State","Geographic.area","Population","Land.Area.in.square.miles"
48295,"Texas","LIPSCOMB",3302,932.18
48297,"Texas","LIVE OAK",11531,1039.7
48299,"Texas","LLANO",19301,934.03
48301,"Texas","LOVING",82,668.93
48303,"Texas","LUBBOCK",278831,895.6
48305,"Texas","LYNN",5915,891.87
48307,"Texas","MCCULLOCH",8283,1065.6
48309,"Texas","MCLENNAN",234906,1037.1
48311,"Texas","MCMULLEN",707,1139.43
48313,"Texas","MADISON",13664,466.07
48315,"Texas","MARION",10546,380.88
48317,"Texas","MARTIN",4799,914.94
48319,"Texas","MASON",4012,928.8
48321,"Texas","MATAGORDA",36702,1100.28
48323,"Texas","MAVERICK",54258,1279.26
48325,"Texas","MEDINA",46006,1325.36
48327,"Texas","MENARD",2242,902.03
48329,"Texas","MIDLAND",136872,900.3
48331,"Texas","MILAM",24757,1016.93
48333,"Texas","MILLS",4936,748.26
48335,"Texas","MITCHELL",9403,911.09
48337,"Texas","MONTAGUE",19719,930.91
48339,"Texas","MONTGOMERY",455746,1041.73
48341,"Texas","MOORE",21904,899.69
48343,"Texas","MORRIS",12934,251.98
48345,"Texas","MOTLEY",1210,989.56
48347,"Texas","NACOGDOCHES",64524,946.54
48349,"Texas","NAVARRO",47735,1009.63
48351,"Texas","NEWTON",14445,933.68
48353,"Texas","NOLAN",15216,912
48355,"Texas","NUECES",340223,838.48
48357,"Texas","OCHILTREE",10223,917.63
48359,"Texas","OLDHAM",2052,1500.53
48361,"Texas","ORANGE",81837,333.67
48363,"Texas","PALO PINTO",28111,951.79
48365,"Texas","PANOLA",23796,801.75
48367,"Texas","PARKER",116927,903.48
48369,"Texas","PARMER",10269,880.78
48371,"Texas","PECOS",15507,4763.85
48373,"Texas","POLK",45413,1057.09
48375,"Texas","POTTER",121073,908.37
48377,"Texas","PRESIDIO",7818,3855.24
48379,"Texas","RAINS",10914,229.45
48381,"Texas","RANDALL",120725,911.54
48383,"Texas","REAGAN",3367,1175.3
48385,"Texas","REAL",3309,699.19
48387,"Texas","RED RIVER",12860,1036.58
48389,"Texas","REEVES",13783,2635.37
48391,"Texas","REFUGIO",7383,770.44
48393,"Texas","ROBERTS",929,924.06
48395,"Texas","ROBERTSON",16622,855.68
48397,"Texas","ROCKWALL",78337,127.04
48399,"Texas","RUNNELS",10501,1050.94
48401,"Texas","RUSK",53330,924.03
48403,"Texas","SABINE",10834,491.39
48405,"Texas","SAN AUGUSTINE",8865,530.66
48407,"Texas","SAN JACINTO",26384,569.24
48409,"Texas","SAN PATRICIO",64804,693.45
48411,"Texas","SAN SABA",6131,1135.3
48413,"Texas","SCHLEICHER",3461,1310.63
48415,"Texas","SCURRY",16921,905.44
48417,"Texas","SHACKELFORD",3378,914.29
48419,"Texas","SHELBY",25448,795.58
48421,"Texas","SHERMAN",3034,923.04
48423,"Texas","SMITH",209714,921.45
48425,"Texas","SOMERVELL",8490,186.46
48427,"Texas","STARR",60968,1223.18
48429,"Texas","STEPHENS",9630,896.72
48431,"Texas","STERLING",1143,923.45
48433,"Texas","STONEWALL",1490,916.31
48435,"Texas","SUTTON",4128,1453.93
48437,"Texas","SWISHER",7854,890.16
48439,"Texas","TARRANT",1809034,863.61
48441,"Texas","TAYLOR",131506,915.55
48443,"Texas","TERRELL",984,2358.03
48445,"Texas","TERRY",12651,888.84
48447,"Texas","THROCKMORTON",1641,912.55
48449,"Texas","TITUS",32334,406.05
48451,"Texas","TOM GREEN",110224,1521.97
48453,"Texas","TRAVIS",1024266,990.2
48455,"Texas","TRINITY",14585,693.61
48457,"Texas","TYLER",21766,924.5
48459,"Texas","UPSHUR",39309,582.95
48461,"Texas","UPTON",3355,1241.32
48463,"Texas","UVALDE",26405,1551.95
48465,"Texas","VAL VERDE",48879,3144.75
48467,"Texas","VAN ZANDT",52579,842.56
48469,"Texas","VICTORIA",86793,882.14
48471,"Texas","WALKER",67861,784.17
48473,"Texas","WALLER",43205,513.43
48475,"Texas","WARD",10658,835.6
48477,"Texas","WASHINGTON",33718,603.95
48479,"Texas","WEBB",250304,3361.48
48481,"Texas","WHARTON",41280,1086.15
48483,"Texas","WHEELER",5410,914.52
48485,"Texas","WICHITA",131500,627.78
48487,"Texas","WILBARGER",13535,970.84
48489,"Texas","WILLACY",22134,590.55
48491,"Texas","WILLIAMSON",422679,1118.3
48493,"Texas","WILSON",42918,803.73
48495,"Texas","WINKLER",7110,841.11
48497,"Texas","WISE",59127,904.42
48499,"Texas","WOOD",41964,645.23
48501,"Texas","YOAKUM",7879,799.71
48503,"Texas","YOUNG",18550,914.47
48505,"Texas","ZAPATA",14018,998.41
48507,"Texas","ZAVALA",11677,1297.41
