"athlete","gender","age","sport","gold","silver","bronze","total","id","season","year","country"
"Teddy Flack","Male",22,"Athletics, Tennis",2,0,1,3,"teddy-flack-1","summer","1896","Australia"
"Adolf Schmal","Male",23,"Cycling, Fencing",1,0,2,3,"adolf-schmal-1","summer","1896","Austria"
"Paul Neumann","Male",20,"Swimming",1,0,0,1,"paul-neumann-1","summer","1896","Austria"
"Otto Herschmann","Male",19,"Swimming",0,1,0,1,"otto-herschmann-1","summer","1896","Austria"
"Viggo Jensen","Male",21,"Athletics, Gymnastics, Shooting, Weightlifting",1,1,1,3,"viggo-jensen-2","summer","1896","Denmark"
"Holger Nielsen","Male",29,"Athletics, Fencing, Shooting",0,1,2,3,"holger-nielsen-1","summer","1896","Denmark"
"Eugen Schmidt","Male",34,"Athletics, Shooting",0,0,0,0,"eugen-schmidt-1","summer","1896","Denmark"
"Paul Masson","Male",19,"Cycling",3,0,0,3,"paul-masson-1","summer","1896","France"
"Léon Flameng","Male",18,"Cycling",1,1,1,3,"leon-flameng-1","summer","1896","France"
"Eugène Henry Gravelotte","Male",20,"Fencing",1,0,0,1,"eugene-henry-gravelotte-1","summer","1896","France"
"Henri Callot","Male",20,"Fencing",0,1,0,1,"henri-callot-1","summer","1896","France"
"Joanni Perronet","Male",18,"Fencing",0,1,0,1,"joanni-perronet-1","summer","1896","France"
"Alexandre Tuffèri","Male",19,"Athletics",0,1,0,1,"alexandre-tufferi-1","summer","1896","France"
"Albin Lermusiaux","Male",21,"Athletics, Shooting",0,0,1,1,"albin-lermusiaux-1","summer","1896","France"
"Georges de la Nézière","Male",17,"Athletics",0,0,0,0,"georges-de-la-neziere-1","summer","1896","France"
"Henri de Laborde","Male",NA,"Fencing",0,0,0,0,"henri-de-laborde-1","summer","1896","France"
"J. Defert","Male",NA,"Tennis",0,0,0,0,"j-defert-1","summer","1896","France"
"Alphonse Grisel","Male",NA,"Athletics, Gymnastics",0,0,0,0,"alphonse-grisel-1","summer","1896","France"
"Frantz Reichel","Male",25,"Athletics",0,0,0,0,"frantz-reichel-1","summer","1896","France"
"Hermann Weingärtner","Male",31,"Gymnastics",3,2,1,6,"hermann-weingartner-1","summer","1896","Germany"
"Carl Schuhmann","Male",26,"Athletics, Gymnastics, Weightlifting, Wrestling",4,0,0,4,"carl-schuhmann-1","summer","1896","Germany"
"Alfred Flatow","Male",26,"Gymnastics",3,1,0,4,"alfred-flatow-1","summer","1896","Germany"
"Conrad Böcker","Male",25,"Gymnastics",2,0,0,2,"conrad-bocker-1","summer","1896","Germany"
"Gustav Flatow","Male",21,"Gymnastics",2,0,0,2,"gustav-flatow-1","summer","1896","Germany"
"Georg Hillmar","Male",19,"Gymnastics",2,0,0,2,"georg-hillmar-1","summer","1896","Germany"
"Fritz Manteuffel","Male",21,"Gymnastics",2,0,0,2,"fritz-manteuffel-1","summer","1896","Germany"
"Karl Neukirch","Male",31,"Gymnastics",2,0,0,2,"karl-neukirch-1","summer","1896","Germany"
"Richard Röstel","Male",NA,"Gymnastics",2,0,0,2,"richard-rostel-1","summer","1896","Germany"
"Gustav Schuft","Male",19,"Gymnastics",2,0,0,2,"gustav-schuft-1","summer","1896","Germany"
"Fritz Hofmann","Male",24,"Athletics, Gymnastics",0,1,1,2,"fritz-hofmann-1","summer","1896","Germany"
"Fritz Traun","Male",20,"Athletics, Tennis",1,0,0,1,"fritz-traun-1","summer","1896","Germany"
"Anton Gödrich","Male",36,"Cycling",0,1,0,1,"anton-godrich-1","summer","1896","Germany"
"Kurt Doerry","Male",21,"Athletics",0,0,0,0,"kurt-doerry-1","summer","1896","Germany"
"Carl Galle","Male",23,"Athletics",0,0,0,0,"carl-galle-1","summer","1896","Germany"
"Bernard Knubel","Male",23,"Cycling",0,0,0,0,"bernard-knubel-1","summer","1896","Germany"
"Theodor Leupolt","Male",NA,"Cycling",0,0,0,0,"theodor-leupolt-1","summer","1896","Germany"
"Joseph Rosemeyer","Male",24,"Cycling",0,0,0,0,"joseph-rosemeyer-1","summer","1896","Germany"
"Joseph Welzenbacher","Male",NA,"Cycling",0,0,0,0,"joseph-welzenbacher-1","summer","1896","Germany"
"John Pius Boland","Male",25,"Tennis",2,0,0,2,"john-pius-boland-1","summer","1896","Great Britain"
"Launceston Elliot","Male",21,"Athletics, Gymnastics, Weightlifting, Wrestling",1,1,0,2,"launceston-elliot-1","summer","1896","Great Britain"
"Grantley Goulding","Male",22,"Athletics",0,1,0,1,"grantley-goulding-1","summer","1896","Great Britain"
"Frederick Keeping","Male",28,"Cycling",0,1,0,1,"frederick-keeping-1","summer","1896","Great Britain"
"Edward Battel","Male",NA,"Cycling",0,0,1,1,"edward-battel-1","summer","1896","Great Britain"
"Charles Gmelin","Male",23,"Athletics",0,0,1,1,"charles-gmelin-1","summer","1896","Great Britain"
"George Stuart Robertson","Male",23,"Athletics, Tennis",0,0,1,1,"george-stuart-robertson-1","summer","1896","Great Britain"
"Machonet","Male",NA,"Shooting",0,0,0,0,"machonet-1","summer","1896","Great Britain"
"George Marshall","Male",NA,"Athletics",0,0,0,0,"george-marshall-1","summer","1896","Great Britain"
"Sidney Merlin","Male",39,"Shooting",0,0,0,0,"sidney-merlin-1","summer","1896","Great Britain"
"Ioannis Frangoudis","Male",NA,"Shooting",1,1,1,3,"ioannis-frangoudis-1","summer","1896","Greece"
"Georgios Orfanidis","Male",NA,"Shooting",1,1,0,2,"georgios-orfanidis-1","summer","1896","Greece"
"Demetrius Casdagli","Male",23,"Tennis",0,2,0,2,"demetrius-casdagli-1","summer","1896","Greece"
"Stamatios Nikolopoulos","Male",NA,"Cycling",0,2,0,2,"stamatios-nikolopoulos-1","summer","1896","Greece"
"Sotirios Versis","Male",NA,"Athletics, Weightlifting",0,0,2,2,"sotirios-versis-1","summer","1896","Greece"
"Nikolaos Andriakopoulos","Male",NA,"Gymnastics",1,0,0,1,"nikolaos-andriakopoulos-1","summer","1896","Greece"
"Ioannis Georgiadis","Male",20,"Fencing",1,0,0,1,"ioannis-georgiadis-1","summer","1896","Greece"
"Pantelis Karasevdas","Male",NA,"Shooting",1,0,0,1,"pantelis-karasevdas-1","summer","1896","Greece"
"Aristidis Konstantinidis","Male",NA,"Cycling",1,0,0,1,"aristidis-konstantinidis-1","summer","1896","Greece"
"Spyros Louis","Male",23,"Athletics",1,0,0,1,"spyros-louis-1","summer","1896","Greece"
"Ioannis Malokinis","Male",NA,"Swimming",1,0,0,1,"ioannis-malokinis-1","summer","1896","Greece"
