"athlete","gender","age","sport","gold","silver","bronze","total","id","season","year","country"
"Nigel Barker","Male",23,"Athletics",0,0,2,2,"nigel-barker-1","summer","1906","Australia"
"Cecil Healy","Male",24,"Swimming",0,0,1,1,"cecil-healy-1","summer","1906","Australia"
"George Blake","Male",27,"Athletics",0,0,0,0,"george-blake-1","summer","1906","Australia"
"Dad Wheatley","Male",23,"Athletics",0,0,0,0,"dad-wheatley-1","summer","1906","Australia"
"Josef Steinbach","Male",27,"Tug-Of-War, Weightlifting",1,1,0,2,"josef-steinbach-1","summer","1906","Austria"
"Otto Scheff","Male",16,"Swimming",1,0,1,2,"otto-scheff-1","summer","1906","Austria"
"Rudolf Watzl","Male",24,"Wrestling",1,0,1,2,"rudolf-watzl-1","summer","1906","Austria"
"Henri Baur","Male",33,"Athletics, Tug-Of-War, Wrestling",0,1,0,1,"henri-baur-1","summer","1906","Austria"
"Rudolf Lindmayer","Male",24,"Tug-Of-War, Wrestling",0,1,0,1,"rudolf-lindmayer-1","summer","1906","Austria"
"Otto Satzinger","Male",27,"Diving",0,0,1,1,"otto-satzinger-1","summer","1906","Austria"
"Rudolf Arnold","Male",NA,"Tug-Of-War, Wrestling",0,0,0,0,"rudolf-arnold-1","summer","1906","Austria"
"Edmond Bernhardt","Male",21,"Swimming",0,0,0,0,"edmond-bernhardt-1","summer","1906","Austria"
"Wenzel Goldbach","Male",NA,"Wrestling",0,0,0,0,"wenzel-goldbach-1","summer","1906","Austria"
"Martin Harden","Male",NA,"Fencing",0,0,0,0,"martin-harden-1","summer","1906","Austria"
"Otto Herschmann","Male",29,"Fencing",0,0,0,0,"otto-herschmann-1","summer","1906","Austria"
"Heinrich Hintermann","Male",NA,"Shooting",0,0,0,0,"heinrich-hintermann-1","summer","1906","Austria"
"Hans Holly","Male",NA,"Cycling",0,0,0,0,"hans-holly-1","summer","1906","Austria"
"Karl Höltl","Male",31,"Tug-Of-War, Wrestling",0,0,0,0,"karl-holtl-1","summer","1906","Austria"
"Ernst Königsgarten","Male",25,"Fencing",0,0,0,0,"ernst-konigsgarten-1","summer","1906","Austria"
"Gustav Krojer","Male",20,"Athletics",0,0,0,0,"gustav-krojer-1","summer","1906","Austria"
"Felix Kwieton","Male",28,"Athletics",0,0,0,0,"felix-kwieton-1","summer","1906","Austria"
"Leopold Lahner","Male",NA,"Athletics, Tug-Of-War",0,0,0,0,"leopold-lahner-1","summer","1906","Austria"
"Karl Lampelmayer","Male",NA,"Athletics",0,0,0,0,"karl-lampelmayer-1","summer","1906","Austria"
"Leopold Mayer","Male",NA,"Swimming",0,0,0,0,"leopold-mayer-1","summer","1906","Austria"
"Otto Meixner","Male",NA,"Cycling",0,0,0,0,"otto-meixner-1","summer","1906","Austria"
"Simon Orlik","Male",NA,"Swimming",0,0,0,0,"simon-orlik-1","summer","1906","Austria"
