"athlete","gender","age","sport","gold","silver","bronze","total","id","season","year","country"
"Mohammad Anwar Afzal","Male",NA,"Football",0,0,0,0,"mohammad-anwar-afzal-1","summer","1948","Afghanistan"
"Abdul Ghafoor Assar","Male",NA,"Football",0,0,0,0,"abdul-ghafoor-assar-1","summer","1948","Afghanistan"
"Abdul Ghani Assar","Male",NA,"Football",0,0,0,0,"abdul-ghani-assar-1","summer","1948","Afghanistan"
"Mohammad Attai","Male",NA,"Hockey",0,0,0,0,"mohammad-attai-1","summer","1948","Afghanistan"
"Abdul Shacour Azimi","Male",NA,"Football",0,0,0,0,"abdul-shacour-azimi-1","summer","1948","Afghanistan"
"Yar Mohammad Barakzai","Male",NA,"Football",0,0,0,0,"yar-mohammad-barakzai-1","summer","1948","Afghanistan"
"Mohammad Ibrahim Gharzai","Male",NA,"Football",0,0,0,0,"mohammad-ibrahim-gharzai-1","summer","1948","Afghanistan"
"G. Jagi","Male",NA,"Hockey",0,0,0,0,"g-jagi-1","summer","1948","Afghanistan"
"Abdul Ahad Kharot","Male",NA,"Football",0,0,0,0,"abdul-ahad-kharot-1","summer","1948","Afghanistan"
"Mohammad Anwar Kharot","Male",NA,"Football",0,0,0,0,"mohammad-anwar-kharot-1","summer","1948","Afghanistan"
"Mohammad Khogaini","Male",NA,"Hockey",0,0,0,0,"mohammad-khogaini-1","summer","1948","Afghanistan"
"Bakhteyar Gulam Mangal","Male",NA,"Hockey",0,0,0,0,"bakhteyar-gulam-mangal-1","summer","1948","Afghanistan"
"Abdul Kadir Nuristani","Male",NA,"Hockey",0,0,0,0,"abdul-kadir-nuristani-1","summer","1948","Afghanistan"
"Ahmad Jahan Nuristani","Male",NA,"Hockey",0,0,0,0,"ahmad-jahan-nuristani-1","summer","1948","Afghanistan"
"Din Mohammad Nuristani","Male",NA,"Hockey",0,0,0,0,"din-mohammad-nuristani-1","summer","1948","Afghanistan"
"Jahan Gulam Nuristani","Male",NA,"Hockey",0,0,0,0,"jahan-gulam-nuristani-1","summer","1948","Afghanistan"
"Mohammad Amin Nuristani","Male",NA,"Hockey",0,0,0,0,"mohammad-amin-nuristani-1","summer","1948","Afghanistan"
"Mohammad Jahan Nuristani","Male",NA,"Hockey",0,0,0,0,"mohammad-jahan-nuristani-1","summer","1948","Afghanistan"
"Mohammad Kadir Nuristani","Male",NA,"Hockey",0,0,0,0,"mohammad-kadir-nuristani-1","summer","1948","Afghanistan"
"Abdul Hamid Tajik","Male",NA,"Football",0,0,0,0,"abdul-hamid-tajik-1","summer","1948","Afghanistan"
