"athlete","gender","age","sport","gold","silver","bronze","total","id","season","year","country"
"Víctor Avendaño","Male",20,"Boxing",1,0,0,1,"victor-avendano-1","summer","1928","Argentina"
"Arturo Rodríguez","Male",20,"Boxing",1,0,0,1,"arturo-rodriguez-1","summer","1928","Argentina"
"Alberto Zorrilla","Male",22,"Swimming",1,0,0,1,"alberto-zorrilla-1","summer","1928","Argentina"
"Ludovico Bidoglio","Male",28,"Football",0,1,0,1,"ludovico-bidoglio-1","summer","1928","Argentina"
"Ángel Bossio","Male",23,"Football",0,1,0,1,"angel-bossio-1","summer","1928","Argentina"
"Saúl Calandra","Male",23,"Football",0,1,0,1,"saul-calandra-1","summer","1928","Argentina"
"Alfredo Carricaberry","Male",27,"Football",0,1,0,1,"alfredo-carricaberry-1","summer","1928","Argentina"
"Roberto Cherro","Male",21,"Football",0,1,0,1,"roberto-cherro-1","summer","1928","Argentina"
"Octavio Díaz","Male",27,"Football",0,1,0,1,"octavio-diaz-1","summer","1928","Argentina"
"Juan Evaristo","Male",25,"Football",0,1,0,1,"juan-evaristo-1","summer","1928","Argentina"
"Manuel Ferreira","Male",22,"Football",0,1,0,1,"manuel-ferreira-1","summer","1928","Argentina"
"Enrique Gainzarain","Male",23,"Football",0,1,0,1,"enrique-gainzarain-1","summer","1928","Argentina"
"Raúl Landini","Male",18,"Boxing",0,1,0,1,"raul-landini-1","summer","1928","Argentina"
"Ángel Segundo Médici","Male",30,"Football",0,1,0,1,"angel-segundo-medici-1","summer","1928","Argentina"
"Luis Felipe Monti","Male",27,"Football",0,1,0,1,"luis-felipe-monti-1","summer","1928","Argentina"
"Rodolfo Orlandini","Male",23,"Football",0,1,0,1,"rodolfo-orlandini-1","summer","1928","Argentina"
"Raimundo Orsi","Male",26,"Football",0,1,0,1,"raimundo-orsi-1","summer","1928","Argentina"
"Fernando Paternoster","Male",24,"Football",0,1,0,1,"fernando-paternoster-1","summer","1928","Argentina"
"Víctor Peralta","Male",20,"Boxing",0,1,0,1,"victor-peralta-1","summer","1928","Argentina"
"Feliciano Perducca","Male",26,"Football",0,1,0,1,"feliciano-perducca-1","summer","1928","Argentina"
"Domingo Tarasconi","Male",24,"Football",0,1,0,1,"domingo-tarasconi-1","summer","1928","Argentina"
"Raúl Anganuzzi","Male",21,"Fencing",0,0,1,1,"raul-anganuzzi-1","summer","1928","Argentina"
"Carmelo Camet","Male",23,"Fencing",0,0,1,1,"carmelo-camet-1","summer","1928","Argentina"
"Roberto Larraz","Male",29,"Fencing",0,0,1,1,"roberto-larraz-1","summer","1928","Argentina"
"Héctor Lucchetti","Male",23,"Fencing",0,0,1,1,"hector-lucchetti-1","summer","1928","Argentina"
"Luis Lucchetti","Male",25,"Fencing",0,0,1,1,"luis-lucchetti-1","summer","1928","Argentina"
"Eduardo Albe","Male",28,"Athletics",0,0,0,0,"eduardo-albe-1","summer","1928","Argentina"
"Amilcar Álvarez","Male",NA,"Swimming",0,0,0,0,"amilcar-alvarez-1","summer","1928","Argentina"
"Raúl Antoli","Male",NA,"Equestrianism",0,0,0,0,"raul-antoli-1","summer","1928","Argentina"
"Alberto Barbieri","Male",NA,"Wrestling",0,0,0,0,"alberto-barbieri-1","summer","1928","Argentina"
"Alberto Barucco","Male",22,"Athletics",0,0,0,0,"alberto-barucco-1","summer","1928","Argentina"
"Mario Bistoletti","Male",NA,"Water Polo",0,0,0,0,"mario-bistoletti-1","summer","1928","Argentina"
"Ernesto Black","Male",NA,"Rowing",0,0,0,0,"ernesto-black-1","summer","1928","Argentina"
"Irving Bond","Male",NA,"Rowing",0,0,0,0,"irving-bond-1","summer","1928","Argentina"
"Pascual Bonfiglio","Male",21,"Boxing",0,0,0,0,"pascual-bonfiglio-1","summer","1928","Argentina"
"Francisco Bonvehi","Male",NA,"Cycling",0,0,0,0,"francisco-bonvehi-1","summer","1928","Argentina"
"Eduardo Bosc","Male",28,"Wrestling",0,0,0,0,"eduardo-bosc-1","summer","1928","Argentina"
"Miguel Bosch","Male",NA,"Sailing",0,0,0,0,"miguel-bosch-1","summer","1928","Argentina"
"Jorge Briola","Male",NA,"Wrestling",0,0,0,0,"jorge-briola-1","summer","1928","Argentina"
"Pedro Brise","Male",NA,"Rowing",0,0,0,0,"pedro-brise-1","summer","1928","Argentina"
"Ricardo Bustamente","Male",NA,"Water Polo",0,0,0,0,"ricardo-bustamente-1","summer","1928","Argentina"
"Carlos Castro","Male",NA,"Water Polo",0,0,0,0,"carlos-castro-1","summer","1928","Argentina"
"Humberto Curi","Male",22,"Boxing",0,0,0,0,"humberto-curi-1","summer","1928","Argentina"
"Pedro Dates","Male",21,"Sailing",0,0,0,0,"pedro-dates-1","summer","1928","Argentina"
"Luis de Meyer","Male",NA,"Cycling",0,0,0,0,"luis-de-meyer-1","summer","1928","Argentina"
"Amabrio del Villar","Male",NA,"Equestrianism",0,0,0,0,"amabrio-del-villar-1","summer","1928","Argentina"
"Serafín Dengra","Male",25,"Athletics",0,0,0,0,"serafin-dengra-1","summer","1928","Argentina"
"Alberto Errecalde","Male",NA,"Rowing",0,0,0,0,"alberto-errecalde-1","summer","1928","Argentina"
"Víctor Fernández","Male",NA,"Equestrianism",0,0,0,0,"victor-fernandez-1","summer","1928","Argentina"
"César Garibaldi","Male",NA,"Weightlifting",0,0,0,0,"cesar-garibaldi-1","summer","1928","Argentina"
"Rafael Iglesias","Male",22,"Sailing",0,0,0,0,"rafael-iglesias-2","summer","1928","Argentina"
"Lázaro Iturrieta","Male",NA,"Rowing",0,0,0,0,"lazaro-iturrieta-1","summer","1928","Argentina"
"Federico Kleger","Male",25,"Athletics",0,0,0,0,"federico-kleger-1","summer","1928","Argentina"
"Gustavo Lanusse","Male",19,"Rowing",0,0,0,0,"gustavo-lanusse-1","summer","1928","Argentina"
"Leopoldo Ledesma","Male",24,"Athletics",0,0,0,0,"leopoldo-ledesma-1","summer","1928","Argentina"
"José Llauro","Male",NA,"Fencing",0,0,0,0,"jose-llauro-1","summer","1928","Argentina"
"José López","Male",NA,"Cycling",0,0,0,0,"jose-lopez-1","summer","1928","Argentina"
"Antonio Malvassi","Male",NA,"Cycling",0,0,0,0,"antonio-malvassi-1","summer","1928","Argentina"
"Oscar Martínez","Male",39,"Fencing",0,0,0,0,"oscar-martinez-1","summer","1928","Argentina"
"Armin Meyer","Male",NA,"Rowing",0,0,0,0,"armin-meyer-1","summer","1928","Argentina"
"Jorge Moreau","Male",20,"Water Polo",0,0,0,0,"jorge-moreau-1","summer","1928","Argentina"
"Alfredo Pianta","Male",NA,"Weightlifting",0,0,0,0,"alfredo-pianta-1","summer","1928","Argentina"
"Juan Bautista Pina","Male",20,"Athletics",0,0,0,0,"juan-bautista-pina-1","summer","1928","Argentina"
"Federico Probst","Male",NA,"Rowing",0,0,0,0,"federico-probst-1","summer","1928","Argentina"
"Ricardo Rey","Male",NA,"Wrestling",0,0,0,0,"ricardo-rey-1","summer","1928","Argentina"
"Carmelo Robledo","Male",15,"Boxing",0,0,0,0,"carmelo-robledo-1","summer","1928","Argentina"
"Francisco Rodríguez","Male",NA,"Cycling",0,0,0,0,"francisco-rodriguez-7","summer","1928","Argentina"
"Luciano Rovere","Male",NA,"Water Polo",0,0,0,0,"luciano-rovere-1","summer","1928","Argentina"
"Cosme Saavedra","Male",26,"Cycling",0,0,0,0,"cosme-saavedra-1","summer","1928","Argentina"
"Horacio Seeber","Male",20,"Sailing",0,0,0,0,"horacio-seeber-1","summer","1928","Argentina"
"Carlos Serantes","Male",NA,"Sailing",0,0,0,0,"carlos-serantes-1","summer","1928","Argentina"
"Leonel Sutton","Male",NA,"Rowing",0,0,0,0,"leonel-sutton-1","summer","1928","Argentina"
"Juan Trillo","Male",19,"Boxing",0,0,0,0,"juan-trillo-1","summer","1928","Argentina"
"Francisco Uranga","Male",NA,"Swimming, Water Polo",0,0,0,0,"francisco-uranga-1","summer","1928","Argentina"
"Valerio Vallania","Male",21,"Athletics",0,0,0,0,"valerio-vallania-1","summer","1928","Argentina"
"César Vásquez","Male",NA,"Water Polo",0,0,0,0,"cesar-vasquez-1","summer","1928","Argentina"
"Casimiro Vega","Male",NA,"Weightlifting",0,0,0,0,"casimiro-vega-1","summer","1928","Argentina"
"Antonio Villamil","Male",23,"Fencing",0,0,0,0,"antonio-villamil-1","summer","1928","Argentina"
"Oscar Viñas","Male",NA,"Fencing",0,0,0,0,"oscar-vinas-1","summer","1928","Argentina"
"Emilio Vives","Male",NA,"Swimming",0,0,0,0,"emilio-vives-1","summer","1928","Argentina"
"Antonio Walzer","Male",NA,"Wrestling",0,0,0,0,"antonio-walzer-1","summer","1928","Argentina"
"Boy Charlton","Male",20,"Swimming",0,2,0,2,"boy-charlton-1","summer","1928","Australia"
"Bobby Pearce","Male",22,"Rowing",1,0,0,1,"bobby-pearce-1","summer","1928","Australia"
"Dunc Gray","Male",21,"Cycling",0,0,1,1,"dunc-gray-1","summer","1928","Australia"
"Tom Boast","Male",22,"Swimming",0,0,0,0,"tom-boast-1","summer","1928","Australia"
"Tom Bolger","Male",23,"Wrestling",0,0,0,0,"tom-bolger-1","summer","1928","Australia"
"Jimmy Carlton","Male",19,"Athletics",0,0,0,0,"jimmy-carlton-1","summer","1928","Australia"
"Edna Davey","Female",NA,"Swimming",0,0,0,0,"edna-davey-1","summer","1928","Australia"
"Arthur Ford","Male",NA,"Wrestling",0,0,0,0,"arthur-ford-1","summer","1928","Australia"
"George Hyde","Male",23,"Athletics",0,0,0,0,"george-hyde-1","summer","1928","Australia"
"Bonnie Mealing","Female",15,"Swimming",0,0,0,0,"bonnie-mealing-1","summer","1928","Australia"
"Harry Morris","Male",NA,"Diving, Wrestling",0,0,0,0,"harry-morris-1","summer","1928","Australia"
"Edie Robinson","Female",21,"Athletics",0,0,0,0,"edie-robinson-1","summer","1928","Australia"
"Jack Standen","Male",NA,"Cycling",0,0,0,0,"jack-standen-1","summer","1928","Australia"
"Charles Stuart","Male",21,"Athletics",0,0,0,0,"charles-stuart-1","summer","1928","Australia"
"Doris Thompson","Female",NA,"Swimming",0,0,0,0,"doris-thompson-1","summer","1928","Australia"
"Alf Watson","Male",20,"Athletics",0,0,0,0,"alf-watson-1","summer","1928","Australia"
"William Whyte","Male",24,"Athletics",0,0,0,0,"william-whyte-1","summer","1928","Australia"
"Nick Winter","Male",33,"Athletics",0,0,0,0,"nick-winter-1","summer","1928","Australia"
"Franz Andrysek","Male",22,"Weightlifting",1,0,0,1,"franz-andrysek-1","summer","1928","Austria"
"Edwin Grienauer","Male",35,"Art Competitions",1,0,0,1,"edwin-grienauer-1","summer","1928","Austria"
"Hans Haas","Male",21,"Weightlifting",1,0,0,1,"hans-haas-1","summer","1928","Austria"
"Viktor Flessl","Male",29,"Rowing",0,0,1,1,"viktor-flessl-1","summer","1928","Austria"
"Leo Losert","Male",25,"Rowing",0,0,1,1,"leo-losert-1","summer","1928","Austria"
"Franz Barwig","Male",60,"Art Competitions",0,0,0,0,"franz-barwig-1","summer","1928","Austria"
"Ernst Baylon","Male",24,"Fencing",0,0,0,0,"ernst-baylon-1","summer","1928","Austria"
"Josef Berger","Male",NA,"Hockey",0,0,0,0,"josef-berger-1","summer","1928","Austria"
"Rudolf Berger","Male",NA,"Fencing",0,0,0,0,"rudolf-berger-1","summer","1928","Austria"
"Hedy Bienenfeld","Female",20,"Swimming",0,0,0,0,"hedy-bienenfeld-1","summer","1928","Austria"
"Klara Bornett","Female",NA,"Diving",0,0,0,0,"klara-bornett-1","summer","1928","Austria"
"Richard Brünner","Male",NA,"Fencing",0,0,0,0,"richard-brunner-1","summer","1928","Austria"
"Artur Brusenbauch","Male",46,"Art Competitions",0,0,0,0,"artur-brusenbauch-1","summer","1928","Austria"
"Ferry Dusika","Male",20,"Cycling",0,0,0,0,"ferry-dusika-1","summer","1928","Austria"
"Kurt Ettinger","Male",26,"Fencing",0,0,0,0,"kurt-ettinger-1","summer","1928","Austria"
"Hans Fraberger","Male",23,"Boxing",0,0,0,0,"hans-fraberger-1","summer","1928","Austria"
"Karl Freiberger","Male",27,"Weightlifting",0,0,0,0,"karl-freiberger-1","summer","1928","Austria"
"Hermann Gei�<U+009F>ler","Male",22,"Athletics",0,0,0,0,"hermann-geissler-1","summer","1928","Austria"
"Gustav Grachegg","Male",45,"Equestrianism",0,0,0,0,"gustav-grachegg-1","summer","1928","Austria"
"Ludwig Graf","Male",59,"Art Competitions",0,0,0,0,"ludwig-graf-2","summer","1928","Austria"
"Emil Haladik","Male",NA,"Hockey",0,0,0,0,"emil-haladik-1","summer","1928","Austria"
"Anton Hangel","Male",23,"Weightlifting",0,0,0,0,"anton-hangel-1","summer","1928","Austria"
"Fritz Herzl","Male",NA,"Hockey",0,0,0,0,"fritz-herzl-1","summer","1928","Austria"
"Karl Hipfinger","Male",22,"Weightlifting",0,0,0,0,"karl-hipfinger-1","summer","1928","Austria"
"Emil Hoppe","Male",52,"Art Competitions",0,0,0,0,"emil-hoppe-1","summer","1928","Austria"
"Ernst Huber","Male",32,"Art Competitions",0,0,0,0,"ernst-huber-3","summer","1928","Austria"
"Wilhelm Jaich","Male",37,"Equestrianism",0,0,0,0,"wilhelm-jaich-1","summer","1928","Austria"
"Robert Johanny","Male",NA,"Sailing",0,0,0,0,"robert-johanny-1","summer","1928","Austria"
"H. J. Ken","Male",NA,"Art Competitions",0,0,0,0,"h-j-ken-1","summer","1928","Austria"
"Ferdinand Kitt","Male",40,"Art Competitions",0,0,0,0,"ferdinand-kitt-1","summer","1928","Austria"
"Erwin Lang","Male",41,"Art Competitions",0,0,0,0,"erwin-lang-1","summer","1928","Austria"
"Josefine Lauterbach","Female",NA,"Athletics",0,0,0,0,"josefine-lauterbach-1","summer","1928","Austria"
"Kurt Lehrfeld","Male",NA,"Hockey",0,0,0,0,"kurt-lehrfeld-1","summer","1928","Austria"
"Josef Leppelt","Male",28,"Weightlifting",0,0,0,0,"josef-leppelt-1","summer","1928","Austria"
"Hubert Lichtneckert","Male",NA,"Hockey",0,0,0,0,"hubert-lichtneckert-1","summer","1928","Austria"
"Fritz Lichtschein","Male",NA,"Hockey",0,0,0,0,"fritz-lichtschein-1","summer","1928","Austria"
"Hans Lion","Male",24,"Fencing",0,0,0,0,"hans-lion-1","summer","1928","Austria"
"Fritzi Löwy","Female",17,"Swimming",0,0,0,0,"fritzi-lowy-1","summer","1928","Austria"
"Willi Machu","Male",NA,"Hockey",0,0,0,0,"willi-machu-1","summer","1928","Austria"
"Paul Massarek","Male",NA,"Hockey",0,0,0,0,"paul-massarek-1","summer","1928","Austria"
"Theodor Mayer","Male",44,"Art Competitions",0,0,0,0,"theodor-mayer-1","summer","1928","Austria"
"Georg Mayer-Marton","Male",30,"Art Competitions",0,0,0,0,"georg-mayer-marton-1","summer","1928","Austria"
"Willy Meisl","Male",32,"Art Competitions",0,0,0,0,"willy-meisl-1","summer","1928","Austria"
"Franz Nitterl","Male",NA,"Weightlifting",0,0,0,0,"franz-nitterl-1","summer","1928","Austria"
"Erwin Nossig","Male",NA,"Hockey",0,0,0,0,"erwin-nossig-1","summer","1928","Austria"
"Ferdinand Opitz","Male",43,"Art Competitions",0,0,0,0,"ferdinand-opitz-1","summer","1928","Austria"
"Karl �<U+0096>rdögh","Male",20,"Hockey",0,0,0,0,"karl-ordogh-1","summer","1928","Austria"
"Sergius Pauser","Male",31,"Art Competitions",0,0,0,0,"sergius-pauser-1","summer","1928","Austria"
"Liesl Perkaus","Female",22,"Athletics",0,0,0,0,"liesl-perkaus-1","summer","1928","Austria"
"Alfred Revi","Male",NA,"Hockey",0,0,0,0,"alfred-revi-1","summer","1928","Austria"
"Heinrich Révy","Male",44,"Art Competitions",0,0,0,0,"heinrich-revy-1","summer","1928","Austria"
"Hans Rosenfeld","Male",NA,"Hockey",0,0,0,0,"hans-rosenfeld-1","summer","1928","Austria"
"Karl Schäfer","Male",19,"Swimming",0,0,0,0,"karl-schafer-1","summer","1928","Austria"
"August Schaffer","Male",22,"Cycling",0,0,0,0,"august-schaffer-1","summer","1928","Austria"
"Rudolf Schilberg","Male",33,"Weightlifting",0,0,0,0,"rudolf-schilberg-1","summer","1928","Austria"
"Ludwig Schlanger","Male",23,"Wrestling",0,0,0,0,"ludwig-schlanger-1","summer","1928","Austria"
"Hans Schönbaumsfeld","Male",28,"Fencing",0,0,0,0,"hans-schonbaumsfeld-1","summer","1928","Austria"
"Otto Schönthal","Male",49,"Art Competitions",0,0,0,0,"otto-schonthal-1","summer","1928","Austria"
"Andreas Stadler","Male",31,"Weightlifting",0,0,0,0,"andreas-stadler-1","summer","1928","Austria"
"Josef Staudinger","Male",21,"Diving",0,0,0,0,"josef-staudinger-1","summer","1928","Austria"
"Arthur Steiner","Male",32,"Art Competitions",0,0,0,0,"arthur-steiner-1","summer","1928","Austria"
"Fritz Steiner","Male",NA,"Hockey",0,0,0,0,"fritz-steiner-1","summer","1928","Austria"
"Lilly Steiner","Female",44,"Art Competitions",0,0,0,0,"lilly-steiner-1","summer","1928","Austria"
"Ludwig Valentich","Male",NA,"Art Competitions",0,0,0,0,"ludwig-valentich-1","summer","1928","Austria"
"Ludwig Vesely","Male",24,"Athletics",0,0,0,0,"ludwig-vesely-1","summer","1928","Austria"
