"athlete","gender","age","sport","gold","silver","bronze","total","id","season","year","country"
"Oltion Luli","Male",31,"Athletics",0,0,0,0,"oltion-luli-1","summer","2000","Albania"
"Djana Mata","Female",40,"Shooting",0,0,0,0,"djana-mata-1","summer","2000","Albania"
"Klodiana Shala","Female",21,"Athletics",0,0,0,0,"klodiana-shala-1","summer","2000","Albania"
"Ilirjan Suli","Male",24,"Weightlifting",0,0,0,0,"ilirjan-suli-1","summer","2000","Albania"
"Nouria Mérah-Benida","Female",29,"Athletics",1,0,0,1,"nouria-merah-benida-1","summer","2000","Algeria"
"Ali Saïdi-Sief","Male",22,"Athletics",0,1,0,1,"ali-saidi-sief-1","summer","2000","Algeria"
"Mohamed Allalou","Male",26,"Boxing",0,0,1,1,"mohamed-allalou-1","summer","2000","Algeria"
"Abderrahmane Hammad","Male",23,"Athletics",0,0,1,1,"abderrahmane-hammad-1","summer","2000","Algeria"
"Djabir Saïd-Guerni","Male",23,"Athletics",0,0,1,1,"djabir-said-guerni-1","summer","2000","Algeria"
"Mehdi Addadi","Male",28,"Swimming",0,0,0,0,"mehdi-addadi-1","summer","2000","Algeria"
"Rafik Amrane","Male",23,"Rowing",0,0,0,0,"rafik-amrane-1","summer","2000","Algeria"
"Moussa Aouanouk","Male",28,"Athletics",0,0,0,0,"moussa-aouanouk-1","summer","2000","Algeria"
"Mohamed Azzaoui","Male",24,"Boxing",0,0,0,0,"mohamed-azzaoui-1","summer","2000","Algeria"
"Yasmina Azzizi","Female",34,"Athletics",0,0,0,0,"yasmina-azzizi-1","summer","2000","Algeria"
"Nasria Baghdad-Azaïdj","Female",28,"Athletics",0,0,0,0,"nasria-baghdad-azaidj-1","summer","2000","Algeria"
"Sami Belgroun","Male",25,"Judo",0,0,0,0,"sami-belgroun-1","summer","2000","Algeria"
"Mourad Benslimani","Male",26,"Athletics",0,0,0,0,"mourad-benslimani-1","summer","2000","Algeria"
"Réda Benzine","Male",29,"Athletics",0,0,0,0,"reda-benzine-1","summer","2000","Algeria"
"Laïd Bessou","Male",24,"Athletics",0,0,0,0,"laid-bessou-1","summer","2000","Algeria"
"Hichem Blida","Male",26,"Boxing",0,0,0,0,"hichem-blida-1","summer","2000","Algeria"
"Mohamed Bouaichaoui","Male",21,"Judo",0,0,0,0,"mohamed-bouaichaoui-1","summer","2000","Algeria"
"Kamal Boulahfane","Male",24,"Athletics",0,0,0,0,"kamal-boulahfane-1","summer","2000","Algeria"
"Ali Bourai","Male",23,"Trampolining",0,0,0,0,"ali-bourai-1","summer","2000","Algeria"
"Bahia Boussad","Female",21,"Athletics",0,0,0,0,"bahia-boussad-1","summer","2000","Algeria"
"Yassine Djakrir","Male",26,"Wrestling",0,0,0,0,"yassine-djakrir-1","summer","2000","Algeria"
"Zahra Gamir","Female",34,"Fencing",0,0,0,0,"zahra-gamir-1","summer","2000","Algeria"
"Adem Hecini","Male",24,"Athletics",0,0,0,0,"adem-hecini-1","summer","2000","Algeria"
"Samia Hireche","Female",24,"Rowing",0,0,0,0,"samia-hireche-1","summer","2000","Algeria"
"Salim Iles","Male",25,"Swimming",0,0,0,0,"salim-iles-1","summer","2000","Algeria"
"David Kaci","Male",26,"Table Tennis",0,0,0,0,"david-kaci-1","summer","2000","Algeria"
"Nacer Keddam","Male",23,"Boxing",0,0,0,0,"nacer-keddam-1","summer","2000","Algeria"
"Abdel Hani Kenzi","Male",26,"Boxing",0,0,0,0,"abdel-hani-kenzi-1","summer","2000","Algeria"
"Mohamed Khaldi","Male",25,"Athletics",0,0,0,0,"mohamed-khaldi-1","summer","2000","Algeria"
"Kamel Kohil","Male",28,"Athletics",0,0,0,0,"kamel-kohil-1","summer","2000","Algeria"
"Leila Françoise Lassouani","Female",23,"Weightlifting",0,0,0,0,"leila-francoise-lassouani-1","summer","2000","Algeria"
"Malik Louahla","Male",22,"Athletics",0,0,0,0,"malik-louahla-1","summer","2000","Algeria"
"Samir-Adel Louahla","Male",26,"Athletics",0,0,0,0,"samir-adel-louahla-1","summer","2000","Algeria"
"Noureddine Madjhoud","Male",24,"Boxing",0,0,0,0,"noureddine-madjhoud-1","summer","2000","Algeria"
"Khaled Meddah","Male",22,"Judo",0,0,0,0,"khaled-meddah-1","summer","2000","Algeria"
"Amar Meridja","Male",24,"Judo",0,0,0,0,"amar-meridja-1","summer","2000","Algeria"
"Noureddine Morceli","Male",30,"Athletics",0,0,0,0,"noureddine-morceli-1","summer","2000","Algeria"
"Samir Moussaoui","Male",25,"Athletics",0,0,0,0,"samir-moussaoui-1","summer","2000","Algeria"
"Farid Oulami","Male",26,"Table Tennis",0,0,0,0,"farid-oulami-1","summer","2000","Algeria"
"Baya Rahouli","Female",21,"Athletics",0,0,0,0,"baya-rahouli-1","summer","2000","Algeria"
"Omar Rebahi","Male",22,"Judo",0,0,0,0,"omar-rebahi-1","summer","2000","Algeria"
"Wassila Rédouane-Saïd-Guerni","Female",19,"Fencing",0,0,0,0,"wassila-redouane-said-guerni-1","summer","2000","Algeria"
"Kader Silia","Male",21,"Wrestling",0,0,0,0,"kader-silia-1","summer","2000","Algeria"
"Mebarek Soltani","Male",18,"Boxing",0,0,0,0,"mebarek-soltani-1","summer","2000","Algeria"
"Salima Souakri","Female",25,"Judo",0,0,0,0,"salima-souakri-1","summer","2000","Algeria"
"Kamel Talhaoui","Male",29,"Athletics",0,0,0,0,"kamel-talhaoui-1","summer","2000","Algeria"
"Noureddine Yagoubi","Male",26,"Judo",0,0,0,0,"noureddine-yagoubi-1","summer","2000","Algeria"
"Lisa Misipeka","Female",25,"Athletics",0,0,0,0,"lisa-misipeka-1","summer","2000","American Samoa"
"Kelsey Nakanelua","Male",33,"Athletics",0,0,0,0,"kelsey-nakanelua-1","summer","2000","American Samoa"
"Alesana Sione","Male",34,"Weightlifting",0,0,0,0,"alesana-sione-1","summer","2000","American Samoa"
"Kuresa Tupua","Male",16,"Archery",0,0,0,0,"kuresa-tupua-1","summer","2000","American Samoa"
"Toni Bernadó","Male",33,"Athletics",0,0,0,0,"toni-bernado-1","summer","2000","Andorra"
"Santiago Deu","Male",20,"Swimming",0,0,0,0,"santiago-deu-1","summer","2000","Andorra"
"Silvia Felipo","Female",33,"Athletics",0,0,0,0,"silvia-felipo-1","summer","2000","Andorra"
"Meritxell Sabate","Female",20,"Swimming",0,0,0,0,"meritxell-sabate-1","summer","2000","Andorra"
"Joan Tomas","Male",49,"Shooting",0,0,0,0,"joan-tomas-1","summer","2000","Andorra"
"João Aguiar","Male",17,"Swimming",0,0,0,0,"joao-aguiar-1","summer","2000","Angola"
"Carlos Almeida","Male",23,"Basketball",0,0,0,0,"carlos-almeida-1","summer","2000","Angola"
"Ilda Bengue","Female",25,"Handball",0,0,0,0,"ilda-bengue-1","summer","2000","Angola"
"Regina Camumbila","Female",30,"Handball",0,0,0,0,"regina-camumbila-1","summer","2000","Angola"
"Belarmino Chipongue","Male",25,"Basketball",0,0,0,0,"belarmino-chipongue-1","summer","2000","Angola"
"Herlander Coimbra","Male",32,"Basketball",0,0,0,0,"herlander-coimbra-1","summer","2000","Angola"
"Domingas Cordeiro","Female",24,"Handball",0,0,0,0,"domingas-cordeiro-1","summer","2000","Angola"
"Nádia Cruz","Female",25,"Swimming",0,0,0,0,"nadia-cruz-1","summer","2000","Angola"
"Victor de Carvalho","Male",31,"Basketball",0,0,0,0,"victor-de-carvalho-1","summer","2000","Angola"
"João Paulo de Silva","Male",35,"Shooting",0,0,0,0,"joao-paulo-de-silva-1","summer","2000","Angola"
"Delfina Joaquim","Female",20,"Athletics",0,0,0,0,"delfina-joaquim-1","summer","2000","Angola"
"David Dias","Male",31,"Basketball",0,0,0,0,"david-dias-1","summer","2000","Angola"
"Garcia Domingos","Male",29,"Basketball",0,0,0,0,"garcia-domingos-1","summer","2000","Angola"
"Maura Faial","Female",30,"Handball",0,0,0,0,"maura-faial-1","summer","2000","Angola"
"Maria Inês Jololo","Female",24,"Handball",0,0,0,0,"maria-ines-jololo-1","summer","2000","Angola"
"Buila Katiavala","Male",24,"Basketball",0,0,0,0,"buila-katiavala-1","summer","2000","Angola"
"Marcelina Kiala","Female",20,"Handball",0,0,0,0,"marcelina-kiala-1","summer","2000","Angola"
"Miguel Lutonda","Male",28,"Basketball",0,0,0,0,"miguel-lutonda-1","summer","2000","Angola"
"Aníbal Moreira","Male",33,"Basketball",0,0,0,0,"anibal-moreira-1","summer","2000","Angola"
"Ivone Mufuca","Female",28,"Handball",0,0,0,0,"ivone-mufuca-1","summer","2000","Angola"
"Victor Muzadi","Male",22,"Basketball",0,0,0,0,"victor-muzadi-1","summer","2000","Angola"
"João N'Tyamba","Male",32,"Athletics",0,0,0,0,"joao-ntyamba-1","summer","2000","Angola"
"Anica Neto","Female",27,"Handball",0,0,0,0,"anica-neto-1","summer","2000","Angola"
"Justina Praça","Female",21,"Handball",0,0,0,0,"justina-praca-1","summer","2000","Angola"
"Odete Tavares","Female",24,"Handball",0,0,0,0,"odete-tavares-1","summer","2000","Angola"
"Filomena Trindade","Female",28,"Handball",0,0,0,0,"filomena-trindade-1","summer","2000","Angola"
"Teresa Ulundo","Female",29,"Handball",0,0,0,0,"teresa-ulundo-1","summer","2000","Angola"
"�<U+0082>ngelo Victoriano","Male",32,"Basketball",0,0,0,0,"angelo-victoriano-1","summer","2000","Angola"
"Edmar Victoriano","Male",24,"Basketball",0,0,0,0,"edmar-victoriano-1","summer","2000","Angola"
"Lili Webba-Torres","Female",31,"Handball",0,0,0,0,"lili-webba-torres-1","summer","2000","Angola"
"N'Kosie Barnes","Male",25,"Athletics",0,0,0,0,"nkosie-barnes-1","summer","2000","Antigua and Barbuda"
"Karl James","Male",33,"Sailing",0,0,0,0,"karl-james-1","summer","2000","Antigua and Barbuda"
"Heather Samuel","Female",30,"Athletics",0,0,0,0,"heather-samuel-1","summer","2000","Antigua and Barbuda"
"Magdalena Aicega","Female",26,"Hockey",0,1,0,1,"magdalena-aicega-1","summer","2000","Argentina"
"Mariela Antoniska","Female",25,"Hockey",0,1,0,1,"mariela-antoniska-1","summer","2000","Argentina"
"Inés Arrondo","Female",22,"Hockey",0,1,0,1,"ines-arrondo-1","summer","2000","Argentina"
"Lucha Aymar","Female",23,"Hockey",0,1,0,1,"lucha-aymar-1","summer","2000","Argentina"
"Carlos Espínola","Male",28,"Sailing",0,1,0,1,"carlos-espinola-1","summer","2000","Argentina"
"María Paz Ferrari","Female",27,"Hockey",0,1,0,1,"maria-paz-ferrari-1","summer","2000","Argentina"
"Anabel Gambero","Female",28,"Hockey",0,1,0,1,"anabel-gambero-1","summer","2000","Argentina"
"Sole García","Female",19,"Hockey",0,1,0,1,"sole-garcia-1","summer","2000","Argentina"
"Maripi Hernández","Female",23,"Hockey",0,1,0,1,"maripi-hernandez-1","summer","2000","Argentina"
"Laura Maiztegui","Female",21,"Hockey",0,1,0,1,"laura-maiztegui-1","summer","2000","Argentina"
"Mechi Margalot","Female",25,"Hockey",0,1,0,1,"mechi-margalot-1","summer","2000","Argentina"
"Karina Masotta","Female",29,"Hockey",0,1,0,1,"karina-masotta-1","summer","2000","Argentina"
"Vanina Oneto","Female",27,"Hockey",0,1,0,1,"vanina-oneto-1","summer","2000","Argentina"
"Jorgelina Rimoldi","Female",28,"Hockey",0,1,0,1,"jorgelina-rimoldi-1","summer","2000","Argentina"
"Ceci Rognoni","Female",23,"Hockey",0,1,0,1,"ceci-rognoni-1","summer","2000","Argentina"
"Ayelén Stepnik","Female",24,"Hockey",0,1,0,1,"ayelen-stepnik-1","summer","2000","Argentina"
"Paola Vukojicic","Female",26,"Hockey",0,1,0,1,"paola-vukojicic-1","summer","2000","Argentina"
"Serena Amato","Female",26,"Sailing",0,0,1,1,"serena-amato-1","summer","2000","Argentina"
"Javier Conte","Male",25,"Sailing",0,0,1,1,"javier-conte-1","summer","2000","Argentina"
"Juan de la Fuente","Male",24,"Sailing",0,0,1,1,"juan-de-la-fuente-1","summer","2000","Argentina"
"Pablo Abal","Male",23,"Swimming",0,0,0,0,"pablo-abal-1","summer","2000","Argentina"
"Ana Carolina Aguilera","Female",19,"Swimming",0,0,0,0,"ana-carolina-aguilera-1","summer","2000","Argentina"
"Gustavo Aguirre","Male",23,"Athletics",0,0,0,0,"gustavo-aguirre-1","summer","2000","Argentina"
"Diego Aguirregomezcorta","Male",25,"Rowing",0,0,0,0,"diego-aguirregomezcorta-1","summer","2000","Argentina"
"Mario Almada","Male",25,"Hockey",0,0,0,0,"mario-almada-1","summer","2000","Argentina"
"Sebastián Alquati","Male",24,"Judo",0,0,0,0,"sebastian-alquati-1","summer","2000","Argentina"
"Pablo Álvarez","Male",22,"Shooting",0,0,0,0,"pablo-alvarez-1","summer","2000","Argentina"
"Walter Arciprete","Male",21,"Swimming",0,0,0,0,"walter-arciprete-1","summer","2000","Argentina"
"Andrea Ávila","Female",30,"Athletics",0,0,0,0,"andrea-avila-1","summer","2000","Argentina"
"Orlando Baccino","Male",29,"Judo",0,0,0,0,"orlando-baccino-1","summer","2000","Argentina"
"Mariano Baracetti","Male",26,"Beach Volleyball",0,0,0,0,"mariano-baracetti-1","summer","2000","Argentina"
"Georgina Bardach","Female",17,"Swimming",0,0,0,0,"georgina-bardach-1","summer","2000","Argentina"
"Alejandro Bender","Male",24,"Judo",0,0,0,0,"alejandro-bender-1","summer","2000","Argentina"
"Cecilia Biagioli","Female",15,"Swimming",0,0,0,0,"cecilia-biagioli-1","summer","2000","Argentina"
"Andrés Bicocca","Male",24,"Swimming",0,0,0,0,"andres-bicocca-1","summer","2000","Argentina"
"Jerónimo Bidegain","Male",23,"Volleyball",0,0,0,0,"jeronimo-bidegain-1","summer","2000","Argentina"
"Guillermo Brunetta","Male",25,"Cycling",0,0,0,0,"guillermo-brunetta-1","summer","2000","Argentina"
"Santiago Capurro","Male",25,"Hockey",0,0,0,0,"santiago-capurro-1","summer","2000","Argentina"
"Alejandra Carbone","Female",24,"Fencing",0,0,0,0,"alejandra-carbone-1","summer","2000","Argentina"
"Mariano Carrera","Male",20,"Boxing",0,0,0,0,"mariano-carrera-1","summer","2000","Argentina"
"Víctor Hugo Castro","Male",25,"Boxing",0,0,0,0,"victor-hugo-castro-1","summer","2000","Argentina"
"Juan Ignacio Cerra","Male",23,"Athletics",0,0,0,0,"juan-ignacio-cerra-1","summer","2000","Argentina"
"Mariano Chao","Male",28,"Hockey",0,0,0,0,"mariano-chao-1","summer","2000","Argentina"
"Juan Ignacio Chela","Male",21,"Tennis",0,0,0,0,"juan-ignacio-chela-1","summer","2000","Argentina"
"Elisa Cobañea","Female",34,"Athletics",0,0,0,0,"elisa-cobanea-1","summer","2000","Argentina"
"Martín Conde","Male",29,"Beach Volleyball",0,0,0,0,"martin-conde-1","summer","2000","Argentina"
