"athlete","gender","age","sport","gold","silver","bronze","total","id","season","year","country"
"Tranquilo Capozzo","Male",34,"Rowing",1,0,0,1,"tranquilo-capozzo-1","summer","1952","Argentina"
"Eduardo Guerrero","Male",24,"Rowing",1,0,0,1,"eduardo-guerrero-1","summer","1952","Argentina"
"Reinaldo Gorno","Male",33,"Athletics",0,1,0,1,"reinaldo-gorno-1","summer","1952","Argentina"
"Antonio Pacenza","Male",24,"Boxing",0,1,0,1,"antonio-pacenza-1","summer","1952","Argentina"
"Eladio Herrera","Male",22,"Boxing",0,0,1,1,"eladio-herrera-1","summer","1952","Argentina"
"Humberto Selvetti","Male",20,"Weightlifting",0,0,1,1,"humberto-selvetti-1","summer","1952","Argentina"
"Mariano Acosta","Male",22,"Athletics",0,0,0,0,"mariano-acosta-1","summer","1952","Argentina"
"�<U+0093>scar Almirón","Male",25,"Rowing",0,0,0,0,"oscar-almiron-1","summer","1952","Argentina"
"Jorge Arripe","Male",16,"Rowing",0,0,0,0,"jorge-arripe-1","summer","1952","Argentina"
"Alberto Barenghi","Male",22,"Boxing",0,0,0,0,"alberto-barenghi-1","summer","1952","Argentina"
"Enrique Beckles","Male",24,"Athletics",0,0,0,0,"enrique-beckles-1","summer","1952","Argentina"
"Carlos Miguel Benn","Male",27,"Sailing",0,0,0,0,"carlos-miguel-benn-1","summer","1952","Argentina"
"Osvaldo Blasi","Male",24,"Wrestling",0,0,0,0,"osvaldo-blasi-1","summer","1952","Argentina"
"Omar Blebel","Male",30,"Wrestling",0,0,0,0,"omar-blebel-1","summer","1952","Argentina"
"Carlos Alberto Bonacich","Male",20,"Swimming",0,0,0,0,"carlos-alberto-bonacich-1","summer","1952","Argentina"
"Américo Bonetti","Male",24,"Boxing",0,0,0,0,"americo-bonetti-1","summer","1952","Argentina"
"Gerardo Bönnhoff","Male",26,"Athletics",0,0,0,0,"gerardo-bonnhoff-1","summer","1952","Argentina"
"César Bonoris","Male",24,"Gymnastics",0,0,0,0,"cesar-bonoris-1","summer","1952","Argentina"
