"athlete","gender","age","sport","gold","silver","bronze","total","id","season","year","country"
"Gerard Escoda","Male",27,"Alpine Skiing",0,0,0,0,"gerard-escoda-1","winter","1998","Andorra"
"Victor Gómez","Male",23,"Alpine Skiing",0,0,0,0,"victor-gomez-1","winter","1998","Andorra"
"Vicky Grau","Female",22,"Alpine Skiing",0,0,0,0,"vicky-grau-1","winter","1998","Andorra"
"Carola Calello","Female",20,"Alpine Skiing",0,0,0,0,"carola-calello-1","winter","1998","Argentina"
"Mariano López","Male",24,"Snowboarding",0,0,0,0,"mariano-lopez-1","winter","1998","Argentina"
"Aleksandr Chestnikh","Male",23,"Figure Skating",0,0,0,0,"aleksandr-chestnikh-1","winter","1998","Armenia"
"Samvel Gyozalyan","Male",27,"Figure Skating",0,0,0,0,"samvel-gyozalyan-1","winter","1998","Armenia"
"Arsen Harutyunyan","Male",29,"Alpine Skiing",0,0,0,0,"arsen-harutyunyan-1","winter","1998","Armenia"
"Maria Krasiltseva","Female",16,"Figure Skating",0,0,0,0,"maria-krasiltseva-1","winter","1998","Armenia"
"Alla Mikayelyan","Female",28,"Cross Country Skiing",0,0,0,0,"alla-mikayelyan-1","winter","1998","Armenia"
"Armen Rafayelyan","Male",19,"Freestyle Skiing",0,0,0,0,"armen-rafayelyan-1","winter","1998","Armenia"
"Ksenya Smetanenko","Female",18,"Figure Skating",0,0,0,0,"ksenya-smetanenko-1","winter","1998","Armenia"
"Zali Steggall","Female",23,"Alpine Skiing",0,0,1,1,"zali-steggall-1","winter","1998","Australia"
"Adam Barclay","Male",28,"Bobsleigh",0,0,0,0,"adam-barclay-1","winter","1998","Australia"
"Steven Bradbury","Male",24,"Short Track Speed Skating",0,0,0,0,"steven-bradbury-1","winter","1998","Australia"
"Stephen Carr","Male",32,"Figure Skating",0,0,0,0,"stephen-carr-1","winter","1998","Australia"
"Danielle Carr-McGrath","Female",28,"Figure Skating",0,0,0,0,"danielle-carr-mcgrath-1","winter","1998","Australia"
"Joanne Carter","Female",17,"Figure Skating",0,0,0,0,"joanne-carter-1","winter","1998","Australia"
"Jacqui Cooper","Female",25,"Freestyle Skiing",0,0,0,0,"jacqui-cooper-1","winter","1998","Australia"
"Adrian Costa","Male",25,"Freestyle Skiing",0,0,0,0,"adrian-costa-1","winter","1998","Australia"
"Janet Daly","Female",29,"Short Track Speed Skating",0,0,0,0,"janet-daly-1","winter","1998","Australia"
"Maria Despas","Female",30,"Freestyle Skiing",0,0,0,0,"maria-despas-1","winter","1998","Australia"
"Anthony Evans","Male",28,"Cross Country Skiing",0,0,0,0,"anthony-evans-1","winter","1998","Australia"
"Jason Giobbi","Male",29,"Bobsleigh",0,0,0,0,"jason-giobbi-1","winter","1998","Australia"
"Richard Goerlitz","Male",27,"Short Track Speed Skating",0,0,0,0,"richard-goerlitz-1","winter","1998","Australia"
"Paul Gray","Male",28,"Cross Country Skiing",0,0,0,0,"paul-gray-1","winter","1998","Australia"
"Kieran Hansen","Male",26,"Short Track Speed Skating",0,0,0,0,"kieran-hansen-1","winter","1998","Australia"
"Anthony Liu","Male",23,"Figure Skating",0,0,0,0,"anthony-liu-1","winter","1998","Australia"
"Kirstie Marshall","Female",28,"Freestyle Skiing",0,0,0,0,"kirstie-marshall-1","winter","1998","Australia"
"Richard Nizielski","Male",29,"Short Track Speed Skating",0,0,0,0,"richard-nizielski-1","winter","1998","Australia"
"Kerryn Pethybridge-Rim","Female",35,"Biathlon",0,0,0,0,"kerryn-pethybridge-rim-1","winter","1998","Australia"
"Ted Polglaze","Male",29,"Bobsleigh",0,0,0,0,"ted-polglaze-1","winter","1998","Australia"
"Zeke Steggall","Male",26,"Snowboarding",0,0,0,0,"zeke-steggall-1","winter","1998","Australia"
"Jonathan Sweet","Male",24,"Freestyle Skiing",0,0,0,0,"jonathan-sweet-1","winter","1998","Australia"
"Scott Walker","Male",27,"Bobsleigh",0,0,0,0,"scott-walker-1","winter","1998","Australia"
"Hermann Maier","Male",25,"Alpine Skiing",2,0,0,2,"hermann-maier-1","winter","1998","Austria"
"Alexandra Meissnitzer","Female",24,"Alpine Skiing",0,1,1,2,"alexandra-meissnitzer-1","winter","1998","Austria"
"Andreas Widhölzl","Male",21,"Ski Jumping",0,0,2,2,"andreas-widholzl-1","winter","1998","Austria"
"Mario Reiter","Male",27,"Alpine Skiing",1,0,0,1,"mario-reiter-1","winter","1998","Austria"
"Michaela Dorfmeister","Female",24,"Alpine Skiing",0,1,0,1,"michaela-dorfmeister-1","winter","1998","Austria"
"Stephan Eberharter","Male",28,"Alpine Skiing",0,1,0,1,"stephan-eberharter-1","winter","1998","Austria"
"Markus Gandler","Male",32,"Cross Country Skiing",0,1,0,1,"markus-gandler-1","winter","1998","Austria"
"Hans Knau�<U+009F>","Male",26,"Alpine Skiing",0,1,0,1,"hans-knauss-1","winter","1998","Austria"
